id,name,b_exp,crit,final_crit,crit_res,final_crit_res,dodge,final_dodge,final_aspd,hit,final_hit,j_exp,m_def,final_m_def,final_m_dmg_bonus,final_m_dmg_res,m_dps,m_pen,final_m_pen,m_dmg_bonus,m_dmg_res,max_hp,loc_id,p_def,final_p_def,p_dps,final_p_dmg_bonus,final_p_dmg_res,final_p_pen,p_pen,p_reflect,p_dmg_res,p_dmg_bonus,level,res_id,description,zeny,size,attr,race,loc
10012,drops,33.0,2.0,,2.0,,2.0,,,2.0,,55.0,7.0,,,,20.0,4.0,,1.0,,211.0,1310.0,11.0,,14.0,,,,5.0,,,,7.0,10012.0," A Fire Poring with a cute appearance similar to normal Porings. However, due to its own magic attribute, Drops can purify more advanced materials than normal Porings. Perhaps it is because they understand this point too, Drops are not as docile and friendly as normal Porings in interacting with humans. It is in a tight competition with the Picky for the first place on Morroc's ranking for the most popular monster. However, on the kingdom's ranking for the most popular monster, it is still a long way behind the Poring.",18.0,medium,fire,plant,Morroc
10013,pecopeco egg,20.0,2.0,,2.0,,2.0,,,2.0,,20.0,8.0,,,,0.0,3.0,,1.0,,88.0,1310.0,8.0,,0.0,,,,5.0,,,,5.0,10013.0," Pecopeco Egg Shells can be grounded into a shiny powder. It is an excellent raw material for decorations and is popular in the kingdom. However, it is advised not to steal Pecopeco Eggs for fun, or else you will invite the furious attacks of angered Pecopecos. A gentle reminder from Baldwin of the Royal Chivalry: Please gather Egg Shell materials only after the Pecopeco chicks have hatched!",9.0,small,neutral,formless,Morroc
10014,condor,46.0,2.0,,2.0,,2.0,,,2.0,,46.0,7.0,,,,18.0,4.0,,1.0,,230.0,1020.0,11.0,,12.0,,,,6.0,,,,8.0,10014.0," Condors living in the desert are extremely proud and cannot stand being deprived of their freedom. However, they do not appear as handsome closeup as they do up in the sky. In fact, they look somewhat silly. Perhaps even if they were astoundingly handsome, they would still lose out as they are associated with the word ""con.""  A friendly reminder from Monster Researcher Bertha: Be extra careful of their cries if you wish to keep your eardrums intact.",18.0,medium,wind,brute,Prontera South Gate
10015,savage bebe,31.0,4.0,,4.0,,4.0,,,4.0,,31.0,16.0,,,,52.0,8.0,,4.0,,375.0,1030.0,25.0,,35.0,,,,12.0,,,,16.0,10015.0," A monster which passes off as cute and innocent with its appearance, but viciousness can occasionally be observed from its gaze. It often dashes around on its short legs in the wilderness beyond the West Gate, often accidentally bumping into adventurers before being pet by them for a good while. Perhaps their original intention may have been to attack.",13.0,small,earth,brute,Prontera West Gate
10016,baby desert wolf,33.0,5.0,,5.0,,5.0,,,5.0,,33.0,19.0,,,,65.0,10.0,,5.0,,481.0,1310.0,29.0,,43.0,,,,14.0,,,,18.0,10016.0," To quicken the growth of their pups, Desert Wolves always leave them to fend for themselves. Therefore, groups of Baby Desert Wolves can always be seen living together. ""High-grade Baby Desert Wolf Fur is more valuable than adult Desert Wolf Fur."" It is rare to see a glimmer of greed in the eyes of the usually gentlemanly Jude.",13.0,small,fire,brute,Morroc
10017,pecopeco,275.0,29.0,,29.0,,29.0,,,29.0,,92.0,115.0,,,,1566.0,57.0,,63.0,,43057.0,1310.0,172.0,,2349.0,,,,86.0,,,,43.0,10017.0," A bird monster which can only walk upright despite having wings. Its sharp and powerfully-built beak can scare away egg thieves from afar. After all, once an angry Pecopeco has its eyes on you, it won't be possible to get away without losing some blood. ""Thank goodness I run fast. Otherwise it wouldn't have just been that egg thief who got a good pecking,"" sighed Pet Merchant Lyra, still in lingering shock.",89.0,large,fire,brute,Morroc
10018,muka,221.0,26.0,,26.0,,26.0,,,26.0,,133.0,157.0,,,,2636.0,79.0,,,,38193.0,1310.0,105.0,,1757.0,,,,52.0,,,56.0,42.0,10018.0," A desert monster with amazing facial expressions. Despite having an appearance similar to a cactus, it is actually a dancer with a musical soul at heart, and can start swaying to a rhythm at any time. ""Nobody thinks about quenching thirst with it, unless you are willing to have a row of Muka beard on your chin,"" said gourmet chef Stefanie as she blew away the sand in her fingernails, looking at the Muka some distance away with a grin.",89.0,large,earth,plant,Morroc
10019,metaller,158.0,31.0,,109.0,,109.0,,,31.0,,95.0,78.0,,,,955.0,93.0,,,,32156.0,1310.0,78.0,,1432.0,,,,62.0,,,70.0,44.0,10019.0," Some Grasshoppers have gone astray in the pursuit of their musical dreams and have become obsessed with heavy metal. The language their violins play has become completely independent from that of their original race. Therefore, they have a new name. The kingdom's ecology conservation society has already dispatched specialists to keep an eye on the state of development of the Metallers and to follow up on their evolution at all times.",59.0,medium,fire,insect,Morroc
10020,anacondaq,65.0,34.0,,34.0,,34.0,,,34.0,,195.0,168.0,,,,1464.0,67.0,,77.0,,35825.0,1310.0,168.0,,976.0,,,,101.0,,,,45.0,10020.0," New adventurers easily overlook how poisonous they are, but to experienced adventurers, their Venom is a rather remarkable profit-making material. As a result, organizations such as the Anacondaq Conservation Society have come into being. After all, when the buying stops, the killing can too!",59.0,medium,poison,brute,Morroc
10021,scorpion,67.0,36.0,,126.0,,126.0,,,36.0,,67.0,90.0,,,,1061.0,108.0,,,,19860.0,1320.0,90.0,,707.0,,,,72.0,,,85.0,46.0,10021.0," A formidable existence in the desert. Its stinger and two pincers radiate an aura of danger and even the mesmerizing purple tail cannot conceal the intimidation of its poison. Rumor has it that thousands of adventurers have been stung by them. ""Keep that scary thing away from me. Haven't you heard Monster Conservation Society's news? It's extremely likely to evolve into a giant scorpion,"" said Rylai, tightening her protective clothing and taking another two steps back.",30.0,small,fire,insect,Sograt Desert
10022,golem,259.0,39.0,,39.0,,39.0,,,39.0,,155.0,193.0,,,,3602.0,77.0,,93.0,,65777.0,1320.0,193.0,,2401.0,,,,116.0,,,,47.0,10022.0," A monster with very obvious man-made traces. Nobody knows how they appeared. Traces of having been built out of bricks cover their entire body and amagical light shines from their eyes.  ""They may hold the secrets of a vanished magic civilization and are worthy to be considered very good research material,"" said Armor Merchant Dael, stealthily taking a photo of Golems feeding and seeming to already have a plan to catch one for research.",89.0,large,neutral,formless,Sograt Desert
10023,hode,146.0,44.0,,44.0,,44.0,,,44.0,,146.0,222.0,,,,1989.0,89.0,,112.0,,53407.0,1320.0,222.0,,1326.0,,,,133.0,,,,49.0,10023.0," Few are the adventurers who have seen Hodes in their entirety in the desert. Apparently, strange large eyes hide beneath those budging and wriggling sand dunes, but nobody has been able to provide photos as evidence yet.  The following comes from a Monster Conservation Society's notice: Please do not dig pits all over the place to take a photo of a Hode. This speeds up the degradation of the natural ecological environment.",59.0,medium,earth,insect,Sograt Desert
10024,desert wolf,113.0,47.0,,47.0,,47.0,,,47.0,,188.0,189.0,,,,1096.0,95.0,,122.0,,58698.0,1320.0,284.0,,1644.0,,,,142.0,,,,50.0,10024.0," Due to the cruel experiences they went through when they were young, they have grown into fearsome Desert Wolves skilled in fighting. After experiencing countless battles, their fur have turned into hardened armor and are no longer worth as much as the soft fur they had when they were young. However, apparently, there are still people secretly buying adult Desert Wolf Fur for use as armor material on the Black Market.",72.0,medium,fire,brute,Sograt Desert
10025,frilldora,166.0,61.0,,61.0,,61.0,,,61.0,,166.0,242.0,,,,3161.0,121.0,,171.0,,105379.0,1320.0,364.0,,2108.0,,,,182.0,,,,54.0,10025.0," A dangerous-looking animal with ugly features. However, they actually feed on pests all year round and make great contributions to the conservation of the environment. Hopefully biologists can help them restore the reputation they deserve someday.",72.0,medium,fire,brute,Sograt Desert
10027,hornet,37.0,6.0,,6.0,,6.0,,,6.0,,37.0,25.0,,,,53.0,19.0,,,,752.0,1220.0,38.0,,80.0,,,,13.0,,,8.0,22.0,10027.0," Death after a stinging attack is a thing of the past. The stinger is its present combat weapon. Its appearance is similar to a cross between a bee and a spirit. Despite having a cute human face, it is aggressive and does not like losing, never admitting defeat upon encountering a strong rival. Ygnizem is one of their victims.",18.0,small,wind,insect,Mjolnir Mountains
10028,ambernite,176.0,8.0,,8.0,,8.0,,,8.0,,59.0,46.0,,,,485.0,15.0,,10.0,,2934.0,1220.0,31.0,,323.0,,,,23.0,,,,24.0,10028.0," A slow, crawling animal on the surface. The mysterious patterns on the Ambernite shell that faintly give off a magical aura will escape notice without close observation.  According to information from the Geffen Guild, Ambernites are a type of stealthy magical creature and highly dangerous. Please be careful!",55.0,large,water,insect,Mjolnir Mountains
10029,wormtail,202.0,87.0,,87.0,,87.0,,,87.0,,202.0,347.0,,,,3639.0,173.0,,289.0,,224568.0,1430.0,520.0,,2426.0,,,,260.0,,,,62.0,10029.0," A mouse with a giant onion growing on its body. You may think of them in this way, but do not ever voice it out. They are creatures born naturally in the forests and apparently have a certain degree of divinity. Best not to trifle with them.",86.0,medium,earth,plant,Payon South
10030,dustiness,35.0,13.0,,13.0,,13.0,,,13.0,,59.0,67.0,,,,177.0,27.0,,22.0,,3497.0,1220.0,67.0,,118.0,,,,40.0,,,,32.0,10030.0," A Chonchon that is fast-moving and with sharp mouthparts. Be careful not to be stung by it, or you may lose a lot of blood.  ""Not one part of its entire body has any edible value. I'm not interested,"" said Albel, shaking her head in disdain after a careful scrutiny of the Dustiness in the cage.",24.0,small,wind,insect,Mjolnir Mountains
10031,horn,128.0,17.0,,17.0,,17.0,,,17.0,,77.0,84.0,,,,567.0,34.0,,31.0,,10080.0,1040.0,84.0,,378.0,,,,51.0,,,,36.0,10031.0," An aggressive fellow. The Horn on its head is the key to it being crowned the King of Insects. Apparently, some people have them engage in fights for fun after taming them, but evidence has yet been found.",48.0,medium,earth,insect,Labyrinth Forest
10033,side winder,138.0,39.0,,39.0,,39.0,,,39.0,,138.0,193.0,,,,1767.0,77.0,,93.0,,43851.0,1330.0,193.0,,1178.0,,,,116.0,,,,47.0,10033.0," An Anacondaq residing inside a pyramid. Although it looks no different from the Anacondaqs outside, since it can survive safe and sound in the poison-filled air within the pyramids for years on end, it must have its own extraordinary venom. Adventurers, please treasure your lives and stay away from Side Winders.",59.0,medium,poison,brute,Pyramid 1F
10034,ground petite,304.0,150.0,,150.0,,150.0,,,150.0,,304.0,748.0,,,,13249.0,299.0,,682.0,,683157.0,1220.0,748.0,,8833.0,,,,449.0,,,,79.0,10034.0," The branch of Petite dragons dwelling on land. Currently, monster researchers are still studying why such a huge difference exists within one race. However, the Ground Petites are no lower in status although they are unable to fly. Despite being the dragons of legend, somehow they are not as intimidating.",100.0,medium,earth,dragon,Mjolnir Mountains
10035,sky petite,349.0,154.0,,154.0,,154.0,,,154.0,,581.0,615.0,,,,24288.0,308.0,,713.0,,1077550.0,1220.0,923.0,,16192.0,,,,461.0,,,,80.0,10035.0," The branch of Petite dragons capable of flight. Currently, monster researchers are still studying why such a huge difference exists within one race. The Sky Petites put on a prouder air to the outside world, but their status within the race is in doubt. Rumor has it that the Sky Petites have sent a letter of challenge to the Ground Petites. It seems they have long held the belief that it is high time the superiority between the Ground Petites and the Sky Petites is determined.",174.0,large,wind,dragon,Mjolnir Mountains
10036,elder willow,339.0,100.0,,100.0,,100.0,,,100.0,,339.0,502.0,,,,11881.0,201.0,,361.0,,431880.0,1420.0,502.0,,7921.0,,,,301.0,,,,66.0,10036.0," Monster researchers have discovered after many studies that complete fire elements exist within the bodies of Earth Spirit Elders, seemingly overcoming their bodily restrictions. This is a groundbreaking discovery for all of monster research. It is not known when the first findings about them will be published.",129.0,large,fire,plant,Payon East Forest
10037,eggyra,125.0,114.0,,399.0,,399.0,,,114.0,,375.0,285.0,,,,9681.0,342.0,,,,361690.0,1420.0,285.0,,6454.0,,,,228.0,,,443.0,70.0,10037.0," A strange creature shrouded in mystery, sharing the title of Midgard's Monster of Mystery together with the Magnolia. No one knows where it got those straight brows from, nor what it will hatch into. Apparently, some are conspiring to turn it around counterclockwise. Who knows what may happen if that is done?",100.0,medium,ghost,formless,Payon East Forest
10038,bigfoot,234.0,90.0,,90.0,,90.0,,,90.0,,390.0,540.0,,,,9256.0,270.0,,,,359227.0,1440.0,360.0,,6171.0,,,,180.0,,,306.0,63.0,10038.0," A large bear with brown fur. Docile in nature and does not initiate attacks against humans. Similar in appearance to the Sasquatch. Biologists usually believe them to be from the same race. Apparently, only creatures that have gained their approval can have a chance to share their favorite honey.",129.0,large,earth,brute,Payon West
10039,savage,142.0,31.0,,31.0,,31.0,,,31.0,,236.0,186.0,,,,2188.0,93.0,,,,48234.0,1040.0,124.0,,3283.0,,,,62.0,,,70.0,44.0,10039.0," No discovery of baby monsters with matching biological characteristics to this monster has been found. Legend has it that Savage Bebes are the young of Savages, but the vast differences between their habitats and physical appearances are unexplainable, and so it remains a mystery for the biologists. ""It is far too hasty to conclude the two are from the same race solely on the basis of the additional 'Bebe' in the name."" Monster Researcher Bertha firmly refuses to acknowledge any relationship between Savages and Savage Bebes.",89.0,large,earth,brute,Labyrinth Forest
10040,magnolia,89.0,41.0,,41.0,,41.0,,,41.0,,53.0,166.0,,,,850.0,83.0,,102.0,,24202.0,1320.0,248.0,,1276.0,,,,124.0,,,,48.0,10040.0," Magnolia, with its mysterious origins, has always been the favorite topic of discussion among monster lovers. The most commonly accepted explanation about its origins at present is that someone broke edible Pecopeco Eggs and the restless souls inside the eggs transformed into Magnolias which fry themselves continually. ""Anyway, even if it fried itself to a perfect over medium, I don't think anyone would want to try this delicacy,"" said the gourmet Nicola who was passing by as she raised her eyebrows.",30.0,small,water,demi-human,Sograt Desert
10041,dokebi,149.0,107.0,,107.0,,107.0,,,107.0,,89.0,429.0,,,,2481.0,214.0,,401.0,,161719.0,1450.0,643.0,,3722.0,,,,322.0,,,,68.0,10041.0," Demi-humans from a primitive civilization. Researchers are currently studying their potential associations with the Giearth, Goblin, and other civilizations. Don't ever underestimate their intelligence just because of their silly smiles. If you are not careful, you may find yourself surrounded by these Deviruchis.",43.0,small,shadow,demi-human,Munak Cave 1F
10042,horong,128.0,117.0,,117.0,,117.0,,,117.0,,128.0,585.0,,,,4666.0,234.0,,463.0,,221616.0,1460.0,585.0,,6998.0,,,,351.0,,,,71.0,10042.0," Flames wandering where the dead are found. Anyone who touches it will be unwittingly burnt. Whether it is a type of monster or a natural phenomenon is still a mystery. However, in Payon's local culture, evil ghosts are believed to be behind it.",50.0,small,fire,formless,Munak Cave 2F
10043,greatest general,446.0,107.0,,107.0,,107.0,,,107.0,,268.0,429.0,,,,7380.0,214.0,,401.0,,485157.0,1420.0,643.0,,11070.0,,,,322.0,,,,68.0,10043.0," A stone tablet inscribed with ""Great General of the Realm."" According to research verification, it originally was really a stone tablet, and is suspected to have transmogrified after absorbing the Doppelganger aura seeping out from the Payon Dungeon, strangely retaining the proud figure of the general.",129.0,large,fire,formless,Payon East Forest
10044,familiar,32.0,4.0,,4.0,,4.0,,,4.0,,32.0,18.0,,,,47.0,9.0,,5.0,,426.0,1050.0,27.0,,31.0,,,,13.0,,,,17.0,10044.0," A weak creature living in the darkness. Unless they band together in groups, they pose no threat. They always watch their invading enemies silently from the dark. If while on an adventure in the sewers you suddenly feel a strange gaze following you, don't be alarmed, for it may well be observing you from the darkness.",13.0,small,shadow,brute,Capital Sewer 1F
10045,spore,62.0,9.0,,9.0,,9.0,,,9.0,,103.0,36.0,,,,186.0,27.0,,,,2509.0,1430.0,54.0,,279.0,,,,18.0,,,12.0,26.0,10045.0," Appears harmless, but the Spore Hat on its head is the actual source of danger. Apparently, its real body is hidden behind its astonishingly large mouth. Many can't help reaching out to touch it after being bewitched by the cute expression of its lower body, and so they end up offering a delicious hand for the Spore's dinner.",37.0,medium,water,plant,Payon South
10046,plankton,45.0,6.0,,6.0,,6.0,,,6.0,,27.0,36.0,,,,123.0,12.0,,7.0,,674.0,1050.0,24.0,,82.0,,,,18.0,,,,21.0,10046.0," A very docile monster that likes playing with humans. Sometimes, many adventurers are scared away by their enthusiasm. However, it is a curious sight to behold when they dance around humans in groups.",18.0,small,water,plant,Capital Sewer 1F
10047,tarou,29.0,7.0,,7.0,,7.0,,,7.0,,48.0,35.0,,,,80.0,21.0,,,,853.0,1050.0,35.0,,121.0,,,,14.0,,,9.0,23.0,10047.0," Permanently dwells in the damp and dark sewers. Its two red eyes gives people involuntarily goosebumps. ""The scariest things in the sewers are obviously those scurrying rats, not Thief Bugs and bats,"" muttered Hervor, as he watched the Kingdom Defense Force walking away in the distance.",18.0,small,shadow,brute,Capital Sewer 1F
10048,female thief bug,68.0,5.0,,5.0,,5.0,,,5.0,,68.0,26.0,,,,45.0,15.0,,,,1077.0,1050.0,26.0,,67.0,,,,10.0,,,6.0,19.0,10048.0," A mutated Thief Bug monster corrupted by the dark energy in the sewers. Its attack and agility are far greater than a normal Thief Bug. It is the enemy of Male Thief Bugs—another type of Mutant Thief Bug—and they dwell in different areas of the sewers. A friendly reminder from the Kingdom Defense Force: Mutant Thief Bugs have been running rampant recently. Adventurers, please be careful if you run into Mutant Thief Bugs.",27.0,medium,shadow,insect,Capital Sewer 1F
10049,male thief bug,60.0,8.0,,8.0,,8.0,,,8.0,,100.0,50.0,,,,132.0,17.0,,11.0,,2224.0,1060.0,33.0,,88.0,,,,25.0,,,,25.0,10049.0," A mutated Thief Bug monster corrupted by the dark energy in the sewers. Its attack and agility are far greater than a normal Thief Bug. It is an enemy of Female Thief Bugs—another type of Mutant Thief Bug—and they dwell in different areas of the sewers. A friendly reminder from the Kingdom Defense Force: Mutant Thief Bugs have been running rampant recently. Adventurers, please be careful if you run into Mutant Thief Bugs.",37.0,medium,shadow,insect,Capital Sewer 2F
10050,wolf,268.0,93.0,,327.0,,327.0,,,93.0,,161.0,234.0,,,,2721.0,280.0,,,,255005.0,1440.0,234.0,,4082.0,,,,187.0,,,324.0,64.0,10050.0," Pack monsters. They appear to be like a normal wolf pack. Their pelts are akin to the hardest armors. No one knows where they have migrated from, and it seems some of their distant relatives live in the desert far away too.",86.0,medium,earth,brute,Payon West
10051,mandragora,44.0,3.0,,3.0,,3.0,,,3.0,,73.0,14.0,,,,66.0,7.0,,3.0,,567.0,1030.0,20.0,,44.0,,,,10.0,,,,14.0,10051.0, A colorful carnivorous plant that wanders aimlessly in the forest all day. Be very careful when approaching it. Even its skin is a constant reminder to not get too close. It's poisonous!,27.0,medium,earth,plant,Prontera West Gate
10052,poporing,70.0,6.0,,6.0,,6.0,,,6.0,,70.0,22.0,,,,84.0,17.0,,,,1201.0,1430.0,33.0,,125.0,,,,11.0,,,6.0,20.0,10052.0," Although the Poison Poporing also has a sizable fanbase, some adventurers are still concerned about its poison and do not dare to touch it casually. According to Finch's latest research, Poporing's Poison attribute manifests as resistance to poison instead of being poisonous. Adventurers may rest assured.",37.0,medium,poison,plant,Payon South
10053,snake,104.0,90.0,,90.0,,90.0,,,90.0,,312.0,450.0,,,,3869.0,180.0,,306.0,,239485.0,1440.0,450.0,,5803.0,,,,270.0,,,,63.0,10053.0," An Anacondaq living in Payon's forests. It looks no different from the snakes outside. Its colors look terrifying but it is actually non-venomous. Nonetheless, a bite from its sharp fangs will still leave you in pain for days. Don't provoke carelessly~",86.0,medium,earth,brute,Payon West
10054,creamy,63.0,10.0,,10.0,,10.0,,,10.0,,21.0,49.0,,,,126.0,20.0,,14.0,,1406.0,1220.0,49.0,,84.0,,,,29.0,,,,27.0,10054.0," Fabre's imago form. It only inhabits the Labyrinth Forest and survives by sucking nectar. A Creamy's wings are very beautiful, completely incomparable to its appearance when it was a Fabre. The nectar gathered by Creamies is an excellent health supplement, provided you can survive their attacks to enjoy it.",18.0,small,wind,insect,Mjolnir Mountains
10055,stainer,46.0,13.0,,44.0,,44.0,,,13.0,,46.0,32.0,,,,182.0,38.0,,,,3174.0,1220.0,32.0,,273.0,,,,25.0,,,20.0,31.0,10055.0, A brightly colored insect. It has many natural enemies but has survived thanks to its powerful reproductive capabilities. Each Stainer has a fixed number of 8 spots on its body. Is this a characteristic of the race? A special reminder: Stainer Shells are edible!,24.0,small,wind,insect,Mjolnir Mountains
10056,steel chonchon,55.0,11.0,,11.0,,11.0,,,11.0,,33.0,67.0,,,,145.0,22.0,,17.0,,1736.0,1040.0,45.0,,97.0,,,,34.0,,,,29.0,10056.0," It belongs to the same race as Chonchons but has even more exotic colors, as though informing all creatures on sight that it is very dangerous and strangers ought not approach. Such a warning also indirectly protects itself. However, apparently, there is still a group of Chonchon-hunting hobbyists who occasionally provoke them despite the danger. Of course, the price is rather painful. After all, it doesn't feel good being besieged by a swarm of Steel Chonchons.",18.0,small,wind,insect,Labyrinth Forest
10057,coco,46.0,13.0,,13.0,,13.0,,,13.0,,46.0,76.0,,,,200.0,38.0,,,,3174.0,1040.0,51.0,,300.0,,,,25.0,,,20.0,31.0,10057.0," A cute monster with a big tail. The bushy tail is not only their key to climbing trees easily, but also the cutest part of their entire body. Cocos' survival depends on gathering Acorns. Don't ever take their Acorns!",24.0,small,earth,brute,Labyrinth Forest
10058,smokie,71.0,13.0,,47.0,,47.0,,,13.0,,24.0,34.0,,,,279.0,40.0,,,,3497.0,1040.0,34.0,,186.0,,,,27.0,,,22.0,32.0,10058.0," Despite having the appearance of a cute animal, it is actually a monster, so don't be fooled. The leaves on their heads are not there because of the wind, but are actually their markings. Rumor has it that this isn't how they really look, but the result of a transformation!",24.0,small,earth,brute,Labyrinth Forest
10059,caramel,25.0,15.0,,15.0,,15.0,,,15.0,,74.0,75.0,,,,335.0,30.0,,26.0,,4212.0,1220.0,75.0,,224.0,,,,45.0,,,,34.0,10059.0," A weak and cowardly monster willing to sacrifice its own spines in self-defense. Promise me that you won't ever think of attacking them. Their spines are lost for good upon use, and a Caramel with no spines left isn't a Caramel anymore.",24.0,small,earth,insect,Mjolnir Mountains
