id,name,description,res_id,type,cd,max_stack,stackable,weight,sell_price,stall_price_lower_limit,stall_price_upper_limit,quality,is_visible
1053,技能：<color=#eb9437ff>水球禁锢</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1055,技能：<color=#eb9438ff>引力标枪</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1056,技能：<color=#eb9439ff>致盲</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
1057,技能：<color=#eb9438ff>一号杀手</color>,,1043.0,Uncategorized,0.0,0.0,0.0,0.0,,,,,0
10101001,fabre card,Fabre Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101002,lunatic card,Lunatic Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101003,familiar card,Familiar Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101004,female thief bug card,Female Thief Bug Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101005,rocker card,Rocker Card,99999.0,Armor Card,0.0,,,,,,,,1
10101006,savage bebe card,Savage Bebe Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101007,wolf card,Wolf Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101008,mandragora card,Mandragora Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101009,caramel card,Caramel Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101010,drops card,Drops Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101011,hydra card,Hydra Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101013,plankton card,Plankton Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101014,shellfish card,Shellfish Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101015,vadon card,Vadon Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101016,marina card,Marina Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101017,deviace card,Deviace Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101019,goblin archer card,Goblin Archer Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101020,goblin steamrider card,Goblin Steamrider Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101021,hornet card,Hornet Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101022,flora card,Flora Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101023,pecopeco egg card,Pecopeco Egg Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101024,andre card,Andre Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101025,drainliar card,Drainliar Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101026,golem card,Golem Card,99999.0,Accessory Card,0.0,,,,,,,,1
10101027,desert wolf card,Desert Wolf Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101028,scorpion card,Scorpion Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101029,skeleton card,Skeleton Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101030,mummy card,Mummy Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101031,archer skeleton card,Archer Skeleton Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101032,minorous card,Minorous Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101033,metaller card,Metaller Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101034,anacondaq card,Anacondaq Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101035,side winder card,Side Winder Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101036,magnolia card,Magnolia Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101037,orc lady card,Orc Lady Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101038,orc skeleton card,Orc Skeleton Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101039,zenorc card,Zenorc Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101040,hunter fly card,Hunter Fly Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101041,rotar zairo card,Rotar Zairo Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101043,drake card [day],Drake Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101044,strouf card [day],Strouf Card,99999.0,Armor Card,0.0,,,,,,,,1
10101046,phreeoni card [day],Phreeoni Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101047,soldier skeleton card,Soldier Skeleton Card,99999.0,Accessory Card,0.0,,,,,,,,1
10101048,skeleton worker card,Skeleton Worker Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101049,ground petite card,Ground Petite Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101050,requiem card,Requiem Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101051,snake card,Snake Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101052,necromancer card,Necromancer Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101053,doppelganger card,Doppelganger Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101054,mutant dragonoid card,Mutant Dragonoid Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101055,dracula card [day],Dracula Card,99999.0,Cloak Card,0.0,,,,,,,,1
10101056,dark priest card,Dark Priest Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101057,baphomet card,Baphomet Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101058,dead plankton card,Dead Plankton Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101059,axe-wielding skel pirate card,Dagger-wielding Skel Pirate Card,99999.0,Shoes Card,0.0,,,,,,,,1
10101060,piere card,Piere Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101061,flail-wielding goblin card,Flail-wielding Goblin Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101062,mace-wielding kobold card,Mace-wielding Kobold Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101063,mace-wielding goblin card,Mace-wielding Goblin Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101064,hammer-wielding goblin card,Hammer-wielding Goblin Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101065,hammer-wielding kobold card,Hammer-wielding Kobold Card,99999.0,Accessory Card,0.0,,,,,,,,1
10101066,axe-wielding goblin card,Axe-wielding Goblin Card,99999.0,Headgear Card,0.0,,,,,,,,1
10101067,dagger-wielding goblin card,Dagger-wielding Goblin Card,99999.0,Shoes Card,0.0,,,,,,,,1
10101068,axe-wielding kobold card,Axe-wielding Kobold Card,99999.0,Shoes Card,0.0,,,,,,,,1
10101069,dragon fly card [night],[Night] Dragon Fly Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101070,osiris card [void],[Void] Osiris Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101071,ghostring card [night],[Night] Ghostring Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101072,mistress card [night],[Night] Mistress Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101073,kraken card [night],[Night] Kraken Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101074,eddga card [void],[Void] Eddga Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101075,strouf card [void],[Void] Strouf Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101076,moonlight flower card [void],[Void] Moonlight Flower Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101077,dracula card [void],[Void] Dracula Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101078,toad card [night],[Night] Toad Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101079,deviling card [night],[Night] Deviling Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101080,angeling card [night],[Night] Angeling Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101081,pharaoh card [night],[Night] Pharaoh Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101082,orc lord card [night],[Night] Orc Lord Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101083,zombie prisoner card,Zombie Prisoner Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101084,sting card,Sting Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101085,abysmal knight card,Abysmal Knight Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101086,raydric archer card,Raydric Archer Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101087,amon ra card [void],Amon Ra Card [Void],99999.0,Weapon Card,0.0,,,,,,,,1
10101088,amon ra card [day],Amon Ra Card [Day],99999.0,Weapon Card,0.0,,,,,,,,1
10101089,amon ra card [night],Amon Ra Card [Night],99999.0,Weapon Card,0.0,,,,,,,,1
10101090,doppelganger card [void],Doppelganger Card [Void],99999.0,Weapon Card,0.0,,,,,,,,1
10101091,vagabond wolf card [night],Vagabond Wolf Card [Night],99999.0,Weapon Card,0.0,,,,,,,,1
10101092,evil druid card,Evil Druid Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101093,khalitzburg card,Khalitzburg Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101094,phendark card,Phendark Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101095,owl duke card [day],Owl Duke Card [Day],99999.0,Weapon Card,0.0,,,,,,,,1
10101096,chimera card [day],Chimera Card [Day],99999.0,Weapon Card,0.0,,,,,,,,1
10101097,morroc card [day],Morroc Card [Day],99999.0,Weapon Card,0.0,,,,,,,,1
10101098,mysteltainn card [day],Mysteltainn Card [Day],99999.0,Weapon Card,0.0,,,,,,,,1
10101099,timekeeper card [void],Timekeeper Card [Void],99999.0,Weapon Card,0.0,,,,,,,,1
10101100,rimuru card,Rimuru Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101101,milim card,Milim Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101102,shizue card,Shizue Card,99999.0,Weapon Card,0.0,,,,,,,,1
10101103,storm dragon card [day],Storm Dragon Card [Day],99999.0,Weapon Card,0.0,,,,,,,,1
10101104,orc disaster card [day],Orc Disaster Card [Day],99999.0,Weapon Card,0.0,,,,,,,,1
10101105,利姆露卡片,利姆露卡片,99999.0,Weapon Card,0.0,,,,,,,,1
10101106,米莉姆卡片,米莉姆卡片,99999.0,Weapon Card,0.0,,,,,,,,1
10101107,静卡片,静卡片,99999.0,Weapon Card,0.0,,,,,,,,1
10101108,暴风龙卡片【昼】,暴风龙卡片【昼】,99999.0,Weapon Card,0.0,,,,,,,,1
10101109,猪头帝卡片【昼】,猪头帝卡片【昼】,99999.0,Weapon Card,0.0,,,,,,,,1
10101110,ogretooth card [day],,99999.0,Weapon Card,0.0,,,,,,,,1
10101111,lost dragon card [night],,99999.0,Weapon Card,0.0,,,,,,,,1
10101112,necromancer card [void],,99999.0,Weapon Card,0.0,,,,,,,,1
10101113,necromancer card [day],,99999.0,Weapon Card,0.0,,,,,,,,1
10101114,mutant dragonoid card [void],,99999.0,Weapon Card,0.0,,,,,,,,1
10101115,tri joint card,,99999.0,Weapon Card,0.0,,,,,,,,1
10101116,shellfish card,,99999.0,Weapon Card,0.0,,,,,,,,1
10101117,megalodon card,,99999.0,Weapon Card,0.0,,,,,,,,1
10101118,aster card,,99999.0,Weapon Card,0.0,,,,,,,,1
10101119,seal card,,99999.0,Weapon Card,0.0,,,,,,,,1
10101120,crab card,,99999.0,Weapon Card,0.0,,,,,,,,1
10101121,beast titan card [day],,99999.0,Weapon Card,0.0,,,,,,,,1
10101123,巨象甲虫卡片,,99999.0,Weapon Card,0.0,,,,,,,,1
10101124,无颅武士卡片,,99999.0,Weapon Card,0.0,,,,,,,,1
10101125,石炮火树卡片,,99999.0,Weapon Card,0.0,,,,,,,,1
10101126,爆钻伞蜥卡片,,99999.0,Weapon Card,0.0,,,,,,,,1
10101127,火焰颅骨卡片,,99999.0,Weapon Card,0.0,,,,,,,,1
10101128,嗜血怪人卡片,,99999.0,Weapon Card,0.0,,,,,,,,1
10101129,纳户特基格卡片【夜】,,99999.0,Weapon Card,0.0,,,,,,,,1
10101130,腔棘鱼卡片【昼】,,99999.0,Weapon Card,0.0,,,,,,,,1
10101131,纳户特基格卡片【冥】,,99999.0,Weapon Card,0.0,,,,,,,,1
10101132,死灵骑士卡片【夜】,,99999.0,Weapon Card,0.0,,,,,,,,1
10101133,贝雷杰卡片【昼】,,99999.0,Weapon Card,0.0,,,,,,,,1
10102001,poring card,Poring Card,99999.0,Headgear Card,0.0,,,,,,,,1
10102002,pupa card,Pupa Card,99999.0,Cloak Card,0.0,,,,,,,,1
10102003,picky card,Picky Card,99999.0,Armor Card,0.0,,,,,,,,1
10102004,thief bug card,Thief Bug Card,99999.0,Cloak Card,0.0,,,,,,,,1
10102005,roda frog card,Roda Frog Card,99999.0,Armor Card,0.0,,,,,,,,1
10102006,cornutus card,Cornutus Card,99999.0,Shoes Card,0.0,,,,,,,,1
10102007,swordfish card,Swordfish Card,99999.0,Armor Card,0.0,,,,,,,,1
10102008,marc card,Marc Card,99999.0,Armor Card,0.0,,,,,,,,1
10102009,argiope card,Argiope Card,99999.0,Armor Card,0.0,,,,,,,,1
10102010,pecopeco card,Pecopeco Card,99999.0,Shoes Card,0.0,,,,,,,,1
10102011,baby desert wolf card,Baby Desert Wolf Card,99999.0,Shoes Card,0.0,,,,,,,,1
10102013,steel chonchon card,Steel Chonchon Card,99999.0,Armor Card,0.0,,,,,,,,1
10102014,savage card,Savage Card,99999.0,Armor Card,0.0,,,,,,,,1
10102015,dokebi card,Dokebi Card,99999.0,Armor Card,0.0,,,,,,,,1
10102016,grasshopper card,Grasshopper Card,99999.0,Headgear Card,0.0,,,,,,,,1
10102017,ghostring card [day],Ghostring Card,99999.0,Armor Card,0.0,,,,,,,,1
10102018,angeling card [day],Angeling Card,99999.0,Armor Card,0.0,,,,,,,,1
10102019,picky (shell) card,Picky (Shell) Card,99999.0,Armor Card,0.0,,,,,,,,1
10102020,sasquatch card,Sasquatch Card,99999.0,Armor Card,0.0,,,,,,,,1
10102021,pasana card,Pasana Card,99999.0,Armor Card,0.0,,,,,,,,1
10102022,tao gunka card,Tao Gunka Card,99999.0,Armor Card,0.0,,,,,,,,1
10102024,orc lord card [day],Orc Lord Card,99999.0,Armor Card,0.0,,,,,,,,1
10102025,dagger-wielding skel pirate card,Dagger-wielding Skel Pirate Card,99999.0,Weapon Card,0.0,,,,,,,,1
10102026,phreeoni card [night],[Night] Phreeoni Card,99999.0,Armor Card,0.0,,,,,,,,1
10102027,rybio card,Rybio Card,99999.0,Armor Card,0.0,,,,,,,,1
10102028,dark priest card [night],Dark Priest Card [Night],99999.0,Armor Card,0.0,,,,,,,,1
10102029,brilight card,Brilight Card,99999.0,Armor Card,0.0,,,,,,,,1
10102030,bathory card,Bathory Card,99999.0,Armor Card,0.0,,,,,,,,1
10102031,timekeeper card [night],Timekeeper Card [Night],99999.0,Armor Card,0.0,,,,,,,,1
10102032,diablo card,Diablo Card,99999.0,Armor Card,0.0,,,,,,,,1
10102033,迪亚波罗卡片,迪亚波罗卡片,99999.0,Armor Card,0.0,,,,,,,,1
10102034,ogretooth card [night],,99999.0,Armor Card,0.0,,,,,,,,1
10102035,pest card,,99999.0,Armor Card,0.0,,,,,,,,1
10102036,anolian card,,99999.0,Armor Card,0.0,,,,,,,,1
10102037,levi card,,99999.0,Armor Card,0.0,,,,,,,,1
10102038,armored titan card [day],,99999.0,Armor Card,0.0,,,,,,,,1
10102039,colossal titan card [day],,99999.0,Armor Card,0.0,,,,,,,,1
10102043,机木人卡片,,99999.0,Armor Card,0.0,,,,,,,,1
10102044,银月魔女卡片,,99999.0,Armor Card,0.0,,,,,,,,1
10102045,死灵骑士卡片【冥】,,99999.0,Armor Card,0.0,,,,,,,,1
10103001,whisper card,Whisper Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103002,marse card,Marse Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103003,condor card,Condor Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103004,hode card,Hode Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103005,isis card,Isis Card,99999.0,Shoes Card,0.0,,,,,,,,1
10103006,frilldora card,Frilldora Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103007,nine tail card,Nine Tail Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103008,orc zombie card,Orc Zombie Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103009,jakk card,Jakk Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103010,marionette card,Marionette Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103011,toad card [day],Toad Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103012,mastering card [day],Mastering Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103013,dragon fly card [day],Dragon Fly Card,99999.0,Armor Card,0.0,,,,,,,,1
10103014,vagabond wolf card [day],Vagabond Wolf Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103015,eclipse card [day],Eclipse Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103016,orc baby card,Orc Baby Card,99999.0,Accessory Card,0.0,,,,,,,,1
10103017,deviling card [day],Deviling Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103018,myst card,Myst Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103019,bapho jr. card,Bapho Jr. Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103020,giant whisper card,Giant Whisper Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103021,kraken card [day],Kraken Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103022,dark lord card [void],Dark Lord Card [Void],99999.0,Cloak Card,0.0,,,,,,,,1
10103023,punk card,Punk Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103024,wanderer card,Wanderer Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103025,chimera card [night],Chimera Card [Night],99999.0,Cloak Card,0.0,,,,,,,,1
10103026,shion card,Shion Card,99999.0,Cloak Card,0.0,,,,,,,,1
10103027,紫苑卡片,紫苑卡片,99999.0,Cloak Card,0.0,,,,,,,,1
10103028,ogretooth card [void],,99999.0,Cloak Card,0.0,,,,,,,,1
10103029,thara frog card,,99999.0,Cloak Card,0.0,,,,,,,,1
10103030,megalith card,,99999.0,Cloak Card,0.0,,,,,,,,1
10103031,mikasa card,,99999.0,Cloak Card,0.0,,,,,,,,1
10103032,armored titan card [night],,99999.0,Cloak Card,0.0,,,,,,,,1
10103033,colossal titan card [night],,99999.0,Cloak Card,0.0,,,,,,,,1
10103037,巧克猴卡片,,99999.0,Cloak Card,0.0,,,,,,,,1
10103038,刺尾蜻蜓卡片,,99999.0,Cloak Card,0.0,,,,,,,,1
10103039,死灵骑士卡片【昼】,,99999.0,Cloak Card,0.0,,,,,,,,1
10104001,male thief bug card,Male Thief Bug Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104002,chonchon card,Chonchon Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104003,merman card,Merman Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104004,matyr card,Matyr Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104005,verit card,Verit Card,99999.0,Headgear Card,0.0,,,,,,,,1
10104006,zombie card,Zombie Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104007,eggyra card,Eggyra Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104008,sohee card,Sohee Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104009,raydric card,Raydric Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104010,eddga card [day],Eddga Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104011,moonlight flower card [day],Moonlight Flower Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104012,falling bishop card,Falling Bishop Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104013,amon ra card,Amon Ra Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104014,dark lord card,Dark Lord Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104015,cat o' nine tail card,Cat O' Nine Tail Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104016,skeleton general card,Skeleton General Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104017,ghostring card [void],[Void] Ghostring Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104018,mistress card [void],[Void] Mistress Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104019,king dramoh card [night],[Night] King Dramoh Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104020,orc hero card [night],[Night] Orc Hero Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104021,injustice card,Injustice Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104022,dark lord card [day],Dark Lord Card [Day],99999.0,Shoes Card,0.0,,,,,,,,1
10104023,mysteltainn card [night],Mysteltainn Card [Night],99999.0,Shoes Card,0.0,,,,,,,,1
10104024,ranga card,Ranga Card,99999.0,Shoes Card,0.0,,,,,,,,1
10104025,岚牙卡片,岚牙卡片,99999.0,Shoes Card,0.0,,,,,,,,1
10104026,lost dragon card [day],,99999.0,Shoes Card,0.0,,,,,,,,1
10104027,raggler card,,99999.0,Shoes Card,0.0,,,,,,,,1
10104028,merman card,,99999.0,Shoes Card,0.0,,,,,,,,1
10104029,eren card,,99999.0,Shoes Card,0.0,,,,,,,,1
10104030,armored titan card [void],,99999.0,Shoes Card,0.0,,,,,,,,1
10104031,colossal titan card [void],,99999.0,Shoes Card,0.0,,,,,,,,1
10104035,米杜沙卡片,,99999.0,Shoes Card,0.0,,,,,,,,1
10104036,僵尸屠戮者卡片,,99999.0,Shoes Card,0.0,,,,,,,,1
10104037,堕落的大神官希巴姆卡片【夜】,,99999.0,Shoes Card,0.0,,,,,,,,1
10105001,willow card,Willow Card,99999.0,Headgear Card,0.0,,,,,,,,1
10105002,coco card,Coco Card,99999.0,Headgear Card,0.0,,,,,,,,1
10105003,stainer card,Stainer Card,99999.0,Headgear Card,0.0,,,,,,,,1
10105004,giearth card,Giearth Card,99999.0,Headgear Card,0.0,,,,,,,,1
