equip_id,attribute,attribute_value,id
1101042,P.ATK,870.0,79
1101042,P.PEN,435.0,80
1101043,P.ATK,870.0,81
1101043,P.PEN,435.0,82
1101044,P.ATK,300.0,83
1101044,P.PEN,150.0,84
1101045,P.ATK,960.0,85
1101045,P.PEN,480.0,86
1101046,P.ATK,380.0,87
1101046,P.PEN,190.0,88
1101047,P.ATK,480.0,89
1101047,P.PEN,240.0,90
1101048,P.ATK,480.0,91
1101048,P.PEN,240.0,92
1101049,P.ATK,440.0,93
1101049,P.PEN,220.0,94
1101050,P.ATK,600.0,95
1101050,P.PEN,300.0,96
1101051,P.ATK,300.0,97
1101051,P.PEN,150.0,98
1101052,P.ATK,380.0,99
1101052,P.PEN,190.0,100
1101053,P.ATK,480.0,101
1101053,P.PEN,240.0,102
1101054,P.ATK,220.0,103
1101054,P.PEN,110.0,104
1101055,P.ATK,300.0,105
1101055,P.PEN,150.0,106
1101056,P.ATK,380.0,107
1101056,P.PEN,190.0,108
1101057,P.ATK,480.0,109
1101057,P.PEN,240.0,110
1101058,P.ATK,380.0,111
1101058,P.PEN,190.0,112
1101059,P.ATK,480.0,113
1101059,P.PEN,240.0,114
1101060,P.ATK,1400.0,115
1101060,P.PEN,700.0,116
1101061,P.ATK,1230.0,117
1101061,P.PEN,615.0,118
1101063,P.ATK,820.0,121
1101063,P.PEN,410.0,122
1101064,P.ATK,820.0,123
1101064,P.PEN,410.0,124
1101065,P.ATK,820.0,125
1101065,P.PEN,410.0,126
1101066,P.ATK,820.0,127
1101066,P.PEN,410.0,128
1101067,P.ATK,820.0,129
1101067,P.PEN,410.0,130
1101068,P.ATK,820.0,131
1101068,P.PEN,410.0,132
1101069,P.ATK,1230.0,133
1101069,P.PEN,615.0,134
1101070,P.ATK,1230.0,135
1101070,P.PEN,615.0,136
1101071,P.ATK,1160.0,137
1101071,P.PEN,580.0,138
1101072,P.ATK,1160.0,139
1101072,P.PEN,580.0,140
1101073,P.ATK,1400.0,141
1101073,P.PEN,700.0,142
1101074,P.ATK,1400.0,143
1101074,P.PEN,700.0,144
1101075,P.ATK,1440.0,145
1101075,P.PEN,720.0,146
1101077,P.ATK,1640.0,149
1101077,P.PEN,820.0,150
1101078,P.ATK,960.0,151
1101078,P.PEN,480.0,152
1101079,P.ATK,960.0,153
1101079,P.PEN,480.0,154
1101080,P.ATK,960.0,155
1101080,P.PEN,480.0,156
1101081,P.ATK,960.0,157
1101081,P.PEN,480.0,158
1101082,P.ATK,960.0,159
1101082,P.PEN,480.0,160
1101083,P.ATK,960.0,161
1101083,P.PEN,480.0,162
1101084,P.ATK,1440.0,163
1101084,P.PEN,720.0,164
1101085,P.ATK,1440.0,165
1101085,P.PEN,720.0,166
1101087,P.ATK,1400.0,169
1101087,P.PEN,700.0,170
1101088,P.ATK,1400.0,171
1101088,P.PEN,700.0,172
1101089,P.ATK,1640.0,173
1101089,P.PEN,820.0,174
1101090,P.ATK,1640.0,175
1101090,P.PEN,820.0,176
1101091,P.ATK,1640.0,177
1101091,P.PEN,820.0,178
1102004,P.ATK,100.0,187
1102004,P.PEN,50.0,188
1102005,P.ATK,580.0,189
1102005,P.PEN,290.0,190
1102006,P.ATK,220.0,191
1102006,P.PEN,110.0,192
1102007,P.ATK,480.0,193
1102007,P.PEN,240.0,194
1102008,P.ATK,600.0,195
1102008,P.PEN,300.0,196
1102009,P.ATK,320.0,197
1102009,P.PEN,160.0,198
1102010,P.ATK,380.0,199
1102010,P.PEN,190.0,200
1102011,P.ATK,580.0,201
1102011,P.PEN,290.0,202
1102012,P.ATK,580.0,203
1102012,P.PEN,290.0,204
1102013,P.ATK,300.0,205
1102013,P.PEN,150.0,206
1102014,P.ATK,580.0,207
1102014,P.PEN,290.0,208
1102015,P.ATK,580.0,209
1102015,P.PEN,290.0,210
1102016,P.ATK,580.0,211
1102016,P.PEN,290.0,212
1102017,P.ATK,760.0,213
1102017,P.PEN,380.0,214
1102018,P.ATK,760.0,215
1102018,P.PEN,380.0,216
1102019,P.ATK,1050.0,217
1102019,P.PEN,525.0,218
1102020,P.ATK,1050.0,219
1102020,P.PEN,525.0,220
1102021,P.ATK,1160.0,221
1102021,P.PEN,580.0,222
1102022,P.ATK,700.0,223
1102022,P.PEN,350.0,224
1102023,P.ATK,700.0,225
1102023,P.PEN,350.0,226
1102024,P.ATK,1050.0,227
1102024,P.PEN,525.0,228
1102025,P.ATK,700.0,229
1102025,P.PEN,350.0,230
1102026,P.ATK,700.0,231
1102026,P.PEN,350.0,232
1102027,P.ATK,700.0,233
1102027,P.PEN,350.0,234
1102028,P.ATK,700.0,235
1102028,P.PEN,350.0,236
1102029,P.ATK,960.0,237
1102029,P.PEN,480.0,238
1102030,P.ATK,25.0,239
1102030,P.PEN,25.0,240
1102031,P.ATK,150.0,241
1102031,P.PEN,75.0,242
1102032,P.ATK,240.0,243
1102032,P.PEN,120.0,244
1102033,P.ATK,330.0,245
1102033,P.PEN,165.0,246
1102034,P.ATK,570.0,247
1102034,P.PEN,285.0,248
1102035,P.ATK,160.0,249
1102035,P.PEN,80.0,250
1102036,P.ATK,450.0,251
1102036,P.PEN,225.0,252
1102037,P.ATK,720.0,253
1102037,P.PEN,360.0,254
1102038,P.ATK,160.0,255
1102038,P.PEN,80.0,256
1102039,P.ATK,220.0,257
1102039,P.PEN,110.0,258
1102040,P.ATK,870.0,259
1102040,P.PEN,435.0,260
1102041,P.ATK,870.0,261
1102041,P.PEN,435.0,262
1102042,P.ATK,300.0,263
1102042,P.PEN,150.0,264
1102043,P.ATK,960.0,265
1102043,P.PEN,480.0,266
1102044,P.ATK,380.0,267
1102044,P.PEN,190.0,268
1102045,P.ATK,480.0,269
1102045,P.PEN,240.0,270
1102046,P.ATK,480.0,271
1102046,P.PEN,240.0,272
1102047,P.ATK,440.0,273
1102047,P.PEN,220.0,274
1102048,P.ATK,600.0,275
1102048,P.PEN,300.0,276
1102049,P.ATK,300.0,277
1102049,P.PEN,150.0,278
1102050,P.ATK,380.0,279
1102050,P.PEN,190.0,280
1102051,P.ATK,480.0,281
1102051,P.PEN,240.0,282
1102052,P.ATK,220.0,283
1102052,P.PEN,110.0,284
1102053,P.ATK,300.0,285
1102053,P.PEN,150.0,286
1102054,P.ATK,380.0,287
1102054,P.PEN,190.0,288
1102055,P.ATK,480.0,289
1102055,P.PEN,240.0,290
1102056,P.ATK,380.0,291
1102056,P.PEN,190.0,292
1102057,P.ATK,480.0,293
1102057,P.PEN,240.0,294
1102058,P.ATK,960.0,295
1102058,P.PEN,480.0,296
1102059,P.ATK,1160.0,297
1102059,P.PEN,580.0,298
1102060,P.ATK,1400.0,299
1102060,P.PEN,700.0,300
1102061,P.ATK,1230.0,301
1102061,P.PEN,615.0,302
1102063,P.ATK,820.0,305
1102063,P.PEN,410.0,306
1102064,P.ATK,820.0,307
1102064,P.PEN,410.0,308
1102065,P.ATK,820.0,309
1102065,P.PEN,410.0,310
1102066,P.ATK,820.0,311
1102066,P.PEN,410.0,312
1102067,P.ATK,820.0,313
1102067,P.PEN,410.0,314
1102068,P.ATK,820.0,315
1102068,P.PEN,410.0,316
1102069,P.ATK,1230.0,317
1102069,P.PEN,615.0,318
1102070,P.ATK,1230.0,319
1102070,P.PEN,615.0,320
1102071,P.ATK,1160.0,321
1102071,P.PEN,580.0,322
1102072,P.ATK,1160.0,323
1102072,P.PEN,580.0,324
1102073,P.ATK,1400.0,325
1102073,P.PEN,700.0,326
1102074,P.ATK,1400.0,327
1102074,P.PEN,700.0,328
1102075,P.ATK,1440.0,329
1102075,P.PEN,720.0,330
1102077,P.ATK,1640.0,333
1102077,P.PEN,820.0,334
1102078,P.ATK,960.0,335
1102078,P.PEN,480.0,336
1102079,P.ATK,960.0,337
1102079,P.PEN,480.0,338
1102080,P.ATK,960.0,339
1102080,P.PEN,480.0,340
1102081,P.ATK,960.0,341
1102081,P.PEN,480.0,342
1102082,P.ATK,960.0,343
1102082,P.PEN,480.0,344
1102083,P.ATK,960.0,345
1102083,P.PEN,480.0,346
1102084,P.ATK,1440.0,347
1102084,P.PEN,720.0,348
1102085,P.ATK,1440.0,349
1102085,P.PEN,720.0,350
1102087,P.ATK,1400.0,353
1102087,P.PEN,700.0,354
1102088,P.ATK,1400.0,355
1102088,P.PEN,700.0,356
1102089,P.ATK,1640.0,357
1102089,P.PEN,820.0,358
1102090,P.ATK,1640.0,359
1102090,P.PEN,820.0,360
1102091,P.ATK,1640.0,361
1102091,P.PEN,820.0,362
1103002,M.ATK,100.0,367
1103002,M.PEN,50.0,368
1103003,M.ATK,220.0,369
1103003,M.PEN,110.0,370
1103004,M.ATK,380.0,371
1103004,M.PEN,190.0,372
1103005,M.ATK,300.0,373
1103005,M.PEN,150.0,374
1103006,M.ATK,600.0,375
1103006,M.PEN,300.0,376
1103007,M.ATK,320.0,377
1103007,M.PEN,160.0,378
1103008,M.ATK,580.0,379
1103008,M.PEN,290.0,380
1103009,M.ATK,580.0,381
1103009,M.PEN,290.0,382
1103010,M.ATK,580.0,383
1103010,M.PEN,290.0,384
1103011,M.ATK,580.0,385
1103011,M.PEN,290.0,386
1103012,M.ATK,580.0,387
1103012,M.PEN,290.0,388
1103013,M.ATK,580.0,389
1103013,M.PEN,290.0,390
1103014,M.ATK,760.0,391
1103014,M.PEN,380.0,392
1103015,M.ATK,760.0,393
1103015,M.PEN,380.0,394
1103016,M.ATK,480.0,395
1103016,M.PEN,240.0,396
1103017,M.ATK,1050.0,397
1103017,M.PEN,525.0,398
1103018,M.ATK,1050.0,399
1103018,M.PEN,525.0,400
1103019,M.ATK,1160.0,401
1103019,M.PEN,580.0,402
1103020,M.ATK,960.0,403
1103020,M.PEN,480.0,404
1103021,M.ATK,960.0,405
1103021,M.PEN,480.0,406
1103022,M.ATK,1160.0,407
1103022,M.PEN,580.0,408
1103023,M.ATK,700.0,409
1103023,M.PEN,350.0,410
1103024,M.ATK,700.0,411
1103024,M.PEN,350.0,412
1103025,M.ATK,700.0,413
1103025,M.PEN,350.0,414
1103026,M.ATK,1050.0,415
1103026,M.PEN,525.0,416
1103027,M.ATK,700.0,417
1103027,M.PEN,350.0,418
1103028,M.ATK,700.0,419
1103028,M.PEN,350.0,420
1103029,M.ATK,700.0,421
1103029,M.PEN,350.0,422
1103030,M.ATK,25.0,423
1103030,M.PEN,25.0,424
1103031,M.ATK,150.0,425
1103031,M.PEN,75.0,426
1103032,M.ATK,240.0,427
1103032,M.PEN,120.0,428
1103033,M.ATK,330.0,429
1103033,M.PEN,165.0,430
1103034,M.ATK,570.0,431
1103034,M.PEN,285.0,432
1103035,M.ATK,160.0,433
1103035,M.PEN,80.0,434
1103036,M.ATK,450.0,435
1103036,M.PEN,225.0,436
1103037,M.ATK,720.0,437
1103037,M.PEN,360.0,438
1103038,M.ATK,160.0,439
1103038,M.PEN,80.0,440
1103039,M.ATK,220.0,441
1103039,M.PEN,110.0,442
1103040,M.ATK,870.0,443
1103040,M.PEN,435.0,444
1103041,M.ATK,870.0,445
1103041,M.PEN,435.0,446
1103042,M.ATK,300.0,447
1103042,M.PEN,150.0,448
1103043,M.ATK,960.0,449
1103043,M.PEN,480.0,450
1103044,M.ATK,380.0,451
1103044,M.PEN,190.0,452
1103045,M.ATK,480.0,453
1103045,M.PEN,240.0,454
1103046,M.ATK,480.0,455
1103046,M.PEN,240.0,456
1103047,M.ATK,440.0,457
1103047,M.PEN,220.0,458
1103048,M.ATK,600.0,459
1103048,M.PEN,300.0,460
1103049,M.ATK,300.0,461
1103049,M.PEN,150.0,462
1103050,M.ATK,380.0,463
1103050,M.PEN,190.0,464
1103051,M.ATK,480.0,465
1103051,M.PEN,240.0,466
1103052,M.ATK,220.0,467
1103052,M.PEN,110.0,468
1103053,M.ATK,300.0,469
1103053,M.PEN,150.0,470
1103054,M.ATK,380.0,471
1103054,M.PEN,190.0,472
1103055,M.ATK,480.0,473
1103055,M.PEN,240.0,474
1103056,M.ATK,380.0,475
1103056,M.PEN,190.0,476
1103057,M.ATK,480.0,477
1103057,M.PEN,240.0,478
1103058,M.ATK,1400.0,479
1103058,M.PEN,700.0,480
1103059,M.ATK,1230.0,481
1103059,M.PEN,615.0,482
1103061,M.ATK,820.0,485
1103061,M.PEN,410.0,486
1103062,M.ATK,820.0,487
1103062,M.PEN,410.0,488
1103063,M.ATK,820.0,489
1103063,M.PEN,410.0,490
1103064,M.ATK,820.0,491
1103064,M.PEN,410.0,492
1103065,M.ATK,820.0,493
1103065,M.PEN,410.0,494
1103066,M.ATK,820.0,495
1103066,M.PEN,410.0,496
1103067,M.ATK,1230.0,497
1103067,M.PEN,615.0,498
1103068,M.ATK,1230.0,499
1103068,M.PEN,615.0,500
1103069,M.ATK,1160.0,501
1103069,M.PEN,580.0,502
1103070,M.ATK,1160.0,503
1103070,M.PEN,580.0,504
1103071,M.ATK,1400.0,505
1103071,M.PEN,700.0,506
1103072,M.ATK,1400.0,507
1103072,M.PEN,700.0,508
1103073,M.ATK,1440.0,509
1103073,M.PEN,720.0,510
1103075,M.ATK,1640.0,513
1103075,M.PEN,820.0,514
1103076,M.ATK,960.0,515
1103076,M.PEN,480.0,516
1103077,M.ATK,960.0,517
1103077,M.PEN,480.0,518
1103078,M.ATK,960.0,519
1103078,M.PEN,480.0,520
1103079,M.ATK,960.0,521
1103079,M.PEN,480.0,522
1103080,M.ATK,960.0,523
1103080,M.PEN,480.0,524
1103081,M.ATK,960.0,525
1103081,M.PEN,480.0,526
1103082,M.ATK,1440.0,527
1103082,M.PEN,720.0,528
1103083,M.ATK,1440.0,529
1103083,M.PEN,720.0,530
1103085,M.ATK,1400.0,533
1103085,M.PEN,700.0,534
1103086,M.ATK,1400.0,535
1103086,M.PEN,700.0,536
1103087,M.ATK,1640.0,537
1103087,M.PEN,820.0,538
1103088,M.ATK,1640.0,539
1103088,M.PEN,820.0,540
1103089,M.ATK,1640.0,541
1103089,M.PEN,820.0,542
1104002,P.ATK,138.0,547
1104002,ASPD,83.0,548
1104003,P.ATK,238.0,549
1104003,ASPD,143.0,550
1104004,P.ATK,300.0,551
1104004,ASPD,180.0,552
1104005,P.ATK,363.0,553
1104005,ASPD,218.0,554
1104006,P.ATK,63.0,555
1104006,ASPD,38.0,556
1104007,P.ATK,188.0,557
1104007,ASPD,113.0,558
1104008,P.ATK,375.0,559
1104008,ASPD,225.0,560
1104009,P.ATK,363.0,561
1104009,ASPD,218.0,562
1104010,P.ATK,363.0,563
1104010,ASPD,218.0,564
1104011,P.ATK,363.0,565
1104011,ASPD,218.0,566
1104012,P.ATK,363.0,567
1104012,ASPD,218.0,568
1104013,P.ATK,200.0,569
1104013,ASPD,120.0,570
1104014,P.ATK,363.0,571
1104014,ASPD,218.0,572
1104015,P.ATK,475.0,573
1104015,ASPD,285.0,574
1104016,P.ATK,475.0,575
1104016,ASPD,285.0,576
1104017,P.ATK,656.0,577
1104017,ASPD,394.0,578
1104018,P.ATK,656.0,579
1104018,ASPD,394.0,580
1104019,P.ATK,725.0,581
1104019,ASPD,435.0,582
1104020,P.ATK,600.0,583
1104020,ASPD,360.0,584
1104021,P.ATK,600.0,585
1104021,ASPD,360.0,586
1104022,P.ATK,725.0,587
1104022,ASPD,435.0,588
1104023,P.ATK,438.0,589
1104023,ASPD,263.0,590
1104024,P.ATK,438.0,591
1104024,ASPD,263.0,592
1104025,P.ATK,438.0,593
1104025,ASPD,263.0,594
1104026,P.ATK,656.0,595
1104026,ASPD,394.0,596
1104027,P.ATK,438.0,597
1104027,ASPD,263.0,598
1104028,P.ATK,438.0,599
1104028,ASPD,263.0,600
1104029,P.ATK,438.0,601
1104029,ASPD,263.0,602
1104030,P.ATK,25.0,603
1104030,ASPD,25.0,604
1104031,P.ATK,94.0,605
1104031,ASPD,56.0,606
1104032,P.ATK,150.0,607
1104032,ASPD,90.0,608
1104033,P.ATK,206.0,609
1104033,ASPD,124.0,610
1104034,P.ATK,356.0,611
1104034,ASPD,214.0,612
1104035,P.ATK,100.0,613
1104035,ASPD,60.0,614
1104036,P.ATK,281.0,615
1104036,ASPD,169.0,616
1104037,P.ATK,450.0,617
1104037,ASPD,270.0,618
1104038,P.ATK,100.0,619
1104038,ASPD,60.0,620
1104039,P.ATK,138.0,621
1104039,ASPD,83.0,622
1104040,P.ATK,544.0,623
1104040,ASPD,326.0,624
1104041,P.ATK,544.0,625
1104041,ASPD,326.0,626
1104042,P.ATK,188.0,627
1104042,ASPD,113.0,628
1104043,P.ATK,600.0,629
1104043,ASPD,360.0,630
1104044,P.ATK,238.0,631
1104044,ASPD,143.0,632
1104045,P.ATK,300.0,633
1104045,ASPD,180.0,634
1104046,P.ATK,300.0,635
1104046,ASPD,180.0,636
1104047,P.ATK,275.0,637
1104047,ASPD,165.0,638
1104048,P.ATK,375.0,639
1104048,ASPD,225.0,640
1104049,P.ATK,188.0,641
1104049,ASPD,113.0,642
1104050,P.ATK,238.0,643
1104050,ASPD,143.0,644
1104051,P.ATK,300.0,645
1104051,ASPD,180.0,646
1104052,P.ATK,138.0,647
1104052,ASPD,83.0,648
1104053,P.ATK,188.0,649
1104053,ASPD,113.0,650
1104054,P.ATK,238.0,651
1104054,ASPD,143.0,652
1104055,P.ATK,300.0,653
1104055,ASPD,180.0,654
1104056,P.ATK,238.0,655
1104056,ASPD,143.0,656
1104057,P.ATK,300.0,657
1104057,ASPD,180.0,658
1104058,P.ATK,875.0,659
1104058,ASPD,525.0,660
1104059,P.ATK,769.0,661
1104059,ASPD,461.0,662
1104061,P.ATK,513.0,665
1104061,ASPD,308.0,666
1104062,P.ATK,513.0,667
1104062,ASPD,308.0,668
1104063,P.ATK,513.0,669
1104063,ASPD,308.0,670
1104064,P.ATK,513.0,671
1104064,ASPD,308.0,672
1104065,P.ATK,513.0,673
1104065,ASPD,308.0,674
1104066,P.ATK,513.0,675
1104066,ASPD,308.0,676
1104067,P.ATK,769.0,677
1104067,ASPD,461.0,678
1104068,P.ATK,769.0,679
1104068,ASPD,461.0,680
1104069,P.ATK,725.0,681
1104069,ASPD,435.0,682
1104070,P.ATK,725.0,683
1104070,ASPD,435.0,684
1104071,P.ATK,875.0,685
1104071,ASPD,525.0,686
1104072,P.ATK,875.0,687
1104072,ASPD,525.0,688
1104073,P.ATK,900.0,689
1104073,ASPD,540.0,690
1104075,P.ATK,1025.0,693
1104075,ASPD,615.0,694
1104076,P.ATK,600.0,695
1104076,ASPD,360.0,696
1104077,P.ATK,600.0,697
1104077,ASPD,360.0,698
1104078,P.ATK,600.0,699
1104078,ASPD,360.0,700
1104079,P.ATK,600.0,701
1104079,ASPD,360.0,702
1104080,P.ATK,600.0,703
1104080,ASPD,360.0,704
1104081,P.ATK,600.0,705
1104081,ASPD,360.0,706
1104082,P.ATK,900.0,707
1104082,ASPD,540.0,708
1104083,P.ATK,900.0,709
1104083,ASPD,540.0,710
1104085,P.ATK,875.0,713
1104085,ASPD,525.0,714
1104086,P.ATK,875.0,715
1104086,ASPD,525.0,716
1104087,P.ATK,1025.0,717
1104087,ASPD,615.0,718
1104088,P.ATK,1025.0,719
1104088,ASPD,615.0,720
1104089,P.ATK,1025.0,721
1104089,ASPD,615.0,722
1105002,P.ATK,63.0,727
1105002,haste,31.0,728
1105003,P.ATK,363.0,729
1105003,haste,181.0,730
1105004,P.ATK,138.0,731
1105004,haste,69.0,732
1105005,P.ATK,188.0,733
1105005,haste,94.0,734
1105006,P.ATK,363.0,735
1105006,haste,181.0,736
1105007,P.ATK,363.0,737
1105007,haste,181.0,738
1105008,P.ATK,363.0,739
1105008,haste,181.0,740
1105009,P.ATK,300.0,741
1105009,haste,150.0,742
1105010,P.ATK,363.0,743
1105010,haste,181.0,744
1105011,P.ATK,363.0,745
1105011,haste,181.0,746
1105012,P.ATK,475.0,747
1105012,haste,238.0,748
1105013,P.ATK,475.0,749
1105013,haste,238.0,750
1105014,P.ATK,656.0,751
1105014,haste,328.0,752
1105015,P.ATK,656.0,753
1105015,haste,328.0,754
1105016,P.ATK,375.0,755
1105016,haste,188.0,756
1105017,P.ATK,238.0,757
1105017,haste,119.0,758
1105018,P.ATK,200.0,759
1105018,haste,100.0,760
1105019,P.ATK,725.0,761
1105019,haste,363.0,762
1105020,P.ATK,600.0,763
1105020,haste,300.0,764
1105021,P.ATK,600.0,765
1105021,haste,300.0,766
1105022,P.ATK,725.0,767
1105022,haste,363.0,768
1105023,P.ATK,438.0,769
1105023,haste,219.0,770
1105024,P.ATK,438.0,771
1105024,haste,219.0,772
1105025,P.ATK,438.0,773
1105025,haste,219.0,774
1105026,P.ATK,656.0,775
1105026,haste,328.0,776
1105027,P.ATK,438.0,777
1105027,haste,219.0,778
1105028,P.ATK,438.0,779
1105028,haste,219.0,780
1105029,P.ATK,438.0,781
1105029,haste,219.0,782
1105030,P.ATK,25.0,783
1105030,haste,12.0,784
1105031,P.ATK,94.0,785
1105031,haste,47.0,786
1105032,P.ATK,150.0,787
1105032,haste,75.0,788
1105033,P.ATK,206.0,789
1105033,haste,103.0,790
1105034,P.ATK,356.0,791
1105034,haste,178.0,792
1105035,P.ATK,100.0,793
1105035,haste,50.0,794
1105036,P.ATK,281.0,795
1105036,haste,141.0,796
1105037,P.ATK,450.0,797
1105037,haste,225.0,798
1105038,P.ATK,100.0,799
1105038,haste,50.0,800
1105039,P.ATK,138.0,801
1105039,haste,69.0,802
1105040,P.ATK,544.0,803
1105040,haste,272.0,804
1105041,P.ATK,544.0,805
1105041,haste,272.0,806
1105042,P.ATK,188.0,807
1105042,haste,94.0,808
1105043,P.ATK,600.0,809
1105043,haste,300.0,810
1105044,P.ATK,238.0,811
1105044,haste,119.0,812
1105045,P.ATK,300.0,813
1105045,haste,150.0,814
1105046,P.ATK,300.0,815
1105046,haste,150.0,816
1105047,P.ATK,275.0,817
1105047,haste,138.0,818
1105048,P.ATK,375.0,819
1105048,haste,188.0,820
1105049,P.ATK,188.0,821
1105049,haste,94.0,822
1105050,P.ATK,238.0,823
1105050,haste,119.0,824
1105051,P.ATK,300.0,825
1105051,haste,150.0,826
1105052,P.ATK,138.0,827
1105052,haste,69.0,828
1105053,P.ATK,188.0,829
1105053,haste,94.0,830
1105054,P.ATK,238.0,831
1105054,haste,119.0,832
1105055,P.ATK,300.0,833
1105055,haste,150.0,834
1105056,P.ATK,238.0,835
1105056,haste,119.0,836
1105057,P.ATK,300.0,837
1105057,haste,150.0,838
1105058,P.ATK,875.0,839
1105058,haste,438.0,840
1105059,P.ATK,769.0,841
1105059,haste,384.0,842
1105061,P.ATK,513.0,845
1105061,haste,256.0,846
1105062,P.ATK,513.0,847
1105062,haste,256.0,848
1105063,P.ATK,513.0,849
1105063,haste,256.0,850
1105064,P.ATK,513.0,851
1105064,haste,256.0,852
1105065,P.ATK,513.0,853
1105065,haste,256.0,854
1105066,P.ATK,513.0,855
1105066,haste,256.0,856
1105067,P.ATK,769.0,857
1105067,haste,384.0,858
1105068,P.ATK,769.0,859
1105068,haste,384.0,860
1105069,P.ATK,725.0,861
1105069,haste,363.0,862
1105070,P.ATK,725.0,863
1105070,haste,363.0,864
1105071,P.ATK,875.0,865
1105071,haste,438.0,866
1105072,P.ATK,875.0,867
1105072,haste,438.0,868
1105073,P.ATK,900.0,869
1105073,haste,450.0,870
1105075,P.ATK,1025.0,873
1105075,haste,513.0,874
1105076,P.ATK,600.0,875
1105076,haste,300.0,876
1105077,P.ATK,600.0,877
1105077,haste,300.0,878
1105078,P.ATK,600.0,879
1105078,haste,300.0,880
1105079,P.ATK,600.0,881
1105079,haste,300.0,882
1105080,P.ATK,600.0,883
1105080,haste,300.0,884
1105081,P.ATK,600.0,885
1105081,haste,300.0,886
1105082,P.ATK,900.0,887
1105082,haste,450.0,888
1105083,P.ATK,900.0,889
1105083,haste,450.0,890
1105085,P.ATK,875.0,893
1105085,haste,438.0,894
1105086,P.ATK,875.0,895
1105086,haste,438.0,896
1105087,P.ATK,1025.0,897
1105087,haste,513.0,898
1105088,P.ATK,1025.0,899
1105088,haste,513.0,900
1105089,P.ATK,1025.0,901
1105089,haste,513.0,902
1107002,M.ATK,475.0,905
1107002,haste,237.0,906
1107003,M.ATK,725.0,907
1107003,haste,363.0,908
1107004,M.ATK,725.0,909
1107004,haste,363.0,910
1107005,M.ATK,725.0,911
1107005,haste,363.0,912
1107006,M.ATK,725.0,913
1107006,haste,363.0,914
1107007,M.ATK,725.0,915
1107007,haste,363.0,916
1107008,M.ATK,125.0,917
1107008,haste,62.0,918
1107009,M.ATK,725.0,919
1107009,haste,363.0,920
1107010,M.ATK,375.0,921
1107010,haste,187.0,922
1107011,M.ATK,275.0,923
1107011,haste,137.0,924
1107012,M.ATK,950.0,925
1107012,haste,475.0,926
1107013,M.ATK,950.0,927
1107013,haste,475.0,928
1107014,M.ATK,600.0,929
1107014,haste,300.0,930
1107015,M.ATK,1313.0,931
1107015,haste,656.0,932
1107016,M.ATK,1313.0,933
1107016,haste,656.0,934
1107017,M.ATK,1450.0,935
1107017,haste,725.0,936
1107018,M.ATK,1200.0,937
1107018,haste,600.0,938
1107019,M.ATK,1200.0,939
1107019,haste,600.0,940
1107020,M.ATK,1450.0,941
1107020,haste,725.0,942
1107021,M.ATK,875.0,943
1107021,haste,438.0,944
