id,refine_id,inherit_zeny,need_zeny,normal_num,break_rate,upgrade_rate,downgrade_rate,refine_lv,special_num,quality,normal_item,special_item
1021,79,15000,15000,6,10,25,25,6,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
1022,79,30000,30000,12,15,20,25,7,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
1023,79,30000,30000,12,15,20,25,8,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
1024,79,60000,60000,6,15,20,30,9,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1025,79,60000,60000,6,15,20,30,10,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1026,79,150000,150000,12,20,20,30,11,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1027,79,150000,150000,12,20,20,30,12,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1028,80,0,0,0,0,0,0,0,0,2,,
1029,80,6000,6000,12,0,100,0,1,0,2,Oridecon,
103,8,100000,100000,8,20,20,30,11,4,1,HD Oridecon,Blessed Oridecon Ⅰ
1030,80,6000,6000,12,0,50,0,2,0,2,Oridecon,
1031,80,15000,15000,24,0,33,0,3,0,2,Oridecon,
1032,80,15000,15000,24,0,25,0,4,0,2,Oridecon,
1033,80,30000,30000,12,10,25,25,5,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1034,80,30000,30000,12,10,25,25,6,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1035,80,60000,60000,24,15,20,25,7,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1036,80,60000,60000,24,15,20,25,8,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1037,80,150000,150000,12,15,20,30,9,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1038,80,150000,150000,12,15,20,30,10,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1039,80,300000,300000,24,20,20,30,11,12,2,HD Oridecon,Blessed Oridecon Ⅰ
104,8,100000,100000,8,20,20,30,12,4,1,HD Oridecon,Blessed Oridecon Ⅰ
1040,80,300000,300000,24,20,20,30,12,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1041,81,0,0,0,0,0,0,0,0,4,,
1042,81,15000,15000,24,0,100,0,1,0,4,Oridecon,
1043,81,15000,15000,24,0,50,0,2,0,4,Oridecon,
1044,81,30000,30000,48,0,33,0,3,0,4,Oridecon,
1045,81,30000,30000,48,0,25,0,4,0,4,Oridecon,
1046,81,60000,60000,24,10,25,25,5,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1047,81,60000,60000,24,10,25,25,6,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1048,81,150000,150000,48,15,20,25,7,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1049,81,150000,150000,48,15,20,25,8,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
105,9,0,0,0,0,0,0,0,0,2,,
1050,81,300000,300000,24,15,20,30,9,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1051,81,300000,300000,24,15,20,30,10,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1052,81,600000,600000,48,20,20,30,11,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1053,81,600000,600000,48,20,20,30,12,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1054,82,0,0,0,0,0,0,0,0,1,,
1055,82,3000,3000,6,0,100,0,1,0,1,Oridecon,
1056,82,3000,3000,6,0,50,0,2,0,1,Oridecon,
1057,82,6000,6000,12,0,33,0,3,0,1,Oridecon,
1058,82,6000,6000,12,0,25,0,4,0,1,Oridecon,
1059,82,15000,15000,6,10,25,25,5,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
106,9,4000,4000,8,0,100,0,1,0,2,Oridecon,
1060,82,15000,15000,6,10,25,25,6,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
1061,82,30000,30000,12,15,20,25,7,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
1062,82,30000,30000,12,15,20,25,8,6,1,Enriched Oridecon,Blessed Oridecon Ⅰ
1063,82,60000,60000,6,15,20,30,9,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1064,82,60000,60000,6,15,20,30,10,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1065,82,150000,150000,12,20,20,30,11,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1066,82,150000,150000,12,20,20,30,12,6,1,HD Oridecon,Blessed Oridecon Ⅰ
1067,83,0,0,0,0,0,0,0,0,2,,
1068,83,6000,6000,12,0,100,0,1,0,2,Oridecon,
1069,83,6000,6000,12,0,50,0,2,0,2,Oridecon,
107,9,4000,4000,8,0,50,0,2,0,2,Oridecon,
1070,83,15000,15000,24,0,33,0,3,0,2,Oridecon,
1071,83,15000,15000,24,0,25,0,4,0,2,Oridecon,
1072,83,30000,30000,12,10,25,25,5,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1073,83,30000,30000,12,10,25,25,6,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1074,83,60000,60000,24,15,20,25,7,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1075,83,60000,60000,24,15,20,25,8,12,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1076,83,150000,150000,12,15,20,30,9,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1077,83,150000,150000,12,15,20,30,10,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1078,83,300000,300000,24,20,20,30,11,12,2,HD Oridecon,Blessed Oridecon Ⅰ
1079,83,300000,300000,24,20,20,30,12,12,2,HD Oridecon,Blessed Oridecon Ⅰ
108,9,10000,10000,16,0,33,0,3,0,2,Oridecon,
1080,84,0,0,0,0,0,0,0,0,4,,
1081,84,15000,15000,24,0,100,0,1,0,4,Oridecon,
1082,84,15000,15000,24,0,50,0,2,0,4,Oridecon,
1083,84,30000,30000,48,0,33,0,3,0,4,Oridecon,
1084,84,30000,30000,48,0,25,0,4,0,4,Oridecon,
1085,84,60000,60000,24,10,25,25,5,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1086,84,60000,60000,24,10,25,25,6,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1087,84,150000,150000,48,15,20,25,7,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1088,84,150000,150000,48,15,20,25,8,24,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1089,84,300000,300000,24,15,20,30,9,24,4,HD Oridecon,Blessed Oridecon Ⅰ
109,9,10000,10000,16,0,25,0,4,0,2,Oridecon,
1090,84,300000,300000,24,15,20,30,10,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1091,84,600000,600000,48,20,20,30,11,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1092,84,600000,600000,48,20,20,30,12,24,4,HD Oridecon,Blessed Oridecon Ⅰ
1093,85,0,0,0,0,0,0,0,0,1,,
1094,85,1000,1000,2,0,100,0,1,0,1,Elunium,
1095,85,1000,1000,2,0,50,0,2,0,1,Elunium,
1096,85,2000,2000,4,0,33,0,3,0,1,Elunium,
1097,85,2000,2000,4,0,25,0,4,0,1,Elunium,
1098,85,5000,5000,2,10,25,25,5,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1099,85,5000,5000,2,10,25,25,6,2,1,Enriched Elunium,Blessed Elunium Ⅰ
11,1,40000,40000,4,15,20,30,10,4,1,HD Oridecon,Blessed Oridecon Ⅰ
110,9,20000,20000,8,10,25,25,5,8,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1100,85,10000,10000,4,15,20,25,7,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1101,85,10000,10000,4,15,20,25,8,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1102,85,20000,20000,2,15,20,30,9,2,1,HD Elunium,Blessed Elunium Ⅰ
1103,85,20000,20000,2,15,20,30,10,2,1,HD Elunium,Blessed Elunium Ⅰ
1104,85,50000,50000,4,20,20,30,11,2,1,HD Elunium,Blessed Elunium Ⅰ
1105,85,50000,50000,4,20,20,30,12,2,1,HD Elunium,Blessed Elunium Ⅰ
1106,86,0,0,0,0,0,0,0,0,1,,
1107,86,1000,1000,2,0,100,0,1,0,1,Elunium,
1108,86,1000,1000,2,0,50,0,2,0,1,Elunium,
1109,86,2000,2000,4,0,33,0,3,0,1,Elunium,
111,9,20000,20000,8,10,25,25,6,8,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1110,86,2000,2000,4,0,25,0,4,0,1,Elunium,
1111,86,5000,5000,2,10,25,25,5,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1112,86,5000,5000,2,10,25,25,6,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1113,86,10000,10000,4,15,20,25,7,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1114,86,10000,10000,4,15,20,25,8,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1115,86,20000,20000,2,15,20,30,9,2,1,HD Elunium,Blessed Elunium Ⅰ
1116,86,20000,20000,2,15,20,30,10,2,1,HD Elunium,Blessed Elunium Ⅰ
1117,86,50000,50000,4,20,20,30,11,2,1,HD Elunium,Blessed Elunium Ⅰ
1118,86,50000,50000,4,20,20,30,12,2,1,HD Elunium,Blessed Elunium Ⅰ
1119,87,0,0,0,0,0,0,0,0,1,,
112,9,40000,40000,16,15,20,25,7,8,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1120,87,1000,1000,2,0,100,0,1,0,1,Elunium,
1121,87,1000,1000,2,0,50,0,2,0,1,Elunium,
1122,87,2000,2000,4,0,33,0,3,0,1,Elunium,
1123,87,2000,2000,4,0,25,0,4,0,1,Elunium,
1124,87,5000,5000,2,10,25,25,5,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1125,87,5000,5000,2,10,25,25,6,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1126,87,10000,10000,4,15,20,25,7,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1127,87,10000,10000,4,15,20,25,8,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1128,87,20000,20000,2,15,20,30,9,2,1,HD Elunium,Blessed Elunium Ⅰ
1129,87,20000,20000,2,15,20,30,10,2,1,HD Elunium,Blessed Elunium Ⅰ
113,9,40000,40000,16,15,20,25,8,8,2,Enriched Oridecon,Blessed Oridecon Ⅰ
1130,87,50000,50000,4,20,20,30,11,2,1,HD Elunium,Blessed Elunium Ⅰ
1131,87,50000,50000,4,20,20,30,12,2,1,HD Elunium,Blessed Elunium Ⅰ
1132,88,0,0,0,0,0,0,0,0,2,,
1133,88,2000,2000,4,0,100,0,1,0,2,Elunium,
1134,88,2000,2000,4,0,50,0,2,0,2,Elunium,
1135,88,5000,5000,8,0,33,0,3,0,2,Elunium,
1136,88,5000,5000,8,0,25,0,4,0,2,Elunium,
1137,88,10000,10000,4,10,25,25,5,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1138,88,10000,10000,4,10,25,25,6,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1139,88,20000,20000,8,15,20,25,7,4,2,Enriched Elunium,Blessed Elunium Ⅰ
114,9,100000,100000,8,15,20,30,9,8,2,HD Oridecon,Blessed Oridecon Ⅰ
1140,88,20000,20000,8,15,20,25,8,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1141,88,50000,50000,4,15,20,30,9,4,2,HD Elunium,Blessed Elunium Ⅰ
1142,88,50000,50000,4,15,20,30,10,4,2,HD Elunium,Blessed Elunium Ⅰ
1143,88,100000,100000,8,20,20,30,11,4,2,HD Elunium,Blessed Elunium Ⅰ
1144,88,100000,100000,8,20,20,30,12,4,2,HD Elunium,Blessed Elunium Ⅰ
1145,89,0,0,0,0,0,0,0,0,2,,
1146,89,2000,2000,4,0,100,0,1,0,2,Elunium,
1147,89,2000,2000,4,0,50,0,2,0,2,Elunium,
1148,89,5000,5000,8,0,33,0,3,0,2,Elunium,
1149,89,5000,5000,8,0,25,0,4,0,2,Elunium,
115,9,100000,100000,8,15,20,30,10,8,2,HD Oridecon,Blessed Oridecon Ⅰ
1150,89,10000,10000,4,10,25,25,5,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1151,89,10000,10000,4,10,25,25,6,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1152,89,20000,20000,8,15,20,25,7,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1153,89,20000,20000,8,15,20,25,8,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1154,89,50000,50000,4,15,20,30,9,4,2,HD Elunium,Blessed Elunium Ⅰ
1155,89,50000,50000,4,15,20,30,10,4,2,HD Elunium,Blessed Elunium Ⅰ
1156,89,100000,100000,8,20,20,30,11,4,2,HD Elunium,Blessed Elunium Ⅰ
1157,89,100000,100000,8,20,20,30,12,4,2,HD Elunium,Blessed Elunium Ⅰ
1158,90,0,0,0,0,0,0,0,0,2,,
1159,90,2000,2000,4,0,100,0,1,0,2,Elunium,
116,9,200000,200000,16,20,20,30,11,8,2,HD Oridecon,Blessed Oridecon Ⅰ
1160,90,2000,2000,4,0,50,0,2,0,2,Elunium,
1161,90,5000,5000,8,0,33,0,3,0,2,Elunium,
1162,90,5000,5000,8,0,25,0,4,0,2,Elunium,
1163,90,10000,10000,4,10,25,25,5,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1164,90,10000,10000,4,10,25,25,6,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1165,90,20000,20000,8,15,20,25,7,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1166,90,20000,20000,8,15,20,25,8,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1167,90,50000,50000,4,15,20,30,9,4,2,HD Elunium,Blessed Elunium Ⅰ
1168,90,50000,50000,4,15,20,30,10,4,2,HD Elunium,Blessed Elunium Ⅰ
1169,90,100000,100000,8,20,20,30,11,4,2,HD Elunium,Blessed Elunium Ⅰ
117,9,200000,200000,16,20,20,30,12,8,2,HD Oridecon,Blessed Oridecon Ⅰ
1170,90,100000,100000,8,20,20,30,12,4,2,HD Elunium,Blessed Elunium Ⅰ
1171,91,0,0,0,0,0,0,0,0,3,,
1172,91,5000,5000,8,0,100,0,1,0,3,Elunium,
1173,91,5000,5000,8,0,50,0,2,0,3,Elunium,
1174,91,10000,10000,16,0,33,0,3,0,3,Elunium,
1175,91,10000,10000,16,0,25,0,4,0,3,Elunium,
1176,91,20000,20000,8,10,25,25,5,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1177,91,20000,20000,8,10,25,25,6,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1178,91,50000,50000,16,15,20,25,7,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1179,91,50000,50000,16,15,20,25,8,8,3,Enriched Elunium,Blessed Elunium Ⅰ
118,10,0,0,0,0,0,0,0,0,4,,
1180,91,100000,100000,8,15,20,30,9,8,3,HD Elunium,Blessed Elunium Ⅰ
1181,91,100000,100000,8,15,20,30,10,8,3,HD Elunium,Blessed Elunium Ⅰ
1182,91,200000,200000,16,20,20,30,11,8,3,HD Elunium,Blessed Elunium Ⅰ
1183,91,200000,200000,16,20,20,30,12,8,3,HD Elunium,Blessed Elunium Ⅰ
1184,92,0,0,0,0,0,0,0,0,3,,
1185,92,5000,5000,8,0,100,0,1,0,3,Elunium,
1186,92,5000,5000,8,0,50,0,2,0,3,Elunium,
1187,92,10000,10000,16,0,33,0,3,0,3,Elunium,
1188,92,10000,10000,16,0,25,0,4,0,3,Elunium,
1189,92,20000,20000,8,10,25,25,5,8,3,Enriched Elunium,Blessed Elunium Ⅰ
119,10,8000,8000,16,0,100,0,1,0,4,Oridecon,
1190,92,20000,20000,8,10,25,25,6,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1191,92,50000,50000,16,15,20,25,7,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1192,92,50000,50000,16,15,20,25,8,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1193,92,100000,100000,8,15,20,30,9,8,3,HD Elunium,Blessed Elunium Ⅰ
1194,92,100000,100000,8,15,20,30,10,8,3,HD Elunium,Blessed Elunium Ⅰ
1195,92,200000,200000,16,20,20,30,11,8,3,HD Elunium,Blessed Elunium Ⅰ
1196,92,200000,200000,16,20,20,30,12,8,3,HD Elunium,Blessed Elunium Ⅰ
1197,93,0,0,0,0,0,0,0,0,3,,
1198,93,5000,5000,8,0,100,0,1,0,3,Elunium,
1199,93,5000,5000,8,0,50,0,2,0,3,Elunium,
12,1,100000,100000,8,20,20,30,11,4,1,HD Oridecon,Blessed Oridecon Ⅰ
120,10,8000,8000,16,0,50,0,2,0,4,Oridecon,
1200,93,10000,10000,16,0,33,0,3,0,3,Elunium,
1201,93,10000,10000,16,0,25,0,4,0,3,Elunium,
1202,93,20000,20000,8,10,25,25,5,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1203,93,20000,20000,8,10,25,25,6,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1204,93,50000,50000,16,15,20,25,7,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1205,93,50000,50000,16,15,20,25,8,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1206,93,100000,100000,8,15,20,30,9,8,3,HD Elunium,Blessed Elunium Ⅰ
1207,93,100000,100000,8,15,20,30,10,8,3,HD Elunium,Blessed Elunium Ⅰ
1208,93,200000,200000,16,20,20,30,11,8,3,HD Elunium,Blessed Elunium Ⅰ
1209,93,200000,200000,16,20,20,30,12,8,3,HD Elunium,Blessed Elunium Ⅰ
121,10,16000,16000,32,0,33,0,3,0,4,Oridecon,
1210,94,0,0,0,0,0,0,0,0,1,,
1211,94,1000,1000,2,0,100,0,1,0,1,Elunium,
1212,94,1000,1000,2,0,50,0,2,0,1,Elunium,
1213,94,2000,2000,4,0,33,0,3,0,1,Elunium,
1214,94,2000,2000,4,0,25,0,4,0,1,Elunium,
1215,94,5000,5000,2,10,25,25,5,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1216,94,5000,5000,2,10,25,25,6,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1217,94,10000,10000,4,15,20,25,7,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1218,94,10000,10000,4,15,20,25,8,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1219,94,20000,20000,2,15,20,30,9,2,1,HD Elunium,Blessed Elunium Ⅰ
122,10,16000,16000,32,0,25,0,4,0,4,Oridecon,
1220,94,20000,20000,2,15,20,30,10,2,1,HD Elunium,Blessed Elunium Ⅰ
1221,94,50000,50000,4,20,20,30,11,2,1,HD Elunium,Blessed Elunium Ⅰ
1222,94,50000,50000,4,20,20,30,12,2,1,HD Elunium,Blessed Elunium Ⅰ
1223,95,0,0,0,0,0,0,0,0,1,,
1224,95,1000,1000,2,0,100,0,1,0,1,Elunium,
1225,95,1000,1000,2,0,50,0,2,0,1,Elunium,
1226,95,2000,2000,4,0,33,0,3,0,1,Elunium,
1227,95,2000,2000,4,0,25,0,4,0,1,Elunium,
1228,95,5000,5000,2,10,25,25,5,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1229,95,5000,5000,2,10,25,25,6,2,1,Enriched Elunium,Blessed Elunium Ⅰ
123,10,40000,40000,16,10,25,25,5,16,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1230,95,10000,10000,4,15,20,25,7,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1231,95,10000,10000,4,15,20,25,8,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1232,95,20000,20000,2,15,20,30,9,2,1,HD Elunium,Blessed Elunium Ⅰ
1233,95,20000,20000,2,15,20,30,10,2,1,HD Elunium,Blessed Elunium Ⅰ
1234,95,50000,50000,4,20,20,30,11,2,1,HD Elunium,Blessed Elunium Ⅰ
1235,95,50000,50000,4,20,20,30,12,2,1,HD Elunium,Blessed Elunium Ⅰ
1236,96,0,0,0,0,0,0,0,0,1,,
1237,96,1000,1000,2,0,100,0,1,0,1,Elunium,
1238,96,1000,1000,2,0,50,0,2,0,1,Elunium,
1239,96,2000,2000,4,0,33,0,3,0,1,Elunium,
124,10,40000,40000,16,10,25,25,6,16,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1240,96,2000,2000,4,0,25,0,4,0,1,Elunium,
1241,96,5000,5000,2,10,25,25,5,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1242,96,5000,5000,2,10,25,25,6,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1243,96,10000,10000,4,15,20,25,7,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1244,96,10000,10000,4,15,20,25,8,2,1,Enriched Elunium,Blessed Elunium Ⅰ
1245,96,20000,20000,2,15,20,30,9,2,1,HD Elunium,Blessed Elunium Ⅰ
1246,96,20000,20000,2,15,20,30,10,2,1,HD Elunium,Blessed Elunium Ⅰ
1247,96,50000,50000,4,20,20,30,11,2,1,HD Elunium,Blessed Elunium Ⅰ
1248,96,50000,50000,4,20,20,30,12,2,1,HD Elunium,Blessed Elunium Ⅰ
1249,97,0,0,0,0,0,0,0,0,2,,
125,10,80000,80000,32,15,20,25,7,16,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1250,97,2000,2000,4,0,100,0,1,0,2,Elunium,
1251,97,2000,2000,4,0,50,0,2,0,2,Elunium,
1252,97,5000,5000,8,0,33,0,3,0,2,Elunium,
1253,97,5000,5000,8,0,25,0,4,0,2,Elunium,
1254,97,10000,10000,4,10,25,25,5,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1255,97,10000,10000,4,10,25,25,6,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1256,97,20000,20000,8,15,20,25,7,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1257,97,20000,20000,8,15,20,25,8,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1258,97,50000,50000,4,15,20,30,9,4,2,HD Elunium,Blessed Elunium Ⅰ
1259,97,50000,50000,4,15,20,30,10,4,2,HD Elunium,Blessed Elunium Ⅰ
126,10,80000,80000,32,15,20,25,8,16,4,Enriched Oridecon,Blessed Oridecon Ⅰ
1260,97,100000,100000,8,20,20,30,11,4,2,HD Elunium,Blessed Elunium Ⅰ
1261,97,100000,100000,8,20,20,30,12,4,2,HD Elunium,Blessed Elunium Ⅰ
1262,98,0,0,0,0,0,0,0,0,2,,
1263,98,2000,2000,4,0,100,0,1,0,2,Elunium,
1264,98,2000,2000,4,0,50,0,2,0,2,Elunium,
1265,98,5000,5000,8,0,33,0,3,0,2,Elunium,
1266,98,5000,5000,8,0,25,0,4,0,2,Elunium,
1267,98,10000,10000,4,10,25,25,5,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1268,98,10000,10000,4,10,25,25,6,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1269,98,20000,20000,8,15,20,25,7,4,2,Enriched Elunium,Blessed Elunium Ⅰ
127,10,160000,160000,16,15,20,30,9,16,4,HD Oridecon,Blessed Oridecon Ⅰ
1270,98,20000,20000,8,15,20,25,8,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1271,98,50000,50000,4,15,20,30,9,4,2,HD Elunium,Blessed Elunium Ⅰ
1272,98,50000,50000,4,15,20,30,10,4,2,HD Elunium,Blessed Elunium Ⅰ
1273,98,100000,100000,8,20,20,30,11,4,2,HD Elunium,Blessed Elunium Ⅰ
1274,98,100000,100000,8,20,20,30,12,4,2,HD Elunium,Blessed Elunium Ⅰ
1275,99,0,0,0,0,0,0,0,0,2,,
1276,99,2000,2000,4,0,100,0,1,0,2,Elunium,
1277,99,2000,2000,4,0,50,0,2,0,2,Elunium,
1278,99,5000,5000,8,0,33,0,3,0,2,Elunium,
1279,99,5000,5000,8,0,25,0,4,0,2,Elunium,
128,10,160000,160000,16,15,20,30,10,16,4,HD Oridecon,Blessed Oridecon Ⅰ
1280,99,10000,10000,4,10,25,25,5,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1281,99,10000,10000,4,10,25,25,6,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1282,99,20000,20000,8,15,20,25,7,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1283,99,20000,20000,8,15,20,25,8,4,2,Enriched Elunium,Blessed Elunium Ⅰ
1284,99,50000,50000,4,15,20,30,9,4,2,HD Elunium,Blessed Elunium Ⅰ
1285,99,50000,50000,4,15,20,30,10,4,2,HD Elunium,Blessed Elunium Ⅰ
1286,99,100000,100000,8,20,20,30,11,4,2,HD Elunium,Blessed Elunium Ⅰ
1287,99,100000,100000,8,20,20,30,12,4,2,HD Elunium,Blessed Elunium Ⅰ
1288,100,0,0,0,0,0,0,0,0,3,,
1289,100,5000,5000,8,0,100,0,1,0,3,Elunium,
129,10,400000,400000,32,20,20,30,11,16,4,HD Oridecon,Blessed Oridecon Ⅰ
1290,100,5000,5000,8,0,50,0,2,0,3,Elunium,
1291,100,10000,10000,16,0,33,0,3,0,3,Elunium,
1292,100,10000,10000,16,0,25,0,4,0,3,Elunium,
1293,100,20000,20000,8,10,25,25,5,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1294,100,20000,20000,8,10,25,25,6,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1295,100,50000,50000,16,15,20,25,7,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1296,100,50000,50000,16,15,20,25,8,8,3,Enriched Elunium,Blessed Elunium Ⅰ
1297,100,100000,100000,8,15,20,30,9,8,3,HD Elunium,Blessed Elunium Ⅰ
1298,100,100000,100000,8,15,20,30,10,8,3,HD Elunium,Blessed Elunium Ⅰ
