id,card_coordinate_point,is_mvp_card,unlock_adventure_exp,card_quality,creature_id
10101118,1.0,0.0,200.0,2.0,10196
10101119,1.0,0.0,200.0,2.0,10210
10101120,1.0,0.0,200.0,2.0,10197
10101123,1.0,0.0,200.0,2.0,10217
10101124,1.0,0.0,200.0,2.0,10228
10101125,1.0,0.0,200.0,2.0,10234
10101126,1.0,0.0,200.0,2.0,10235
10101127,1.0,0.0,200.0,2.0,10219
10101128,1.0,0.0,200.0,2.0,10215
10102001,1.0,0.0,200.0,1.0,10001
10102002,1.0,0.0,200.0,1.0,10003
10102003,1.0,0.0,200.0,1.0,10011
10102004,1.0,0.0,200.0,1.0,10009
10102005,1.0,0.0,200.0,1.0,10008
10102006,1.0,0.0,200.0,2.0,10071
10102007,1.0,0.0,200.0,2.0,10074
10102008,1.0,0.0,200.0,2.0,10078
10102009,1.0,0.0,200.0,2.0,10108
10102010,1.0,0.0,200.0,1.0,10017
10102011,1.0,0.0,200.0,1.0,10016
10102013,1.0,0.0,200.0,1.0,10056
10102014,1.0,0.0,200.0,1.0,10039
10102015,1.0,0.0,200.0,2.0,10041
10102016,1.0,0.0,200.0,1.0,10010
10102019,1.0,0.0,200.0,1.0,10152
10102020,1.0,0.0,200.0,2.0,10150
10102021,1.0,0.0,200.0,2.0,10119
10102025,1.0,0.0,200.0,1.0,10148
10102027,1.0,0.0,200.0,2.0,10190
10102029,1.0,0.0,200.0,2.0,10173
10102030,1.0,0.0,200.0,2.0,10138
10102035,1.0,0.0,200.0,2.0,10204
10102036,1.0,0.0,200.0,2.0,10200
10102043,1.0,0.0,200.0,2.0,10236
10102044,1.0,0.0,200.0,2.0,10230
10103001,1.0,0.0,200.0,1.0,10064
10103002,1.0,0.0,200.0,2.0,10076
10103003,1.0,0.0,200.0,1.0,10014
10103004,1.0,0.0,200.0,2.0,10023
10103005,1.0,0.0,200.0,2.0,10103
10103006,1.0,0.0,200.0,2.0,10025
10103007,1.0,0.0,200.0,2.0,10092
10103008,1.0,0.0,200.0,2.0,10120
10103009,1.0,0.0,200.0,2.0,10132
10103010,1.0,0.0,200.0,2.0,10133
10103016,1.0,0.0,200.0,2.0,10158
10103018,1.0,0.0,200.0,1.0,10095
10103019,1.0,0.0,200.0,2.0,10151
10103020,1.0,0.0,200.0,2.0,10155
10103023,1.0,0.0,200.0,2.0,10137
10103024,1.0,0.0,200.0,2.0,10193
10103029,1.0,0.0,200.0,2.0,10202
10103030,1.0,0.0,200.0,2.0,10209
10103037,1.0,0.0,200.0,2.0,10225
10103038,1.0,0.0,200.0,2.0,10232
10104001,1.0,0.0,200.0,1.0,10049
10104002,1.0,0.0,200.0,1.0,10006
10104004,1.0,0.0,200.0,2.0,10099
10104005,1.0,0.0,200.0,2.0,10101
10104006,1.0,0.0,200.0,1.0,10088
10104007,1.0,0.0,200.0,2.0,10037
10104008,1.0,0.0,200.0,2.0,10091
10104009,1.0,0.0,200.0,2.0,10168
10104016,1.0,0.0,200.0,2.0,10157
10104021,1.0,0.0,200.0,2.0,10167
10104027,1.0,0.0,200.0,2.0,10199
10104028,1.0,0.0,200.0,2.0,10077
10104035,1.0,0.0,200.0,2.0,10214
10104036,1.0,0.0,200.0,2.0,10227
10105001,1.0,0.0,200.0,1.0,10007
10105002,1.0,0.0,200.0,1.0,10057
10105003,1.0,0.0,200.0,1.0,10055
10105004,1.0,0.0,200.0,1.0,10085
10105005,1.0,0.0,200.0,2.0,10102
10105006,1.0,0.0,200.0,2.0,10036
10105007,1.0,0.0,200.0,2.0,10134
10105008,1.0,0.0,200.0,2.0,10135
10105012,1.0,0.0,200.0,2.0,10118
10105013,1.0,0.0,200.0,1.0,10093
10105028,1.0,0.0,200.0,2.0,10166
10105029,1.0,0.0,200.0,2.0,10171
10105030,1.0,0.0,200.0,2.0,10187
10105034,1.0,0.0,200.0,2.0,10139
10105035,1.0,0.0,200.0,2.0,10175
10105036,1.0,0.0,200.0,2.0,10141
10105037,1.0,0.0,200.0,2.0,10142
10105050,1.0,0.0,200.0,2.0,10207
10105051,1.0,0.0,200.0,2.0,10208
10105052,1.0,0.0,200.0,2.0,10206
10105053,1.0,0.0,200.0,2.0,10211
10105060,1.0,0.0,200.0,2.0,10221
10105061,1.0,0.0,200.0,2.0,10223
10105062,1.0,0.0,200.0,2.0,10233
10105063,1.0,0.0,200.0,2.0,10220
10106001,1.0,0.0,200.0,1.0,10047
10106002,1.0,0.0,200.0,1.0,10045
10106003,1.0,0.0,200.0,1.0,10060
10106004,1.0,0.0,200.0,1.0,10052
10106005,1.0,0.0,200.0,1.0,10058
10106006,1.0,0.0,200.0,1.0,10054
10106007,1.0,0.0,200.0,1.0,10065
10106008,1.0,0.0,200.0,1.0,10063
10106009,1.0,0.0,200.0,1.0,10061
10106010,1.0,0.0,200.0,2.0,10072
10106011,1.0,0.0,200.0,2.0,10073
10106012,1.0,0.0,200.0,2.0,10075
10106013,1.0,0.0,200.0,1.0,10030
10106014,1.0,0.0,200.0,1.0,10106
10106015,1.0,0.0,200.0,1.0,10018
10106016,1.0,0.0,200.0,2.0,10043
10106018,1.0,0.0,200.0,2.0,10042
10106019,1.0,0.0,200.0,2.0,10029
10106020,1.0,0.0,200.0,2.0,10090
10106021,1.0,0.0,200.0,2.0,10126
10106024,1.0,0.0,200.0,2.0,10130
10106027,1.0,0.0,200.0,2.0,10116
10106028,1.0,0.0,200.0,2.0,10083
10106032,1.0,0.0,200.0,2.0,10082
10106033,1.0,0.0,200.0,2.0,10163
10106034,1.0,0.0,200.0,2.0,10164
10106047,1.0,0.0,200.0,2.0,10195
10106048,1.0,0.0,200.0,2.0,10179
10106052,1.0,0.0,200.0,2.0,10136
10106053,1.0,0.0,200.0,2.0,10144
10106054,1.0,0.0,200.0,2.0,10180
10106055,1.0,0.0,200.0,2.0,10185
10106068,1.0,0.0,200.0,2.0,10198
10106069,1.0,0.0,200.0,2.0,10201
10106070,1.0,0.0,200.0,2.0,10203
10106071,1.0,0.0,200.0,2.0,10212
10106076,1.0,0.0,200.0,2.0,10224
10106077,1.0,0.0,200.0,2.0,10226
10106078,1.0,0.0,200.0,2.0,10231
10106079,1.0,0.0,200.0,2.0,10229
10107001,1.0,0.0,200.0,1.0,10005
10107002,1.0,0.0,200.0,1.0,10028
10107006,1.0,0.0,200.0,1.0,10105
10107007,1.0,0.0,200.0,2.0,10143
10107008,1.0,0.0,200.0,2.0,10086
10107009,1.0,0.0,200.0,2.0,10038
10107010,1.0,0.0,200.0,2.0,10089
10107011,1.0,0.0,200.0,2.0,10121
10107012,1.0,0.0,200.0,2.0,10127
10107013,1.0,0.0,200.0,2.0,10154
10107017,1.0,0.0,200.0,1.0,10031
10107018,1.0,0.0,200.0,2.0,10035
