refine_id,property_percent,refine_lv,quality,id,property
79,0.56,7,1,54,ATK
79,1.4,7,1,55,Final Attack Speed
79,0.64,8,1,56,ATK
79,1.6,8,1,57,Final Attack Speed
79,0.72,9,1,58,ATK
79,1.8,9,1,59,Final Attack Speed
79,0.8,10,1,60,ATK
79,2.0,10,1,61,Final Attack Speed
79,0.88,11,1,62,ATK
79,2.2,11,1,63,Final Attack Speed
79,0.96,12,1,64,ATK
79,2.4,12,1,65,Final Attack Speed
80,0.0,0,2,66,ATK
80,0.0,0,2,67,Final Attack Speed
80,0.12,1,2,68,ATK
80,0.3,1,2,69,Final Attack Speed
8,0.55,11,1,70,ATK
8,0.33,11,1,71,Final P.PEN
80,0.24,2,2,72,ATK
80,0.6,2,2,73,Final Attack Speed
80,0.36,3,2,74,ATK
80,0.9,3,2,75,Final Attack Speed
80,0.48,4,2,76,ATK
80,1.2,4,2,77,Final Attack Speed
80,0.6,5,2,78,ATK
80,1.5,5,2,79,Final Attack Speed
80,0.72,6,2,80,ATK
80,1.8,6,2,81,Final Attack Speed
80,0.84,7,2,82,ATK
80,2.1,7,2,83,Final Attack Speed
80,0.96,8,2,84,ATK
80,2.4,8,2,85,Final Attack Speed
80,1.08,9,2,86,ATK
80,2.7,9,2,87,Final Attack Speed
80,1.2,10,2,88,ATK
80,3.0,10,2,89,Final Attack Speed
80,1.32,11,2,90,ATK
80,3.3,11,2,91,Final Attack Speed
8,0.6,12,1,92,ATK
8,0.36,12,1,93,Final P.PEN
80,1.44,12,2,94,ATK
80,3.6,12,2,95,Final Attack Speed
81,0.0,0,4,96,ATK
81,0.0,0,4,97,Final Attack Speed
81,0.18,1,4,98,ATK
81,0.3,1,4,99,Final Attack Speed
81,0.36,2,4,100,ATK
81,0.6,2,4,101,Final Attack Speed
81,0.54,3,4,102,ATK
81,0.9,3,4,103,Final Attack Speed
81,0.72,4,4,104,ATK
81,1.2,4,4,105,Final Attack Speed
81,0.9,5,4,106,ATK
81,1.5,5,4,107,Final Attack Speed
81,1.08,6,4,108,ATK
81,1.8,6,4,109,Final Attack Speed
81,1.26,7,4,110,ATK
81,2.1,7,4,111,Final Attack Speed
81,1.44,8,4,112,ATK
81,2.4,8,4,113,Final Attack Speed
9,0.0,0,2,114,ATK
9,0.0,0,2,115,Final P.PEN
81,1.62,9,4,116,ATK
81,2.7,9,4,117,Final Attack Speed
81,1.8,10,4,118,ATK
81,3.0,10,4,119,Final Attack Speed
81,1.98,11,4,120,ATK
81,3.3,11,4,121,Final Attack Speed
81,2.16,12,4,122,ATK
81,3.6,12,4,123,Final Attack Speed
82,0.0,0,1,124,ATK
82,0.0,0,1,125,Final Haste
82,0.08,1,1,126,ATK
82,0.02,1,1,127,Final Haste
82,0.16,2,1,128,ATK
82,0.04,2,1,129,Final Haste
82,0.24,3,1,130,ATK
82,0.06,3,1,131,Final Haste
82,0.32,4,1,132,ATK
82,0.08,4,1,133,Final Haste
82,0.4,5,1,134,ATK
82,0.1,5,1,135,Final Haste
9,0.08,1,2,136,ATK
9,0.04,1,2,137,Final P.PEN
82,0.48,6,1,138,ATK
82,0.12,6,1,139,Final Haste
82,0.56,7,1,140,ATK
82,0.14,7,1,141,Final Haste
82,0.64,8,1,142,ATK
82,0.16,8,1,143,Final Haste
82,0.72,9,1,144,ATK
82,0.18,9,1,145,Final Haste
82,0.8,10,1,146,ATK
82,0.2,10,1,147,Final Haste
82,0.88,11,1,148,ATK
82,0.22,11,1,149,Final Haste
82,0.96,12,1,150,ATK
82,0.24,12,1,151,Final Haste
83,0.0,0,2,152,ATK
83,0.0,0,2,153,Final Haste
83,0.12,1,2,154,ATK
83,0.03,1,2,155,Final Haste
83,0.24,2,2,156,ATK
83,0.06,2,2,157,Final Haste
9,0.16,2,2,158,ATK
9,0.08,2,2,159,Final P.PEN
83,0.36,3,2,160,ATK
83,0.09,3,2,161,Final Haste
83,0.48,4,2,162,ATK
83,0.12,4,2,163,Final Haste
83,0.6,5,2,164,ATK
83,0.15,5,2,165,Final Haste
83,0.72,6,2,166,ATK
83,0.18,6,2,167,Final Haste
83,0.84,7,2,168,ATK
83,0.21,7,2,169,Final Haste
83,0.96,8,2,170,ATK
83,0.24,8,2,171,Final Haste
83,0.27,9,2,172,ATK
83,1.08,9,2,173,Final Haste
83,0.3,10,2,174,ATK
83,1.2,10,2,175,Final Haste
83,0.33,11,2,176,ATK
83,1.32,11,2,177,Final Haste
83,0.36,12,2,178,ATK
83,1.44,12,2,179,Final Haste
9,0.24,3,2,180,ATK
9,0.12,3,2,181,Final P.PEN
84,0.0,0,4,182,ATK
84,0.0,0,4,183,Final Haste
84,0.18,1,4,184,ATK
84,0.03,1,4,185,Final Haste
84,0.36,2,4,186,ATK
84,0.06,2,4,187,Final Haste
84,0.54,3,4,188,ATK
84,0.09,3,4,189,Final Haste
84,0.72,4,4,190,ATK
84,0.12,4,4,191,Final Haste
84,0.9,5,4,192,ATK
84,0.15,5,4,193,Final Haste
84,0.18,6,4,194,ATK
84,1.08,6,4,195,Final Haste
84,0.21,7,4,196,ATK
84,1.26,7,4,197,Final Haste
84,0.24,8,4,198,ATK
84,1.44,8,4,199,Final Haste
84,0.27,9,4,200,ATK
84,1.62,9,4,201,Final Haste
9,0.32,4,2,202,ATK
9,0.16,4,2,203,Final P.PEN
84,0.3,10,4,204,ATK
84,1.8,10,4,205,Final Haste
84,0.33,11,4,206,ATK
84,1.98,11,4,207,Final Haste
84,0.36,12,4,208,ATK
84,2.16,12,4,209,Final Haste
85,0.0,0,1,210,Final Magic Defense
85,0.0,0,1,211,Max HP
85,0.06,1,1,212,Final Magic Defense
85,0.01,1,1,213,Max HP
85,0.02,2,1,214,Final Magic Defense
85,0.12,2,1,215,Max HP
85,0.03,3,1,216,Final Magic Defense
85,0.18,3,1,217,Max HP
85,0.04,4,1,218,Final Magic Defense
85,0.24,4,1,219,Max HP
85,0.05,5,1,220,Final Magic Defense
85,0.3,5,1,221,Max HP
85,0.06,6,1,222,Final Magic Defense
85,0.36,6,1,223,Max HP
1,0.5,10,1,224,M.ATK
1,0.3,10,1,225,Final M.PEN
9,0.4,5,2,226,ATK
9,0.2,5,2,227,Final P.PEN
85,0.07,7,1,228,Final Magic Defense
85,0.42,7,1,229,Max HP
85,0.08,8,1,230,Final Magic Defense
85,0.48,8,1,231,Max HP
85,0.09,9,1,232,Final Magic Defense
85,0.54,9,1,233,Max HP
85,0.1,10,1,234,Final Magic Defense
85,0.6,10,1,235,Max HP
85,0.11,11,1,236,Final Magic Defense
85,0.66,11,1,237,Max HP
85,0.12,12,1,238,Final Magic Defense
85,0.72,12,1,239,Max HP
86,0.0,0,1,240,Final Magic Defense
86,0.0,0,1,241,Max HP
86,0.015,1,1,242,Final Magic Defense
86,0.05,1,1,243,Max HP
86,0.03,2,1,244,Final Magic Defense
86,0.1,2,1,245,Max HP
86,0.045,3,1,246,Final Magic Defense
86,0.15,3,1,247,Max HP
9,0.48,6,2,248,ATK
9,0.24,6,2,249,Final P.PEN
86,0.06,4,1,250,Final Magic Defense
86,0.2,4,1,251,Max HP
86,0.075,5,1,252,Final Magic Defense
86,0.25,5,1,253,Max HP
86,0.09,6,1,254,Final Magic Defense
86,0.3,6,1,255,Max HP
86,0.105,7,1,256,Final Magic Defense
86,0.35,7,1,257,Max HP
86,0.12,8,1,258,Final Magic Defense
86,0.4,8,1,259,Max HP
86,0.135,9,1,260,Final Magic Defense
86,0.45,9,1,261,Max HP
86,0.15,10,1,262,Final Magic Defense
86,0.5,10,1,263,Max HP
86,0.165,11,1,264,Final Magic Defense
86,0.55,11,1,265,Max HP
86,0.18,12,1,266,Final Magic Defense
86,0.6,12,1,267,Max HP
87,0.0,0,1,268,Final Magic Defense
87,0.0,0,1,269,Max HP
9,0.56,7,2,270,ATK
9,0.28,7,2,271,Final P.PEN
87,0.03,1,1,272,Final Magic Defense
87,0.02,1,1,273,Max HP
87,0.06,2,1,274,Final Magic Defense
87,0.04,2,1,275,Max HP
87,0.09,3,1,276,Final Magic Defense
87,0.06,3,1,277,Max HP
87,0.12,4,1,278,Final Magic Defense
87,0.08,4,1,279,Max HP
87,0.15,5,1,280,Final Magic Defense
87,0.1,5,1,281,Max HP
87,0.18,6,1,282,Final Magic Defense
87,0.12,6,1,283,Max HP
87,0.21,7,1,284,Final Magic Defense
87,0.14,7,1,285,Max HP
87,0.24,8,1,286,Final Magic Defense
87,0.16,8,1,287,Max HP
87,0.27,9,1,288,Final Magic Defense
87,0.18,9,1,289,Max HP
87,0.3,10,1,290,Final Magic Defense
87,0.2,10,1,291,Max HP
9,0.64,8,2,292,ATK
9,0.32,8,2,293,Final P.PEN
87,0.33,11,1,294,Final Magic Defense
87,0.22,11,1,295,Max HP
87,0.36,12,1,296,Final Magic Defense
87,0.24,12,1,297,Max HP
88,0.0,0,2,298,Final Magic Defense
88,0.0,0,2,299,Max HP
88,0.015,1,2,300,Final Magic Defense
88,0.09,1,2,301,Max HP
88,0.03,2,2,302,Final Magic Defense
88,0.18,2,2,303,Max HP
88,0.045,3,2,304,Final Magic Defense
88,0.27,3,2,305,Max HP
88,0.06,4,2,306,Final Magic Defense
88,0.36,4,2,307,Max HP
88,0.075,5,2,308,Final Magic Defense
88,0.45,5,2,309,Max HP
88,0.09,6,2,310,Final Magic Defense
88,0.54,6,2,311,Max HP
88,0.105,7,2,312,Final Magic Defense
88,0.63,7,2,313,Max HP
9,0.72,9,2,314,ATK
9,0.36,9,2,315,Final P.PEN
88,0.12,8,2,316,Final Magic Defense
88,0.72,8,2,317,Max HP
88,0.135,9,2,318,Final Magic Defense
88,0.81,9,2,319,Max HP
88,0.15,10,2,320,Final Magic Defense
88,0.9,10,2,321,Max HP
88,0.165,11,2,322,Final Magic Defense
88,0.99,11,2,323,Max HP
88,0.18,12,2,324,Final Magic Defense
88,1.08,12,2,325,Max HP
89,0.0,0,2,326,Final Magic Defense
89,0.0,0,2,327,Max HP
89,0.0225,1,2,328,Final Magic Defense
89,0.075,1,2,329,Max HP
89,0.045,2,2,330,Final Magic Defense
89,0.15,2,2,331,Max HP
89,0.0675,3,2,332,Final Magic Defense
89,0.225,3,2,333,Max HP
89,0.09,4,2,334,Final Magic Defense
89,0.3,4,2,335,Max HP
9,0.8,10,2,336,ATK
9,0.4,10,2,337,Final P.PEN
89,0.1125,5,2,338,Final Magic Defense
89,0.375,5,2,339,Max HP
89,0.135,6,2,340,Final Magic Defense
89,0.45,6,2,341,Max HP
89,0.1575,7,2,342,Final Magic Defense
89,0.525,7,2,343,Max HP
89,0.18,8,2,344,Final Magic Defense
89,0.6,8,2,345,Max HP
89,0.2025,9,2,346,Final Magic Defense
89,0.675,9,2,347,Max HP
89,0.225,10,2,348,Final Magic Defense
89,0.75,10,2,349,Max HP
89,0.2475,11,2,350,Final Magic Defense
89,0.825,11,2,351,Max HP
89,0.27,12,2,352,Final Magic Defense
89,0.9,12,2,353,Max HP
90,0.0,0,2,354,Final Magic Defense
90,0.0,0,2,355,Max HP
90,0.045,1,2,356,Final Magic Defense
90,0.03,1,2,357,Max HP
9,0.88,11,2,358,ATK
9,0.44,11,2,359,Final P.PEN
90,0.09,2,2,360,Final Magic Defense
90,0.06,2,2,361,Max HP
90,0.135,3,2,362,Final Magic Defense
90,0.09,3,2,363,Max HP
90,0.18,4,2,364,Final Magic Defense
90,0.12,4,2,365,Max HP
90,0.225,5,2,366,Final Magic Defense
90,0.15,5,2,367,Max HP
90,0.27,6,2,368,Final Magic Defense
90,0.18,6,2,369,Max HP
90,0.315,7,2,370,Final Magic Defense
90,0.21,7,2,371,Max HP
90,0.36,8,2,372,Final Magic Defense
90,0.24,8,2,373,Max HP
90,0.405,9,2,374,Final Magic Defense
90,0.27,9,2,375,Max HP
90,0.45,10,2,376,Final Magic Defense
90,0.3,10,2,377,Max HP
90,0.495,11,2,378,Final Magic Defense
90,0.33,11,2,379,Max HP
9,0.96,12,2,380,ATK
9,0.48,12,2,381,Final P.PEN
90,0.54,12,2,382,Final Magic Defense
90,0.36,12,2,383,Max HP
91,0.0,0,3,384,Final Magic Defense
91,0.0,0,3,385,Max HP
91,0.02,1,3,386,Final Magic Defense
91,0.12,1,3,387,Max HP
91,0.04,2,3,388,Final Magic Defense
91,0.24,2,3,389,Max HP
91,0.06,3,3,390,Final Magic Defense
91,0.36,3,3,391,Max HP
91,0.08,4,3,392,Final Magic Defense
91,0.48,4,3,393,Max HP
91,0.1,5,3,394,Final Magic Defense
91,0.6,5,3,395,Max HP
91,0.12,6,3,396,Final Magic Defense
91,0.72,6,3,397,Max HP
91,0.14,7,3,398,Final Magic Defense
91,0.84,7,3,399,Max HP
91,0.16,8,3,400,Final Magic Defense
91,0.96,8,3,401,Max HP
10,0.0,0,4,402,ATK
10,0.0,0,4,403,Final P.PEN
91,0.18,9,3,404,Final Magic Defense
91,1.08,9,3,405,Max HP
91,0.2,10,3,406,Final Magic Defense
91,1.2,10,3,407,Max HP
91,0.22,11,3,408,Final Magic Defense
91,1.32,11,3,409,Max HP
91,0.24,12,3,410,Final Magic Defense
91,1.44,12,3,411,Max HP
92,0.0,0,3,412,Final Magic Defense
92,0.0,0,3,413,Max HP
92,0.03,1,3,414,Final Magic Defense
92,0.1,1,3,415,Max HP
92,0.06,2,3,416,Final Magic Defense
92,0.2,2,3,417,Max HP
92,0.09,3,3,418,Final Magic Defense
92,0.3,3,3,419,Max HP
92,0.12,4,3,420,Final Magic Defense
92,0.4,4,3,421,Max HP
92,0.15,5,3,422,Final Magic Defense
92,0.5,5,3,423,Max HP
10,0.1,1,4,424,ATK
10,0.06,1,4,425,Final P.PEN
92,0.18,6,3,426,Final Magic Defense
92,0.6,6,3,427,Max HP
92,0.21,7,3,428,Final Magic Defense
92,0.7,7,3,429,Max HP
92,0.24,8,3,430,Final Magic Defense
92,0.8,8,3,431,Max HP
92,0.27,9,3,432,Final Magic Defense
92,0.9,9,3,433,Max HP
92,0.3,10,3,434,Final Magic Defense
92,1.0,10,3,435,Max HP
92,0.33,11,3,436,Final Magic Defense
92,1.1,11,3,437,Max HP
92,0.36,12,3,438,Final Magic Defense
92,1.2,12,3,439,Max HP
93,0.0,0,3,440,Final Magic Defense
93,0.0,0,3,441,Max HP
93,0.06,1,3,442,Final Magic Defense
93,0.04,1,3,443,Max HP
93,0.12,2,3,444,Final Magic Defense
93,0.08,2,3,445,Max HP
1,0.55,11,1,446,M.ATK
1,0.33,11,1,447,Final M.PEN
10,0.2,2,4,448,ATK
10,0.12,2,4,449,Final P.PEN
93,0.18,3,3,450,Final Magic Defense
93,0.12,3,3,451,Max HP
93,0.24,4,3,452,Final Magic Defense
93,0.16,4,3,453,Max HP
93,0.3,5,3,454,Final Magic Defense
93,0.2,5,3,455,Max HP
93,0.36,6,3,456,Final Magic Defense
93,0.24,6,3,457,Max HP
93,0.42,7,3,458,Final Magic Defense
93,0.28,7,3,459,Max HP
93,0.48,8,3,460,Final Magic Defense
93,0.32,8,3,461,Max HP
93,0.54,9,3,462,Final Magic Defense
93,0.36,9,3,463,Max HP
93,0.6,10,3,464,Final Magic Defense
93,0.4,10,3,465,Max HP
93,0.66,11,3,466,Final Magic Defense
93,0.44,11,3,467,Max HP
93,0.72,12,3,468,Final Magic Defense
93,0.48,12,3,469,Max HP
10,0.3,3,4,470,ATK
10,0.18,3,4,471,Final P.PEN
94,0.0,0,1,472,Final Physical DEF
94,0.0,0,1,473,Final Magic Defense
94,0.03,1,1,474,Final Physical DEF
94,0.01,1,1,475,Final Magic Defense
94,0.06,2,1,476,Final Physical DEF
94,0.02,2,1,477,Final Magic Defense
94,0.09,3,1,478,Final Physical DEF
94,0.03,3,1,479,Final Magic Defense
94,0.12,4,1,480,Final Physical DEF
94,0.04,4,1,481,Final Magic Defense
94,0.15,5,1,482,Final Physical DEF
94,0.05,5,1,483,Final Magic Defense
94,0.18,6,1,484,Final Physical DEF
94,0.06,6,1,485,Final Magic Defense
94,0.21,7,1,486,Final Physical DEF
94,0.07,7,1,487,Final Magic Defense
94,0.24,8,1,488,Final Physical DEF
94,0.08,8,1,489,Final Magic Defense
94,0.27,9,1,490,Final Physical DEF
94,0.09,9,1,491,Final Magic Defense
10,0.4,4,4,492,ATK
10,0.24,4,4,493,Final P.PEN
94,0.3,10,1,494,Final Physical DEF
94,0.1,10,1,495,Final Magic Defense
94,0.33,11,1,496,Final Physical DEF
94,0.11,11,1,497,Final Magic Defense
94,0.36,12,1,498,Final Physical DEF
94,0.12,12,1,499,Final Magic Defense
95,0.0,0,1,500,Final Physical DEF
95,0.0,0,1,501,Final Magic Defense
95,0.015,1,1,502,Final Physical DEF
95,0.025,1,1,503,Final Magic Defense
95,0.03,2,1,504,Final Physical DEF
95,0.05,2,1,505,Final Magic Defense
95,0.045,3,1,506,Final Physical DEF
95,0.075,3,1,507,Final Magic Defense
95,0.06,4,1,508,Final Physical DEF
95,0.1,4,1,509,Final Magic Defense
95,0.075,5,1,510,Final Physical DEF
95,0.125,5,1,511,Final Magic Defense
95,0.09,6,1,512,Final Physical DEF
95,0.15,6,1,513,Final Magic Defense
10,0.5,5,4,514,ATK
10,0.3,5,4,515,Final P.PEN
95,0.105,7,1,516,Final Physical DEF
95,0.175,7,1,517,Final Magic Defense
95,0.12,8,1,518,Final Physical DEF
95,0.2,8,1,519,Final Magic Defense
95,0.135,9,1,520,Final Physical DEF
95,0.225,9,1,521,Final Magic Defense
95,0.15,10,1,522,Final Physical DEF
95,0.25,10,1,523,Final Magic Defense
95,0.165,11,1,524,Final Physical DEF
95,0.275,11,1,525,Final Magic Defense
95,0.18,12,1,526,Final Physical DEF
95,0.3,12,1,527,Final Magic Defense
96,0.0,0,1,528,Final Physical DEF
96,0.0,0,1,529,Final Magic Defense
96,0.02,1,1,530,Final Physical DEF
96,0.02,1,1,531,Final Magic Defense
96,0.04,2,1,532,Final Physical DEF
96,0.04,2,1,533,Final Magic Defense
96,0.06,3,1,534,Final Physical DEF
96,0.06,3,1,535,Final Magic Defense
10,0.6,6,4,536,ATK
10,0.36,6,4,537,Final P.PEN
96,0.08,4,1,538,Final Physical DEF
96,0.08,4,1,539,Final Magic Defense
96,0.1,5,1,540,Final Physical DEF
96,0.1,5,1,541,Final Magic Defense
96,0.12,6,1,542,Final Physical DEF
96,0.12,6,1,543,Final Magic Defense
96,0.14,7,1,544,Final Physical DEF
96,0.14,7,1,545,Final Magic Defense
96,0.16,8,1,546,Final Physical DEF
96,0.16,8,1,547,Final Magic Defense
96,0.18,9,1,548,Final Physical DEF
96,0.18,9,1,549,Final Magic Defense
96,0.2,10,1,550,Final Physical DEF
96,0.2,10,1,551,Final Magic Defense
96,0.22,11,1,552,Final Physical DEF
96,0.22,11,1,553,Final Magic Defense
96,0.24,12,1,554,Final Physical DEF
96,0.24,12,1,555,Final Magic Defense
97,0.0,0,2,556,Final Physical DEF
97,0.0,0,2,557,Final Magic Defense
10,0.7,7,4,558,ATK
10,0.42,7,4,559,Final P.PEN
97,0.045,1,2,560,Final Physical DEF
97,0.015,1,2,561,Final Magic Defense
97,0.09,2,2,562,Final Physical DEF
97,0.03,2,2,563,Final Magic Defense
97,0.135,3,2,564,Final Physical DEF
97,0.045,3,2,565,Final Magic Defense
97,0.18,4,2,566,Final Physical DEF
97,0.06,4,2,567,Final Magic Defense
97,0.225,5,2,568,Final Physical DEF
97,0.075,5,2,569,Final Magic Defense
97,0.27,6,2,570,Final Physical DEF
97,0.09,6,2,571,Final Magic Defense
97,0.315,7,2,572,Final Physical DEF
97,0.105,7,2,573,Final Magic Defense
97,0.36,8,2,574,Final Physical DEF
97,0.12,8,2,575,Final Magic Defense
97,0.405,9,2,576,Final Physical DEF
97,0.135,9,2,577,Final Magic Defense
97,0.45,10,2,578,Final Physical DEF
97,0.15,10,2,579,Final Magic Defense
10,0.8,8,4,580,ATK
10,0.48,8,4,581,Final P.PEN
97,0.495,11,2,582,Final Physical DEF
97,0.165,11,2,583,Final Magic Defense
97,0.54,12,2,584,Final Physical DEF
97,0.18,12,2,585,Final Magic Defense
98,0.0,0,2,586,Final Physical DEF
98,0.0,0,2,587,Final Magic Defense
98,0.0225,1,2,588,Final Physical DEF
98,0.0375,1,2,589,Final Magic Defense
98,0.045,2,2,590,Final Physical DEF
98,0.075,2,2,591,Final Magic Defense
98,0.0675,3,2,592,Final Physical DEF
98,0.1125,3,2,593,Final Magic Defense
98,0.09,4,2,594,Final Physical DEF
98,0.15,4,2,595,Final Magic Defense
98,0.1125,5,2,596,Final Physical DEF
98,0.1875,5,2,597,Final Magic Defense
98,0.135,6,2,598,Final Physical DEF
98,0.225,6,2,599,Final Magic Defense
98,0.1575,7,2,600,Final Physical DEF
98,0.2625,7,2,601,Final Magic Defense
10,0.9,9,4,602,ATK
10,0.54,9,4,603,Final P.PEN
98,0.18,8,2,604,Final Physical DEF
98,0.3,8,2,605,Final Magic Defense
98,0.2025,9,2,606,Final Physical DEF
98,0.3375,9,2,607,Final Magic Defense
98,0.225,10,2,608,Final Physical DEF
98,0.375,10,2,609,Final Magic Defense
98,0.2475,11,2,610,Final Physical DEF
98,0.4125,11,2,611,Final Magic Defense
98,0.27,12,2,612,Final Physical DEF
98,0.45,12,2,613,Final Magic Defense
99,0.0,0,2,614,Final Physical DEF
99,0.0,0,2,615,Final Magic Defense
99,0.03,1,2,616,Final Physical DEF
99,0.03,1,2,617,Final Magic Defense
99,0.06,2,2,618,Final Physical DEF
99,0.06,2,2,619,Final Magic Defense
99,0.09,3,2,620,Final Physical DEF
99,0.09,3,2,621,Final Magic Defense
99,0.12,4,2,622,Final Physical DEF
99,0.12,4,2,623,Final Magic Defense
10,0.6,10,4,624,ATK
10,1.0,10,4,625,Final P.PEN
99,0.15,5,2,626,Final Physical DEF
99,0.15,5,2,627,Final Magic Defense
99,0.18,6,2,628,Final Physical DEF
99,0.18,6,2,629,Final Magic Defense
99,0.21,7,2,630,Final Physical DEF
99,0.21,7,2,631,Final Magic Defense
99,0.24,8,2,632,Final Physical DEF
99,0.24,8,2,633,Final Magic Defense
99,0.27,9,2,634,Final Physical DEF
99,0.27,9,2,635,Final Magic Defense
99,0.3,10,2,636,Final Physical DEF
99,0.3,10,2,637,Final Magic Defense
99,0.33,11,2,638,Final Physical DEF
99,0.33,11,2,639,Final Magic Defense
99,0.36,12,2,640,Final Physical DEF
99,0.36,12,2,641,Final Magic Defense
100,0.0,0,3,642,Final Physical DEF
100,0.0,0,3,643,Final Magic Defense
100,0.06,1,3,644,Final Physical DEF
100,0.02,1,3,645,Final Magic Defense
10,0.66,11,4,646,ATK
10,1.1,11,4,647,Final P.PEN
100,0.12,2,3,648,Final Physical DEF
100,0.04,2,3,649,Final Magic Defense
100,0.18,3,3,650,Final Physical DEF
100,0.06,3,3,651,Final Magic Defense
100,0.24,4,3,652,Final Physical DEF
100,0.08,4,3,653,Final Magic Defense
100,0.3,5,3,654,Final Physical DEF
100,0.1,5,3,655,Final Magic Defense
100,0.36,6,3,656,Final Physical DEF
100,0.12,6,3,657,Final Magic Defense
100,0.42,7,3,658,Final Physical DEF
100,0.14,7,3,659,Final Magic Defense
100,0.48,8,3,660,Final Physical DEF
100,0.16,8,3,661,Final Magic Defense
100,0.54,9,3,662,Final Physical DEF
100,0.18,9,3,663,Final Magic Defense
100,0.6,10,3,664,Final Physical DEF
100,0.2,10,3,665,Final Magic Defense
100,0.66,11,3,666,Final Physical DEF
100,0.22,11,3,667,Final Magic Defense
1,0.6,12,1,668,M.ATK
1,0.36,12,1,669,Final M.PEN
10,0.72,12,4,670,ATK
10,1.2,12,4,671,Final P.PEN
100,0.72,12,3,672,Final Physical DEF
100,0.24,12,3,673,Final Magic Defense
101,0.0,0,3,674,Final Physical DEF
101,0.0,0,3,675,Final Magic Defense
101,0.03,1,3,676,Final Physical DEF
101,0.05,1,3,677,Final Magic Defense
101,0.06,2,3,678,Final Physical DEF
101,0.1,2,3,679,Final Magic Defense
101,0.09,3,3,680,Final Physical DEF
101,0.15,3,3,681,Final Magic Defense
101,0.12,4,3,682,Final Physical DEF
101,0.2,4,3,683,Final Magic Defense
101,0.15,5,3,684,Final Physical DEF
101,0.25,5,3,685,Final Magic Defense
101,0.18,6,3,686,Final Physical DEF
101,0.3,6,3,687,Final Magic Defense
101,0.21,7,3,688,Final Physical DEF
101,0.35,7,3,689,Final Magic Defense
101,0.24,8,3,690,Final Physical DEF
101,0.4,8,3,691,Final Magic Defense
11,0.0,0,1,692,ATK
11,0.0,0,1,693,Final Haste
101,0.27,9,3,694,Final Physical DEF
101,0.45,9,3,695,Final Magic Defense
101,0.3,10,3,696,Final Physical DEF
101,0.5,10,3,697,Final Magic Defense
101,0.33,11,3,698,Final Physical DEF
101,0.55,11,3,699,Final Magic Defense
101,0.36,12,3,700,Final Physical DEF
101,0.6,12,3,701,Final Magic Defense
102,0.0,0,3,702,Final Physical DEF
102,0.0,0,3,703,Final Magic Defense
102,0.04,1,3,704,Final Physical DEF
102,0.04,1,3,705,Final Magic Defense
102,0.08,2,3,706,Final Physical DEF
102,0.08,2,3,707,Final Magic Defense
102,0.12,3,3,708,Final Physical DEF
102,0.12,3,3,709,Final Magic Defense
102,0.16,4,3,710,Final Physical DEF
102,0.16,4,3,711,Final Magic Defense
102,0.2,5,3,712,Final Physical DEF
102,0.2,5,3,713,Final Magic Defense
11,0.04,1,1,714,ATK
11,0.01,1,1,715,Final Haste
102,0.24,6,3,716,Final Physical DEF
102,0.24,6,3,717,Final Magic Defense
102,0.28,7,3,718,Final Physical DEF
102,0.28,7,3,719,Final Magic Defense
102,0.32,8,3,720,Final Physical DEF
102,0.32,8,3,721,Final Magic Defense
102,0.36,9,3,722,Final Physical DEF
102,0.36,9,3,723,Final Magic Defense
