id,name,description,res_id,is_boss
10030,dustiness," A Chonchon that is fast-moving and with sharp mouthparts. Be careful not to be stung by it, or you may lose a lot of blood.  ""Not one part of its entire body has any edible value. I'm not interested,"" said Albel, shaking her head in disdain after a careful scrutiny of the Dustiness in the cage.",10030.0,0
10031,horn," An aggressive fellow. The Horn on its head is the key to it being crowned the King of Insects. Apparently, some people have them engage in fights for fun after taming them, but evidence has yet been found.",10031.0,0
10033,side winder," An Anacondaq residing inside a pyramid. Although it looks no different from the Anacondaqs outside, since it can survive safe and sound in the poison-filled air within the pyramids for years on end, it must have its own extraordinary venom. Adventurers, please treasure your lives and stay away from Side Winders.",10033.0,0
10034,ground petite," The branch of Petite dragons dwelling on land. Currently, monster researchers are still studying why such a huge difference exists within one race. However, the Ground Petites are no lower in status although they are unable to fly. Despite being the dragons of legend, somehow they are not as intimidating.",10034.0,0
10035,sky petite," The branch of Petite dragons capable of flight. Currently, monster researchers are still studying why such a huge difference exists within one race. The Sky Petites put on a prouder air to the outside world, but their status within the race is in doubt. Rumor has it that the Sky Petites have sent a letter of challenge to the Ground Petites. It seems they have long held the belief that it is high time the superiority between the Ground Petites and the Sky Petites is determined.",10035.0,0
10036,elder willow," Monster researchers have discovered after many studies that complete fire elements exist within the bodies of Earth Spirit Elders, seemingly overcoming their bodily restrictions. This is a groundbreaking discovery for all of monster research. It is not known when the first findings about them will be published.",10036.0,0
10037,eggyra," A strange creature shrouded in mystery, sharing the title of Midgard's Monster of Mystery together with the Magnolia. No one knows where it got those straight brows from, nor what it will hatch into. Apparently, some are conspiring to turn it around counterclockwise. Who knows what may happen if that is done?",10037.0,0
10038,bigfoot," A large bear with brown fur. Docile in nature and does not initiate attacks against humans. Similar in appearance to the Sasquatch. Biologists usually believe them to be from the same race. Apparently, only creatures that have gained their approval can have a chance to share their favorite honey.",10038.0,0
10039,savage," No discovery of baby monsters with matching biological characteristics to this monster has been found. Legend has it that Savage Bebes are the young of Savages, but the vast differences between their habitats and physical appearances are unexplainable, and so it remains a mystery for the biologists. ""It is far too hasty to conclude the two are from the same race solely on the basis of the additional 'Bebe' in the name."" Monster Researcher Bertha firmly refuses to acknowledge any relationship between Savages and Savage Bebes.",10039.0,0
10040,magnolia," Magnolia, with its mysterious origins, has always been the favorite topic of discussion among monster lovers. The most commonly accepted explanation about its origins at present is that someone broke edible Pecopeco Eggs and the restless souls inside the eggs transformed into Magnolias which fry themselves continually. ""Anyway, even if it fried itself to a perfect over medium, I don't think anyone would want to try this delicacy,"" said the gourmet Nicola who was passing by as she raised her eyebrows.",10040.0,0
10041,dokebi," Demi-humans from a primitive civilization. Researchers are currently studying their potential associations with the Giearth, Goblin, and other civilizations. Don't ever underestimate their intelligence just because of their silly smiles. If you are not careful, you may find yourself surrounded by these Deviruchis.",10041.0,0
10042,horong," Flames wandering where the dead are found. Anyone who touches it will be unwittingly burnt. Whether it is a type of monster or a natural phenomenon is still a mystery. However, in Payon's local culture, evil ghosts are believed to be behind it.",10042.0,0
10043,greatest general," A stone tablet inscribed with ""Great General of the Realm."" According to research verification, it originally was really a stone tablet, and is suspected to have transmogrified after absorbing the Doppelganger aura seeping out from the Payon Dungeon, strangely retaining the proud figure of the general.",10043.0,0
10044,familiar," A weak creature living in the darkness. Unless they band together in groups, they pose no threat. They always watch their invading enemies silently from the dark. If while on an adventure in the sewers you suddenly feel a strange gaze following you, don't be alarmed, for it may well be observing you from the darkness.",10044.0,0
10045,spore," Appears harmless, but the Spore Hat on its head is the actual source of danger. Apparently, its real body is hidden behind its astonishingly large mouth. Many can't help reaching out to touch it after being bewitched by the cute expression of its lower body, and so they end up offering a delicious hand for the Spore's dinner.",10045.0,0
10046,plankton," A very docile monster that likes playing with humans. Sometimes, many adventurers are scared away by their enthusiasm. However, it is a curious sight to behold when they dance around humans in groups.",10046.0,0
10047,tarou," Permanently dwells in the damp and dark sewers. Its two red eyes gives people involuntarily goosebumps. ""The scariest things in the sewers are obviously those scurrying rats, not Thief Bugs and bats,"" muttered Hervor, as he watched the Kingdom Defense Force walking away in the distance.",10047.0,0
10048,female thief bug," A mutated Thief Bug monster corrupted by the dark energy in the sewers. Its attack and agility are far greater than a normal Thief Bug. It is the enemy of Male Thief Bugs—another type of Mutant Thief Bug—and they dwell in different areas of the sewers. A friendly reminder from the Kingdom Defense Force: Mutant Thief Bugs have been running rampant recently. Adventurers, please be careful if you run into Mutant Thief Bugs.",10048.0,0
10049,male thief bug," A mutated Thief Bug monster corrupted by the dark energy in the sewers. Its attack and agility are far greater than a normal Thief Bug. It is an enemy of Female Thief Bugs—another type of Mutant Thief Bug—and they dwell in different areas of the sewers. A friendly reminder from the Kingdom Defense Force: Mutant Thief Bugs have been running rampant recently. Adventurers, please be careful if you run into Mutant Thief Bugs.",10049.0,0
10050,wolf," Pack monsters. They appear to be like a normal wolf pack. Their pelts are akin to the hardest armors. No one knows where they have migrated from, and it seems some of their distant relatives live in the desert far away too.",10050.0,0
10051,mandragora, A colorful carnivorous plant that wanders aimlessly in the forest all day. Be very careful when approaching it. Even its skin is a constant reminder to not get too close. It's poisonous!,10051.0,0
10052,poporing," Although the Poison Poporing also has a sizable fanbase, some adventurers are still concerned about its poison and do not dare to touch it casually. According to Finch's latest research, Poporing's Poison attribute manifests as resistance to poison instead of being poisonous. Adventurers may rest assured.",10052.0,0
10053,snake," An Anacondaq living in Payon's forests. It looks no different from the snakes outside. Its colors look terrifying but it is actually non-venomous. Nonetheless, a bite from its sharp fangs will still leave you in pain for days. Don't provoke carelessly~",10053.0,0
10054,creamy," Fabre's imago form. It only inhabits the Labyrinth Forest and survives by sucking nectar. A Creamy's wings are very beautiful, completely incomparable to its appearance when it was a Fabre. The nectar gathered by Creamies is an excellent health supplement, provided you can survive their attacks to enjoy it.",10054.0,0
10055,stainer, A brightly colored insect. It has many natural enemies but has survived thanks to its powerful reproductive capabilities. Each Stainer has a fixed number of 8 spots on its body. Is this a characteristic of the race? A special reminder: Stainer Shells are edible!,10055.0,0
10056,steel chonchon," It belongs to the same race as Chonchons but has even more exotic colors, as though informing all creatures on sight that it is very dangerous and strangers ought not approach. Such a warning also indirectly protects itself. However, apparently, there is still a group of Chonchon-hunting hobbyists who occasionally provoke them despite the danger. Of course, the price is rather painful. After all, it doesn't feel good being besieged by a swarm of Steel Chonchons.",10056.0,0
10057,coco," A cute monster with a big tail. The bushy tail is not only their key to climbing trees easily, but also the cutest part of their entire body. Cocos' survival depends on gathering Acorns. Don't ever take their Acorns!",10057.0,0
10058,smokie," Despite having the appearance of a cute animal, it is actually a monster, so don't be fooled. The leaves on their heads are not there because of the wind, but are actually their markings. Rumor has it that this isn't how they really look, but the result of a transformation!",10058.0,0
10059,caramel," A weak and cowardly monster willing to sacrifice its own spines in self-defense. Promise me that you won't ever think of attacking them. Their spines are lost for good upon use, and a Caramel with no spines left isn't a Caramel anymore.",10059.0,0
10060,yoyo," Often, some adventurer is deceived by the innocence in its eyes, but in actual fact, it is a very ferocious monster. Its sharp claws and tail are both very powerful weapons. Being one of the few monsters that can be tamed by humans, it is also the monster biologically closest to humans.",10060.0,0
10061,pirate skeleton," A skeleton dressed as a sailor. They must have been brave and good at fighting when they were alive. However, their taste in fashion doesn't seem to be any good. With a pirate's bandana and eye patch matched with the standard boots of the kingdom, they are often criticized by the self-proclaimed fashionista, Vera, as the monsters most incapable of outfit matching in Midgard.",10061.0,0
10062,megalodon," In the crowded Megalo monster clan, they seem insignificant, with little pure blood inherited, but their furious nature is totally an undeniable truth. Born with powerful jaws, they could bite through bones. Surprisingly, however, they seem to be attracted only to moving objects, and become much less aggressive against stationary things. ""Megalodons have nothing but bones in their bodies, and no food is needed. Given this, it is assumed that they don't hunt for food, but follow their instincts."" The famous Monster Researcher adjusted the glasses, and left a signature on the essay just finished.",10062.0,0
10063,poison spore," A mushroom monster that appears in dark sewers. Its body swaying to and fro and its wicked expression are exactly identical to a Spore's. However, their nature is more aggressive, and both their spikes and fangs are covered in fatal venom.  Some say that they are the mutants of Spores corrupted by dark energy while others say they are another branch of Spores. This question has been the topic of endless debate between various Spore experts in the monster research academia.",10063.0,0
10064,whisper," A ghostly creature drifting aboard the Treasure Ship. Its vacant eyes look as though they can readily suck you into its heart. However, most of the time, it simply wanders around aimlessly, only occasionally pranking accidental adventurers by appearing in front of them, causing shrieks and screams.",,0
10065,kukre," A Carapace animal living on the seabed, it occasionally forages for food in the shallow sea. Its four limbs are very sharp, so be careful not to get pricked. Bacteria from the seabed is not to be trifled with. Apparently, it is a close relative to lobsters, but nobody can provide biological proof of this.",10065.0,0
10066,hydra," A bright-colored mollusk living on the seabed and full of toxins from head to foot to protect itself. Its trailing tentacles are the main weapons it uses in attacks. They can be cut off first in battles. It is very friendly toward other sea creatures, often taking an active part in helping ward off invaders, and is the main battle force of the sea.",10066.0,0
10067,shellfish," Inhabiting the shoal near Kokomo Beach, they are shy and timid. They rarely attack humans, and only threats bring out their intimidating strength. Colorful sand and stones are their favorite, which are always swallowed at first sight, wrapped by their body fluids, and turned into pretty pearls later. Stones of various colors make pearls of different shades, which fetch a stunning price in the black market.",10067.0,0
10068,vadon," An aggressive sea warrior. Despite being a target of human fishing, it still tries to protect other sea creatures. Its crab claws show no mercy to enemies invading the seabed. Be careful not to get caught in its claws!",10068.0,0
10069,marina," A cute, naive, and peaceful sea creature and every Hydra's crush. It often reveals expressions so cute that they make people scream involuntarily and is one of the best at acting cute amongst the seabed dwellers. It likes to play with humans very much and is a mollusk more popular than Planktons.",10069.0,0
10071,cornutus,"A gloomy underwater creature, which is said to look like a middle-aged Shellfish. The pattern on its shell is unique and artistic, and the tender flesh beneath the hard shell is a great ingredient for cooking. Experienced cooks will put the caught Cormutus in clear water for a few days to let it vomit up all the filth in its body and then cook it.",10071.0,0
10072,phen," A fighter of the sea, battling continually with a spirit that never admits defeat. Apparently, its long, hard jaw can pierce the deck of ships. Therefore, many sailors want to use it to craft weapons. However, defeating it requires a lot of effort too.",10072.0,0
10073,marine sphere," Usually curled into a ball in a corner and completely still, it is easily overlooked if little attention is paid. The pattern on its shell is dizzying and hard to stare at for long. Marine Sphere Shells are speculated to have some sort of magic effect, rendering predators stunned and unable to concentrate. Therefore, adventurers wishing to hunt Marine Spheres should take extra notice.",10073.0,0
10074,swordfish," The most common fish in the sea, mutated as a result of being affected by Ymir's Heart. Despite having large eyes, close observation will reveal that they seem to have poor eyesight. The following is a friendly reminder from the Midgard Culinary Association: For the sake of your health, please do not consume mutated fish.",10074.0,0
10075,obeaune," An intelligent creature living on the seabed and possessing a self-consciousness which normal sea creatures do not. They are united and friendly, and—according to human beauty standards—look like very beautiful young girls with fish tails. In legends, daughters of Strouf were all born in the form of Obeaunes. How wonderful would it be to see those beautiful princesses.",10075.0,0
10076,marse," Many adventurers find themselves going soft-hearted and unable to attack when confronted with the watery big eyes of Marses. However, perhaps within that very second of your hesitation, a Marse may already have quickly launched an attack on you.  Recently, there has been one question that has puzzled Monster Researcher Bertha for a long time. ""Why is it that the one producing ink is not the Marse, but the Cornutus? What a mystery...""",10076.0,0
10077,merman," Monsters with the body of a human and the head of a fish, capable of living on the earth and underwater, with two respiratory systems. Usually hidden in the deep sea, they are sometimes found on the land for some reason. According to many Adventurers who have faced a Merman, they are cunning monsters with knowledge of human languages. An arrogant oversight, and you are in for their traps. ""O eyes of the abyss, gaze into them and you are deprived of rationality. O whispers of the ancient gods, open your ears and you will sacrifice your soul..."" At a night without moonlight, on a shoal touched by waves, Mermen gather in a circle, enchanting the creepy songs...",10077.0,0
10078,marc," A fish with a very strange ecology. Apparently, there are no different genders for their race. Their bodies are very beautifully streamlined, but their faces are somewhat indescribable. Their spines are good materials for crafting strings for music instruments. An appeal from the Monster Conservation Society: Please protect rare sea monsters. Strings can be made using artificial materials as replacements but if Marcs become extinct, there is no replacement for them.",10078.0,0
10079,deviace," A Deviace may appear to move slowly, but the second mouth on its head is very flexible and can quickly track down targets. This monster very much lives up to its nickname of ""Kissing Fish."" If its mouth is fixed on you, be prepared to have an unusual intimate encounter.",10079.0,0
10080,andre," Ordinary inhabitants with golden bodies. However, don't underestimate them. Despite having lackluster capabilities, they are ever united and vigilant. You can't tell if they have got a huge reinforcement behind them.",10080.0,0
10081,piere," Builders with yellowish green bodies. They are the builders of the Ant Cavern and unimaginable strength is hidden within their tiny bodies. When enemies invade, they are temporarily transferred away to act as defenders, awaiting reinforcements from the Deniros.",10081.0,0
10082,deniro," Defenders with red bodies. They are the regular forces of the Ant Army and are very terrifying when they come at you in a swarm. Each of them is always in the company of their companions. To protect the safety of the Ant Cavern, they never retreat.",10082.0,0
10083,vitata," Maya guards with black bodies. Their special duty is to protect Maya and, despite being few in number, each of them can fight ten others. When you see them, it means Maya is somewhere close by. Be fully prepared before provoking them!",10083.0,0
10084,drainliar," A mutated form of Familiars living in the Ant Cavern for extended periods of time. To better hide itself, its body has evolved to become entirely red. Apparently, its wings are also a type of precious medicine. However, if you want to get its wings, you'll have to be prepared to lose some blood. An appeal from the Monster Conservation Society to all adventurers: Everyone has a responsibility to protect the endangered Drainliars. Start with your own actions!",10084.0,0
10085,giearth," A Demi-Human monster that sighs ""waka waka"" at times. It is a fervent mining enthusiast, spending long periods of time in the Mjolnir Mine, so don't interrupt its mining work without cause. Even though its spade looks the worse for wear, it still looks rather handy in mining. Perhaps it is made from some special material.",10085.0,0
10086,arclouze," Appears to look like a strange beetle. However, different from everyone's expectations, an Arclouze only curls up when attacking and does not, as everyone suspects, curl up for defense.",10086.0,0
10087,axe-wielding skel pirate," Skel Pirates have simple equipment but they move with greater agility than Pirate Skeletons. From the wear and tear of their equipment, it seems that they have been dead for many years and once their bones are scattered, it would be impossible to put them back together. However, adventurers should still be careful, for a hit from the weapon in its hand is rather painful.",10087.0,0
10088,zombie," A corpse wandering in the world without consciousness. The soul within it can no longer transcend to the afterlife. Therefore, the most common method is to destroy it completely. However, there is also evidence to show that the key to driving Zombies' movement is some chemical.",10088.0,0
10089,munak," An undead creature with an exotic aura that is very uniquely dressed, attracting the interest of many Doppelganger lovers. Instead of the usual disgust Doppelgangers cause, they seem to be somewhat... cute? And it is apparently amongst the top three in the popularity ranking of the Payon Doppelganger Club?""I won't leave till I see the legendary Munak!"" said Eudora who was waiting outside the Munak Cave with her eyes fixed resolutely on the Euin Family elder.",10089.0,0
10090,bongun," An undead creature with an exotic aura and, from its style of dress, seems to be from the same era as the Munaks nearby. Instead of the usual disgust Doppelgangers cause, they seem to emanate...heroism? The recent expansion of the Payon Doppelganger Club with its gradually increasing proportion of female adventurers voted for it to make it one of the top three in the popularity ranking.",10090.0,0
10091,sohee," An undead creature with an exotic aura and very uniquely dressed. If it wasn't for the fact that her drifting figure hovering in mid air gives away that she is a Doppelganger, many adventurers would believe that they are going to have a romantic encounter. Ranks first in the Payon Doppelganger Club popularity ranking all year round.",10091.0,0
10092,nine tail," An animal symbolizing good luck in Payon's culture. It has a proud nature. In Payon's legends, Nine Tails bring good luck and help people. However, everyone is often puzzled as to why although it's called ""Nine Tail,"" it actually has ten tails.",10092.0,0
10093,martin," A very cowardly creature. Very few humans have seen them active. They are allies with the Giearths. The Safety Helmets on their heads are supposedly gifts from Giearths. Apparently, their activity can cause geological disasters, although unintentional. Currently, biologists in the kingdom are thinking about how to correctly guide them in reasonable activity that doesn't trigger geological disasters.",10093.0,0
10094,skeleton worker," Miners who met with a mining accident and still wander around the place where they died. They very much hate Martins and believe them to be the culprit behind his death. Yet, the pickaxes in their hands look brand new. What could have been used in preserving them?",10094.0,0
10095,myst," A mysterious monster living in the Jade and Silver Mine all year round. Despite appearing to have a physical body, it dissipates immediately upon death. This is completely incongruous with known monster research and biology and it is suspected to have come from another world. Nobody knows what they eat or how they take in energy. It seems as though they have been there since the day the Mjolnir Mine was discovered.",10095.0,0
10096,evil druid," In her right hand a crucifix twined with roses and thorns, in her left a Dark Bible that curses all things in the world, she wanders back and forth through Glast Heim St. Abbey. Legend has it that she was a heroine adulated by thousands, however, she became haunted by insurmountable resentment after her death, eventually causing her to turn her back on her faith and degenerate into an immortal Doppelganger High Priestess.""That Evil Druid's hair style is much cooler than any ordinary demon's... Just look at that super-slick retro goddess style. That's why they call her the beauty who chases your soul through the night."" Chester shrunk into a corner and watched through a high-powered binoculars.",10096.0,0
10097,skeleton, Very skilled in the techniques of wielding twin blades and seems to be still fighting to complete the last order received before he turned into a Skel. His skeleton is complete and not damaged in any way. He stays in the Munak Cave all year round looking for something. Perhaps it has to do with his last mission?,10097.0,0
10098,archer skeleton," An archer without any combat skills but has proficient shooting skills. However, apart from aiming and shooting, it has no other skills. The style of its weapon is very unique, different from any in the kingdom and amongst the pirates. The bow and arrows turn into ash upon its death and their creator has not been identified for now.",10098.0,0
10099,matyr," Its appearance resembles wolves, but it is really a fox. Its long tail seems to have artificial blades equipped and if it brushes against you because you let down your guard, it probably means being in bed for the next few days. A howl from biologists: Just who named them Matyrs?!",10099.0,0
10100,mummy," All of them were ancient Egyptian noblemen before their deaths who had the privilege of being mummified. Perhaps even they had not expected that their wish for revival would really be fulfilled, though it was reanimation in the form of monsters which everyone shrinks from. Perhaps it is because their brains have rotted in the ages passed, Mummies do not have self-consciousness and are monsters that attack on instinct.",10100.0,0
10101,verit," A pet carcass reborn after absorbing power from inside the pyramid. It has limited intelligence, looks like a fiendish guard dog and is unable to suppress its desire to bark madly. No wonder the tomb keeper Kessoso is always annoyed by them to the point of having a constant headache.",10101.0,0
10102,ghoul," From their attire, they look to be ancient adventurers who crawled out from the cemetery. As to who erected them tombstones in this underground place with no light, it is impossible to find out. Apparently, there are many ways of dealing with them, such as holy water, light magic and... peas?",10102.0,0
10103,isis," Serpent spirits with extraordinarily bewitching upper bodies. Legend has it that they are all Osiris' female sevants. However, don't ever stare at them. Their snake tails and sharp claws are no joke. Legend has it that some Isis actually keep their memories from before their death. Maybe some lucky people may be able to hear ancient gossip from them.",10103.0,0
10104,minorous," An ox monster wielding a heavy Warhammer in its hands. Apparently, it was Osiris' guard before its death. Despite having immense strength, it is slow in movement, and neither its sight nor its hearing are sensitive enough. The Warhammer in its hands has seen as many ages pass as the pyramid has, but remains bright and shiny like new.",10104.0,0
10105,argos," Originally a normal spider, it mutated after being affected by an unknown energy and became gigantic. Perhaps the Mjolnir Mountains have a magnetic field which attracts curious creatures, and the mutated creatures are only getting larger. Don't panic if you encounter an Argos on the road. Their eyesight is poor. Moving slowly can fool them.",10105.0,0
10106,mantis," Why it carries a retro messenger bag all year round is unknown. Is this a new fashion amongst Mantises? Though the way they move with quick tiny steps seems somewhat timid and cowardly, they show no mercy to their enemies, so don't be fooled by them. A cut made by such sharp blades is not something to joke about.",10106.0,0
10107,flora," It is difficult to determine whether it is an animal or a plant based on biology. Those straight white teeth simply make people involuntarily believe a legend in which according to an anonymous record, a young girl in the prime of her youth died due to weight loss, possibly attributed to a plant which happened to be nearby at the time of her death. It isn't willing to miss out on the delicacies of the world just like that, so it opens and closes its mouth continually, wishing to make up for all the food missed during the diet.",10107.0,0
10108,argiope," A strange insect with a hundred feet and strange protruding spikes on its head. Getting too close may trigger trypophobia in some adventurers. It has a gentle nature and does not attack adventurers without cause under normal conditions. An appeal from the Monster Conservation Society: Adventurers, please do not take an Argiope's shoes for fun. Losing its shoes may cause it to become uneasy and aggressive and launch retaliatory attacks against humans.",10108.0,0
