id,name,description,group_id,is_damage_skill,max_level,type,cooldown,job,res_id,cost,is_mount_combat,is_show_skill_tree,fixed_cooldown,combo,range,require_mount_combat,pet_skill_type,is_pet_skill_can_use_when_master_die,pet_skill_element,suit_skills_or_not
1000106,Pet-run Shop,Pets with the Merchant affix can run a shop. Classes other than Merchant can only run a shop in the Commercial District of Prontera. Merchants can request pets to run a shop on the World Map.,0,0,1,1,10000.0,1000,1600010,10.0,1,1,,-9999,-9999,0,1,0,0,0
1000107,,,0,0,1,3,,1000,0,,0,0,,-9999,-9999,0,1,0,0,0
100011,,,0,1,1,2,1600.0,1,100011,0.0,0,0,,0.0,-9999,0,1,0,0,0
10001100,,,0,0,1,1,0.0,1,10001100,0.0,0,0,,-9999,-9999,0,1,0,0,0
10001101,Poring Normal Attack,,0,1,1,2,3000.0,1,10001101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10001102,,,0,0,1,1,0.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
10001121,Water Attribute Attack,,0,1,10,1,5000.0,1,10001101,0.0,0,0,,-9999,-9999,0,1,0,0,0
100012,,,0,1,1,2,1600.0,1,100012,0.0,0,0,,0.0,-9999,0,1,0,0,0
100013,Spell Target Detection,,0,0,0,3,,1,0,,0,0,10000.0,-9999,-9999,0,1,0,0,0
100014,Change Target (Randomize Threat),,0,0,1,3,,1,0,,0,1,,-9999,-9999,0,1,0,0,0
100015,Assist Friends (Share Threat),,0,0,0,3,10000.0,1,0,,0,0,,-9999,-9999,0,1,0,0,0
100016,Only takes 1 damage,,0,0,0,3,,1,0,,0,0,,-9999,-9999,0,1,0,0,0
100017,,,0,1,1,2,1600.0,1,100017,0.0,0,0,,0.0,-9999,0,1,0,0,0
100018,,,0,1,1,3,1600.0,1,100017,0.0,0,0,,-9999,-9999,0,1,0,0,0
100019,,,0,1,1,3,1600.0,1,100017,0.0,0,0,,-9999,-9999,0,1,0,0,0
100020,,,0,1,1,3,,1,100020,0.0,0,0,,-9999,-9999,0,1,0,0,0
100021,Share Life,,0,1,1,3,,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
10002101,Fabre Normal Attack,,0,1,1,2,1670.0,1,10002101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10002121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10002101,0.0,0,0,,-9999,-9999,0,1,0,0,0
100022,,,0,0,1,3,,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100023,,,0,0,1,3,,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100024,Test Buff Skill,,0,1,1,1,0.0,1,100004,0.0,0,0,,-9999,-9999,0,1,0,0,0
100025,,,0,1,1,3,0.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100026,,,0,1,1,3,0.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100027,,,0,1,1,2,1600.0,1,100012,0.0,0,0,,0.0,-9999,0,1,0,0,0
100030,Earth Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100031,Poison Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
10003111,Pupa Death Summon,,0,0,1,3,2000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100032,Wind Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100033,Fire Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100034,Ghost Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100035,Water Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100036,Shadow Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100037,Undead Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100038,Holy Attribute Attack,,0,1,10,1,5000.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100040,,,0,0,1,3,0.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
100041,,,0,0,1,3,0.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
10004101,Lunatic Normal Attack,,0,1,1,2,3000.0,1,10004101,0.0,0,0,,0.0,-9999,0,1,0,0,0
100042,,,0,0,1,4,0.0,1,20002,0.0,0,0,,-9999,-9999,0,1,0,0,0
100043,,,0,0,1,4,0.0,1,20002,0.0,0,0,,-9999,-9999,0,1,0,0,0
100044,,,0,0,1,4,0.0,1,20002,0.0,0,0,,-9999,-9999,0,1,0,0,0
100045,,,0,0,1,4,0.0,1,20002,0.0,0,0,,-9999,-9999,0,1,0,0,0
100046,,,0,0,1,4,0.0,1,20002,0.0,0,0,,-9999,-9999,0,1,0,0,0
100047,,,0,0,1,4,0.0,1,20002,0.0,0,0,,-9999,-9999,0,1,0,0,0
10005101,Thief Bug Egg Normal Attack,,0,1,1,2,2000.0,1,10005101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10005111,Thief Bug Egg Death Summon,,0,0,1,3,0.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
10006101,Chonchon Normal Attack,,0,1,1,2,1080.0,1,10006101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10006121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10006101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10007101,Willow Normal Attack,,0,1,1,2,1670.0,1,10007101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10007121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10007101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10007122,Ghost Attribute Attack,,0,1,10,1,5000.0,1,10007101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10008101,Roda Frog Normal Attack,,0,1,1,2,2000.0,1,10008101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10008121,Water Attribute Attack,,0,1,10,1,5000.0,1,10008101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10009101,Thief Bug Normal Attack,,0,1,1,2,1000.0,1,10009101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10009111,ASPD+,,0,0,1,1,10000.0,1,10009101,0.0,0,0,,-9999,-9999,0,1,0,0,0
100101,Novice Dagger Normal Attack,,0,1,1,2,1500.0,0,100101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10010101,Grasshopper Normal Attack,,0,1,1,2,1860.0,1,10010101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10010121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10010101,0.0,0,0,,-9999,-9999,0,1,0,0,0
100102,Novice Dagger Normal Attack,,0,1,1,2,1500.0,0,100101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10011101,Picky Normal Attack,,0,1,1,2,1500.0,1,10011101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10011121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10011101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10012101,Drops Normal Attack,,0,1,1,2,1500.0,1,10012101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10012121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10012101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10013101,Pecopeco Normal Attack,,0,1,1,2,2000.0,1,10013101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10013111,Pecopeco Egg Death Summon,,0,0,1,3,0.0,1,0,0.0,0,0,,-9999,-9999,0,1,0,0,0
10014101,Condor Normal Attack,,0,1,1,2,1267.0,1,10014101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10014111,Adrenaline Rush,,0,0,1,1,300000.0,1,10014101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10014121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10014101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10015101,Savage Babe Normal Attack,,0,1,1,2,1620.0,1,10015101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10015121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10015101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10016101,Baby Desert Wolf Normal Attack,,0,1,1,2,2000.0,1,10016101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10016121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10016101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10017101,Pecopeco Egg Normal Attack,,0,1,1,2,2000.0,1,10017101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10017111,Sonic Blow,,0,1,1,1,5000.0,1,10017111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10017121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10017101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10018101,Muka Normal Attack,,0,1,1,2,1960.0,1,10018101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10018111,Breaking Attack,,0,1,1,1,5000.0,1,10018101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10018121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10018101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10019101,Metaller Normal Attack,,0,1,1,2,1710.0,1,10019101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10019121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10019101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10020101,Anacondaq Normal Attack,,0,1,1,2,1580.0,1,10020101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10020121,Poison Attribute Attack,,0,1,10,1,5000.0,1,10020101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10021101,Scorpion Normal Attack,,0,1,1,2,1580.0,1,10021101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10021121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10021101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10022101,Golem Normal Attack,,0,1,1,2,1610.0,1,10022101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10022111,,,0,0,0,3,,1,10022111,,0,0,,-9999,-9999,0,1,0,0,0
10022112,Heaven's Drive,,0,1,1,1,5000.0,1,10022101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10023101,Hode Normal Attack,,0,1,1,2,1480.0,1,10023101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10023121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10023101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10024101,Desert Wolf Normal Attack,,0,1,1,2,1067.0,1,10024101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10024111,Sand Attack,,0,1,1,1,5000.0,1,10024111,,0,0,,-9999,-9999,0,1,0,0,0
10024121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10024101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10025101,Frilldora Normal Attack,,0,1,1,2,1540.0,1,10025101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10025111,Multi-Phase Attack,,0,1,1,1,5000.0,1,10025111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10025121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10025101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10026101,Sandman Normal Attack,,0,1,1,2,2000.0,1,10026101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10027101,Hornet Normal Attack,,0,1,1,2,1290.0,1,10027101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10027111,Breaking Attack,,0,1,1,1,5000.0,1,10027101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10027121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10027101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10028101,Ambernite Normal Attack,,0,1,1,2,2050.0,1,10028101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10028111,Withdraw,,0,0,1,1,15000.0,1,10028111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10028121,Water Attribute Attack,,0,1,10,1,5000.0,1,10028101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10029101,Wormtail Normal Attack,,0,1,1,2,1050.0,1,10029101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10029121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10029101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10030101,Dustiness Normal Attack,,0,1,1,2,1000.0,1,10030101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10030111,Vicious Curse,,0,1,1,1,5000.0,1,10030101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10030112,Drops of Moonlight,"During the event, use it in MVP/Mini to deal damage that is 0.5% of HP",0,1,20,4,,0,100001,0.0,0,0,,-9999,-9999,0,1,0,0,0
10030121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10030101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10031101,Horn Normal Attack,,0,1,1,2,1530.0,1,10031101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10031111,Breaking Attack,,0,1,1,1,5000.0,1,10031101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10031121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10031101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10032101,Wild Rose Normal Attack,,0,1,1,2,1000.0,1,10032101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10033101,Side Winder Normal Attack,,0,1,1,2,1580.0,1,10033101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10033111,Multi-Phase Attack,,0,1,1,1,5000.0,1,10033111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10033121,Poison Attribute Attack,,0,1,10,1,5000.0,1,10033101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10034101,Ground Petite Normal Attack,,0,1,1,2,2470.0,1,10034101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10034121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10034101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10034122,Ghost Attribute Attack,,0,1,10,1,5000.0,1,10034101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10035101,Sky Petite Normal Attack,,0,1,1,2,2000.0,1,10035101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10035121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10035101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10035122,Ghost Attribute Attack,,0,1,10,1,5000.0,1,10035101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10036101,Elder Willow Normal Attack,,0,1,1,2,1370.0,1,10036101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10036111,Fire Bolt,,0,1,1,1,5000.0,1,10036111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10036121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10036101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10037101,Eggyra Normal Attack,,0,1,1,2,1820.0,1,10037101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10037112,,,0,0,0,3,,1,10037101,,0,0,,-9999,-9999,0,1,0,0,0
10037121,Ghost Attribute Attack,,0,1,10,1,5000.0,1,10037101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10038101,Bigfoot Normal Attack,,0,1,1,2,1260.0,1,10038101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10038111,Endure,,0,0,1,1,10000.0,1,10150111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10038121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10038101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10039101,Savage Normal Attack,,0,1,1,2,1960.0,1,10039101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10039111,Increase Agility,,0,0,1,1,30000.0,1,10039101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10039121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10039101,0.0,0,1,,-9999,-9999,0,1,0,0,0
10040101,Magnolia Normal Attack,,0,1,1,2,1067.0,1,10040101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10040121,Water Attribute Attack,,0,1,10,1,5000.0,1,10040101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10041101,Dokebi Normal Attack,,0,1,1,2,1300.0,1,10041101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10041111,Adrenaline Rush,,0,0,1,1,300000.0,1,10041101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10041121,Shadow Attribute Attack,,0,1,10,1,5000.0,1,10041101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10042101,Horong Normal Attack,,0,1,1,2,1890.0,1,10042101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10042111,Sight,,0,0,1,1,5000.0,1,10042101,,1,1,,-9999,-9999,0,1,0,0,0
10042112,Multi-Phase Attack,,0,1,1,1,5000.0,1,10042101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10042121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10042101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10043101,Greatest General Normal Attack,,0,1,1,2,1600.0,1,10043101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10043111,Earth Spike,,0,1,1,1,5000.0,1,10043111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10043121,Fire Attribute Attack,,0,1,10,1,5000.0,1,10043101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10044101,Familiar Normal Attack,,0,1,1,2,1280.0,1,10044101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10044121,Shadow Attribute Attack,,0,1,10,1,5000.0,1,10044101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10045101,Spore Normal Attack,,0,1,1,2,1870.0,1,10045101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10045121,Water Attribute Attack,,0,1,10,1,5000.0,1,10045101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10046101,Plankton Normal Attack,,0,1,1,2,2210.0,1,10046101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10046121,Water Attribute Attack,,0,1,10,1,5000.0,1,10046101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10047101,Tarou Normal Attack,,0,1,1,2,1740.0,1,10047101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10047121,Shadow Attribute Attack,,0,1,10,1,5000.0,1,10047101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10048101,Female Thief Bug Normal Attack,,0,1,1,2,2000.0,1,10048101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10048121,Shadow Attribute Attack,,0,1,10,1,5000.0,1,10048101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10049101,Male Thief Bug Normal Attack,,0,1,1,2,2000.0,1,10049101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10049121,Shadow Attribute Attack,,0,1,10,1,5000.0,1,10049101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10050101,Wolf Normal Attack,,0,1,1,2,1067.0,1,10050101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10050121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10050101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10051101,Mandragora Normal Attack,,0,1,1,2,1770.0,1,10051101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10051121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10051101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10052101,Poporing Normal Attack,,0,1,1,2,1670.0,1,10052101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10052121,Poison Attribute Attack,,0,1,10,1,5000.0,1,10052101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10053101,Snake Normal Attack,,0,1,1,2,1580.0,1,10053101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10053121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10053101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10054101,Creamy Normal Attack,,0,1,1,2,1140.0,1,10054101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10054121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10054101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10055101,Stainer Normal Attack,,0,1,1,2,1690.0,1,10055101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10055121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10055101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10056101,Steel Chonchon Normal Attack,,0,1,1,2,1080.0,1,10056101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10056121,Wind Attribute Attack,,0,1,10,1,5000.0,1,10056101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10057101,Coco Normal Attack,,0,1,1,2,1860.0,1,10057101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10057111,Stone Fling,,0,1,1,1,5000.0,1,10057101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10057121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10057101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10058101,Smokie Normal Attack,,0,1,1,2,1580.0,1,10058101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10058111,Heal,,0,0,1,1,5000.0,1,10058101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10058121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10058101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10059101,Caramel Normal Attack,,0,1,1,2,1600.0,1,10059101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10059111,Breaking Attack,,0,1,1,1,5000.0,1,10059101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10059121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10059101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10060101,Yoyo Normal Attack,,0,1,1,2,1050.0,1,10060101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10060111,Stone Fling,,0,1,1,1,5000.0,1,10060101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10060121,Earth Attribute Attack,,0,1,10,1,5000.0,1,10060101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10061101,Pirate Skeleton Normal Attack,,0,1,1,2,1750.0,1,10061101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10061111,Bash,,0,1,1,1,5000.0,1,10061111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10061121,Undead Attribute Attack,,0,1,10,1,5000.0,1,10061101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10062101,Megalodon Normal Attack,,0,1,1,2,1333.0,1,10062101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10062111,Shadow Attribute Change,,0,0,1,1,60000.0,1,10062101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10062121,Undead Attribute Attack,,0,1,10,1,5000.0,1,10062101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10063101,Poison Spore Normal Attack,,0,1,1,2,1670.0,1,10063101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10063121,Poison Attribute Attack,,0,1,10,1,5000.0,1,10063101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10064101,Whisper Normal Attack,,0,1,1,2,1960.0,1,10064101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10064111,Hiding,,0,0,1,1,10000.0,1,10064101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10064112,Snap,,0,0,0,1,5000.0,1,10064101,,0,0,,-9999,-9999,0,1,0,0,0
10064121,Ghost Attribute Attack,,0,1,10,1,5000.0,1,10064101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10065101,Kukre Normal Attack,,0,1,1,2,1780.0,1,10065101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10065121,Water Attribute Attack,,0,1,10,1,5000.0,1,10065101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10066101,Hydra Normal Attack,,0,1,1,2,1100.0,1,10066101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10066121,Water Attribute Attack,,0,1,10,1,5000.0,1,10066101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10067101,Shell Normal Attack,,0,1,1,2,1000.0,1,10067101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10067121,Water Attribute Attack,,0,1,10,1,5000.0,1,10067101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10068101,Vadon Normal Attack,,0,1,1,2,1630.0,1,10068101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10068121,Water Attribute Attack,,0,1,10,1,5000.0,1,10068101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10069101,Marina Normal Attack,,0,1,1,2,2280.0,1,10069101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10069111,Ignore defense attack,,0,1,1,1,5000.0,1,10069101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10069121,Water Attribute Attack,,0,1,10,1,5000.0,1,10069101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10070101,Thara Frog Normal Attack,,0,1,1,2,2000.0,1,10070101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10071101,Cornutus Normal Attack,,0,1,1,2,1250.0,1,10071101,0.0,0,0,,0.0,-9999,0,1,0,0,0
10071111,Withdraw,,0,0,1,1,5000.0,1,10071111,0.0,0,0,,-9999,-9999,0,1,0,0,0
10071121,Water Attribute Attack,,0,1,10,1,5000.0,1,10071101,0.0,0,0,,-9999,-9999,0,1,0,0,0
10072101,Phen Normal Attack,,0,1,1,2,2540.0,1,10072101,0.0,0,0,,0.0,-9999,0,1,0,0,0
