id,name,description
10073111,Suicidal Destruction,
10074101,Swordfish Normal Attack,
10074111,Waterball,
10075101,Obeaune Normal Attack,
10076101,Marse Normal Attack,
10077101,Obeaune Normal Attack,
10078101,Marc Normal Attack,
10079101,Deviace Normal Attack,
10080101,Andre Normal Attack,
10081101,Piere Normal Attack,
10082101,Deniro Normal Attack,
10083101,Vitata Normal Attack,
10084101,Drainliar Normal Attack,
10085101,Giearth Normal Attack,
10086101,Arclouze Normal Attack,
10087101,White Skeleton Normal Attack,
10088101,Zombie Normal Attack,
10089101,Munak Normal Attack,
10090101,Bongun Normal Attack,
10091101,Sohee Normal Attack,
10091111,Relinquish,
10091112,Bind Attack,
10092101,Nine Tail Normal Attack,
10092111,Attribute Change,
10092112,Random Attribute Attack,
10093101,Martin Normal Attack,
10094101,Skeleton Worker Normal Attack,
10095101,Myst Normal Attack,
10096101,Evil Druid Normal Attack,
10097101,Skeleton Normal Attack,
10098101,Archer Skeleton Normal Attack,
10099101,Matyr Normal Attack,
101001,One-Handed Sword Normal Attack 1,
10100101,Mummy Normal Attack,
101002,One-Handed Sword Normal Attack 2,
101003,One-Handed Sword Normal Attack 3,
10101001,Fabre Card,
10101003,Familiar Card,
10101006,Savage Bebe Card,
10101013,Plankton Card,
10101016,Marina Card,
10101029,Skeleton Card,
10101031,Archer Skeleton Card,
10101033,Metaller Card,
10101035,Side Winder Card,
10101039,Zenorc Card,
10101040,Hunter Fly Card,
10101042,Gryphon Card,
10101044,Strouf Card,
10101050,Requiem Card,
10101051,Snake Card,
10101054,Mutant Dragonoid Card,
10101055,Dracula Card,
10101056,Dark Priest Card,
10101057,Baphomet Card,
10101101,Verit Normal Attack,
10102014,Savage Card,
10102020,Sasquatch Card,
10102023,Chimera Card,
10102024,Orc Lord Card,
10102025,Dagger-wielding Skel Pirate Card,
10102101,Ghoul Normal Attack,
10103006,Frilldora Card,
10103011,Toad Card,
101030211,Hiding,"Enter Hiding mode and become undetectable by enemies for <color=#44afee>10</color> seconds. While Hiding, Movement Speed is <color=#44afee>100%%</color> of its usual amount. Taking any damage or attacking will cancel Hiding."
101030212,Ambush,"Deal (<color=#44afee>300%%</color> of ATK + <color=#44afee>900</color>) physical damage of your weapon's attribute to an enemy. If used while Hiding, deal an additional <color=#44afee>200%%</color> physical damage and stun the target for <color=#44afee>2</color> seconds."
10103101,Isis Normal Attack,
10104010,Eddga Card,
10104013,Amon Ra Card,
10104014,Dark Lord Card,
10104015,Cat O' Nine Tail Card,
10104101,Minorous Normal Attack 3,
10105005,Ghoul Card,
10105010,Mistress Card,
10105011,Orc Hero Card,
10105014,Pharaoh Card,
10105016,Maya Puple Card,
10105101,Argos Normal Attack,
10106004,Detoxify,Remove all nearby party members' <color=#44afee>Poison</color> status and/or your own <color=#44afee>Poison</color> status. Cooldown duration is <color=#44afee>30</color> seconds.
10106005,Hiding,"Enter Hiding mode and become undetectable by enemies for <color=#44afee>30</color> seconds. While Hiding, Movement Speed is <color=#44afee>80%%</color> of its usual amount. Taking any damage or attacking will cancel Hiding."
10106006,Roll Away,"Roll <color=#44afee>7</color> meters backwards and dodge an enemy unit's attack, increasing Dodge by <color=#44afee>20</color> and entering Stealth for <color=#44afee>5</color> seconds."
10106008,Venom Dart,"Attack with Venom Knife, dealing (<color=#44afee>390%%</color> of ATK + <color=#44afee>1,560</color>) Neutral physical damage and poisoning the enemy target for 7 seconds. When poisoned, the target will take Poison physical damage equal to <color=#44afee>20%%</color> of the caster's ATK every second, their DEF will be decreased by <color=#44afee>25%%</color>, and they will not naturally recover HP and SP for the duration of the effect. The damage effect can stack up to <color=#44afee>5</color> times. When the target's HP is less than <color=#44afee>25%%</color>, they will stop taking damage, but the other debuffs will still be in effect."
10106009,Discount,Enjoy a <color=#44afee>20%%</color> discount when purchasing items from NPC shops and a <color=#44afee>5%%</color> discount when purchasing items from the Chamber of Commerce using Zeny.
10106010,Phen Card,
10106011,Magnum Break,"Deal (<color=#44afee>78%%</color> of ATK + <color=#44afee>156</color>) Fire physical damage to enemies within <color=#44afee>3</color> meters of you. After casting this skill, your weapon will gain <color=#44afee>Fire attribute</color>, and normal attacks will deal <color=#44afee>20%%</color> more damage for <color=#44afee>5</color> seconds."
10106013,Dustiness Card,
10106016,Greatest General Card,
10106018,Sight,"Summon a fireball, dealing (<color=#44afee>99%%</color> of M.ATK + <color=#44afee>396</color>) Fire magic damage to enemy units within <color=#44afee>3</color> meters of you and reveals nearby enemy units who are Hiding for <color=#44afee>10</color> seconds. While having the Sight effect, you can use it to knock back enemy units <color=#44afee>4</color> meters, dealing (<color=#44afee>%198%%</color> of M.ATK + <color=#44afee>792</color>) Fire magic damage and stunning them for <color=#44afee>2</color> seconds."
101060181,Sightrasher,
10106020,Bongun Card,
10106021,Orc Archer Card,
10106026,Osiris Card,
10106028,Heal,"Heal a friendly target and yourself for (<color=#44afee>220</color> × (Character's level + INT)/10) + <color=#44afee>440</color>) HP. If the target is an Undead or Demon monster, deals Holy magic damage equal to the amount the friendly unit is healed for to it."
10106030,Owl Duke Card,
10106031,Owl Baron Card,
10106033,Wind Ghost Card,
10106101,Mantis Normal Attack,
10107008,Arclouze Card,
10107012,High Orc Card,
10107015,Golden Thief Bug Card,
10107016,Maya Card,
10107017,Horn Card,
10107019,Ancient Mummy Card,
10107101,Flora Normal Attack,
10107111,Lifesteal Attack,
10108101,Argiope Normal Attack,
10109101,Mace-wielding Goblin Normal Attack,
101101,One-Handed Sword Normal Attack 1,
10110101,Hammer-wielding Goblin Normal Attack,
10111101,Flail-wielding Goblin Normal Attack,
10112101,Axe-wielding Goblin Normal Attack,
10113101,Dagger-wielding Goblin Normal Attack,
10114101,Goblin Archer Normal Attack,
10115101,Goblin Steamrider Normal Attack,
10116101,Zerom Normal Attack,
10117101,Requiem Normal Attack,
10118101,Marduk Normal Attack,
10119101,Pasana Normal Attack,
10120101,Orc Zombie Normal Attack,
10121101,Orc Warrior Normal Attack,
10121111,Smoking Kills,
10122101,Orc Skeleton Normal Attack,
10123101,Orc Lady Normal Attack,
10124101,Zenorc Normal Attack,
10125101,Hunter Fly Normal Attack,
10126101,Orc Archer Normal Attack,
10127101,High Orc Normal Attack,
10127112,Smite,
10128101,Mace-wielding Kobold Normal Attack,
10129101,Hammer-wielding Kobold Normal Attack,
10130101,Kobold Archer Normal Attack,
10131101,Axe-wielding Kobold Normal Attack,
10132101,Jakk Normal Attack,
10133101,Marionette Normal Attack,
10134101,Deviruchi Normal Attack,
10135101,Nightmare Normal Attack,
10136101,Cramp Normal Attack,
10137111,Petrifying Attack,
10143101,Ant Larva Normal Attack,
10143111,Incubate,
10145101,Penomena Normal Attack,
10151111,Shadow Attribute Attack,
10151112,Remove Buff,
10153111,Dark Breath,
10157112,Sweeping Attack,
10159112,Kamikaze,
10163114,Fury Attack,
10164111,Energy Absorption,
10166111,Beastify,
10173112,Fire Attribute Change,
10179113,Elemental Technique,
10180113,Shield Reflect,
10185112,Increased Hit,
10195115,Weapon Break,
102001,Unarmed Arts 1,
102002,Unarmed Arts 2,
102003,Unarmed Arts 3,
10201028,Fire Resistance Potion,
10201029,Water Resistance Potion,
10201030,Wind Resistance Potion,
10201031,Earth Resistance Potion,
10202029,Elemental Converter (Fire),
10202030,Elemental Converter (Water),
10202031,Elemental Converter (Wind),
10202032,Elemental Converter (Earth),
10202056,Spring Festival Dumplings,
10202057,Spring Festival Rice Cakes,
10202085,星空葡萄,
10202094,盐烤蟹煲Ⅰ,
10202095,鲷鱼串烧Ⅰ,
10202114,Adventurer's Salad,
10202115,Birthday Cake,
10202116,芋圆烧仙草,
10202117,冰镇西瓜汁,
10202118,芒果冰沙,
10202122,干果拼盘Ⅰ,
10202123,雪球奶糕Ⅰ,
10202124,酥辣草叶Ⅰ,
10202125,魔女鱼片Ⅰ,
10202188,梦幻炖鱼Ⅰ,
10202189,海胆焗饭Ⅰ,
10202190,返魂骨汤Ⅰ,
10202191,烧汁鳝段Ⅰ,
10202192,白灼螺片Ⅰ,
10202193,龟壳烧肉Ⅰ,
10202208,Pineapple Pastry,
10202209,Golden Pillow Durian,
102101,Unarmed Arts Normal Attack 1,
103001,Duel-wield Daggers Normal Attack 1,
103002,Duel-wield Daggers Normal Attack 2,
103003,Duel-wield Daggers Normal Attack 3,
103004,Duel-wield Daggers Normal Attack 4,
103101,One-Handed Rod Normal Attack,
104001,Two-Handed Rod Normal Attack 1,
104002,Two-Handed Rod Normal Attack 2,
10406601,Grilled Steak I,
10406602,Fried Eggs with Squid I,
10406603,Fragrant Arowana Fillet I,
10406604,Sashimi Platter I,
10406605,Carp Bento I,
10406606,Salt-baked Trout I,
10406607,Marinated Eel I,
10406608,Fruit Tea I,
10406609,Shredded Fish Rice Ball I,
10406610,Mysterious Canned Fish I,
10406611,Smoked Dragon Meat I,
10406612,Spicy Fried Loach I,
10406613,Herbs in Grape Juice,
10406614,Scaly Meat Stew,
10406615,Squid Ink Soup,
10406616,Mixed Tea,
10406617,Herbal Honey Tea,
10406618,Steamed Pumpkin,
10406619,Steamed Crab Chela,
10406620,Thai BBQ,
10406621,Grape Wine,
10406622,Salted Egg Pumpkin,
10406623,Fried Chrysalis,
10406624,Thick Meat Broth,
10406625,Crucian Carp Soup,
10406626,Stir-fried Snails,
10406627,Steamed Bass,
10406628,Butter Sardine,
10406629,Fried Grasshopper Legs,
10406630,Chonchon Leg Salad,
10406631,Pumpkin n' Bat Wings,
10406632,Salt-baked Prawn,
10406633,Escargot,
10406634,Tomatoes n' Squid,
10406635,Nutritious Snake Soup,
10406636,Spicy Crayfish,
10406637,Frog Legs n' Cactus,
10406638,Grilled Bug's Leg,
10406639,Thick-cut meat n' Kelp,
10406640,Blood Tofu n' Algae,
10406641,Deep-fried Squid,
10406642,Braised Hairtail,
10406643,Raw Tuna,
10406644,Bear Paw n' Bamboo Shoots,
10406645,Fragrant Crab Chela,
10406646,Pufferfish in Squid Ink,
10406647,Smooth Arowana,
10406648,Stir-fried Prawns,
10406649,Tea-smoked Fish Tail,
10406650,Stir-fried Octopus Legs,
10406651,Dorsal Fin n' Lavender,
10406652,Aquatic Salad I,
10406653,Mandragora Prawns I,
10406654,Nutritious Frog Meat I,
10406655,Meat n' Pumpkin I,
10406656,Healthy Meal I,
10406657,Steamed Egg n' Fish I,
10406658,Mixed Congee I,
10406659,Fruity Squid I,
10406660,Fish Soup with Frog Legs I,
10406661,Spicy Fried Bug Leg I,
10406662,Fly Leg Folk Remedy I,
10406663,Fish Fillet I,
10406664,Fresh Snake I,
10406665,Rat-on-a-Stick I,
10406666,Prawn-on-a-Stick I,
10406667,Delicious Prawns I,
10406668,Bug Leg Salad I,
10406669,Crispy Fish I,
10406670,Braised Bear Paw I,
10406671,Sour Conch I,
10406672,Cold Jellyfish with Sauce I,
10406673,Fish n' Crab I,
10406674,Smooth Clam Flesh I,
10406675,Bitter Fish I,
10406676,Braised Meat n' Kelp I,
10406679,Fish Stew I,
10413007,Grass Carp n' Mandragora,
10413013,Steamed Egg n' Clams,
10413016,Salt and Pepper Frog,
10413020,Mushroom in Honey,
10413025,Fruit Salad,
10413072,Ancient Balm I,
10413073,Fragrant Meat I,
10413074,Tuna Sashimi I,
10413075,Stir-fried Tongue I,
10413076,Fresh Pufferfish I,
10413077,Marinated Skewers I,
10413078,Fruit Dessert I,
10413079,Minty Grill I,
10413080,Grilled Clams I,
10413081,Refreshing Grill I,
10420007,Roasted Kebab Ⅰ,
10420008,Special Seafood Fried Rice I,
10420009,Seashore Salad I,
10420010,Snapper Wrapping Meat I,
10420011,Spicy Fried Crab I,
10420012,Stone-Roasted Snapper I,
10424175,Pickled Beef I,
10424176,Rose Chocolate I,
10424177,Cream Stew I,
10424178,Heated Roast Frog I,
10424179,Shrimp Meatball I,
10424180,Juicy Oyster Meat I,
105001,Two-Handed Spear Normal Attack 1,
105002,Two-Handed Spear Normal Attack 2,
105003,Two-Handed Spear Normal Attack 3,
106001,Two-Handed Sword Normal Attack 1,
106002,Two-Handed Sword Normal Attack 2,
107001,Bow Normal Attack 1,
107002,Bow Normal Attack 2,
107003,Bow Normal Attack 3,
108001,Katar Normal Attack 1,
108002,Katar Normal Attack 2,
108003,Katar Normal Attack 3,
108004,Katar Normal Attack 4,
108005,Katar Normal Attack 5,
109001,One-Handed Rod Ranged,
110001,Mace Normal Attack 1,
110002,Mace Normal Attack 2,
110003,Mace Normal Attack 3,
1100101,Bash,
1100102,Magnum Break,
1100103,Provoke,
1100105,Frenzy,
1100121,Bash,"Deal (<color=#44afee>%s%%</color> of ATK + <color=#44afee>%s</color>) physical damage of your weapon's attribute to an enemy. After learning <color=#44afee>Fatal Blow</color>, this skill has a chance of stunning the target. The chance to stun increases as <color=#44afee>Fatal Blow</color>'s skill level increases."
1100122,Magnum Break,"Deals (<color=#44afee>%s%%</color> of ATK + <color=#44afee>%s</color>) Fire physical damage to enemies within <color=#44afee>3</color> meters. After casting this skill, your weapon will gain the <color=#44afee>Fire attribute</color>, and normal attacks will deal <color=#44afee>20%%</color> more damage for <color=#44afee>%s</color> seconds."
1100123,Endure,"Gain the Endure effect, preventing you from being interrupted or knocked back when being attacked. Also increases DEF and M.DEF by <color=#44afee>%s</color>. The Endure effect will be removed after <color=#44afee>10</color> seconds or being attacked <color=#44afee>%s</color> times."
1100124,Provoke,"Provoke an enemy unit within <color=#44afee>4</color> meters, decreasing their DEF by <color=#44afee>%s%%</color>, increasing their ATK by <color=#44afee>%s%%</color>, and forcing them to attack you for <color=#44afee>10</color> seconds. This skill does not affect players."
1100125,One-Handed Sword Mastery,ATK increases by <color=#44afee>%s</color> when equipped with a One-Handed Sword.
1100126,Increase HP Recovery,"Increases the effectiveness of HP recovery items by <color=#44afee>%s%%</color>. When your HP falls below <color=#44afee>30%%</color> of Max HP, heal yourself for <color=#44afee>4%%</color> of Max HP every <color=#44afee>1</color> second for <color=#44afee>%s</color> second(s). This effect can only trigger once every <color=#44afee>60</color> seconds. After activating Self-Ignite in PVP, the skill's recovery effect will not be triggered."
1100127,Battle Will,"Whenever your normal attacks hit, your Physical Damage Bonus is increased by <color=#44afee>20</color>, increasing by <color=#44afee>%s</color> more for every <color=#44afee>50</color> STR. Can stack up to <color=#44afee>8</color> times. Lasts for <color=#44afee>5</color> seconds."
1100128,Fatal Blow,Using <color=#44afee>Bash</color> decreases target's DEF by <color=#44afee>%s</color> for <color=#44afee>5</color> seconds and has a <color=#44afee>%s%%</color> chance of stunning the target for <color=#44afee>2</color> seconds.
1100129,Sword Mastery,ATK increases by (<color=#44afee>%s</color> + AGI × <color=#44afee>%s%%</color>) when equipped with a One-Handed Sword/Two-Handed Sword.
111001,One-Handed Sword Normal Attack,
1110101,Concentration,
1110102,Joint Beat,
1110103,Attack Quicken,
1110104,Pierce,
1110105,Bladestorm,
1110111,Battle Instincts,
1110121,Auto Counter,"Enters the Auto Counter state and gains a shield that absorbs damage up to <color=#44afee>%s%%</color> of Max HP for <color=#44afee>5</color> seconds. When the shield ends (it will end earlier if it reaches the damage limit), deals Neutral physical damage equal to <color=#44afee>%s%%</color> of Max HP to all enemy units within <color=#44afee>3</color> meters, and increases the target's Threat by a large amount. Lifesteal cannot be applied to this skill's damage."
1110122,Counter Attack,"Gain the Auto Counter effect for <color=#44afee>3</color> seconds. While Auto Counter is in effect, you will be immune to <color=#44afee>melee physical</color> damage. After this state ends, deal (<color=#44afee>%s%%</color> of ATK + <color=#44afee>40%%</color> × Number of times hit (Maximum of 10 times) + <color=#44afee>%s</color>) physical damage to enemies within a 120° fan-shaped area in the direction you are facing."
1110123,Bowling Bash,"Pulls up to <color=#44afee>8</color> enemy units within <color=#44afee>4</color> meters toward you, clashing with them to deal (<color=#44afee>%s%%</color> + (Number of Monsters - <color=#44afee>1</color>) × <color=#44afee>50%%</color>) × ATK physical damage of your weapon's attribute. Affected targets are stunned for a short time and then knocked back <color=#44afee>1</color> meter, toward their original location."
1110124,Pierce,"Can only be used when equipped with a Spear. Continuously attack an enemy for a short time, dealing <color=#44afee>5</color> attacks that inflict a total of (<color=#44afee>%s%%</color> of ATK + <color=#44afee>%s</color>) physical damage of your weapon's attribute. Deals <color=#44afee>%s%%</color> more damage to Large targets."
1110125,Spear Stab,Can only be used when equipped with a Spear. Deals (<color=#44afee>%s%%</color> of ATK + <color=#44afee>%s</color>) physical damage of your weapon's attribute to enemy units within a <color=#44afee>2</color>×<color=#44afee>4</color> rectangular area in the direction you are facing and knocks them back <color=#44afee>3</color> meters.
1110126,Spear Boomerang,Can only be used when equipped with a Spear. Deals (<color=#44afee>%s%%</color> of ATK + <color=#44afee>%s</color>) physical damage of your weapon's attribute to an enemy unit.
1110127,Sword Speed Boost,"For the next <color=#44afee>%s</color> seconds, Final ASPD increases <color=#44afee>%s%%</color> (for every <color=#44afee>25</color> AGI, effect increases <color=#44afee>1%%</color>) points."
1110128,Charge Attack,"Charges towards a faraway enemy target (cannot be silenced after the charge starts), dealing (<color=#44afee>%s%%</color> of ATK + <color=#44afee>%s</color>) Neutral physical damage to enemies in a straight line and stunning them for <color=#44afee>2</color> seconds."
1110129,Cavalry Training,ATK increases by (<color=#44afee>%s</color> + <color=#44afee>%s%%</color> of DEX) when mounted.
1110130,Brandish Spear,Can only be used when mounted. Deals (<color=#44afee>%s%%</color> of ATK) Neutral physical damage to an enemy and decreases their ASPD and Movement Speed by <color=#44afee>%s%%</color> for <color=#44afee>4</color> seconds. Damage increases by <color=#44afee>%s%%</color> when using a Spear.
1110131,Spear Proficiency,ATK increases by (<color=#44afee>%s</color> + <color=#44afee>%s%%</color> of DEX) when equipped with a Spear.
1110132,Cavalry Combat,"Can mount Pecopeco while fighting, but Final ASPD decreases by <color=#44afee>%s%%</color> due to the restrictions of mounted combat. At max level of this skill, Final ASPD will return to normal."
1110134,Steel Heart,"Within <color=#44afee>12</color> seconds of using this skill, damage received decreases by <color=#44afee>%s%%</color> (increases by an additional <color=#44afee>1%%</color> for every <color=#44afee>50</color> VIT you have) and prevents you from being interrupted when being attacked. This effect will be removed after being attacked <color=#44afee>%s</color> times."
1110135,Double Blow,"When equipped with a Sword, each normal attack has a <color=#44afee>20%%</color> chance (increases by an additional <color=#44afee>1%%</color> for every <color=#44afee>50</color> LUK you have) to deal a bonus of (<color=#44afee>%s%%</color> ATK + <color=#44afee>%s</color>) Neutral physical damage that ignores DEF. If the normal attack is critical, the bonus damage will also be critical."
1111121,Head Crush,"Increase ATK by <color=#44afee>%s%%</color> and Crit Damage by <color=#44afee>50%%</color>. Grants normal attacks a <color=#44afee>%s%%</color> chance to cause the target to Bleed for <color=#44afee>15</color> seconds. When Bleeding, the target will take Neutral physical damage equal to <color=#44afee>20%%</color> of the caster's ATK every second, their ATK will be decreased by <color=#44afee>25%%</color>, their ASPD will be decreased by <color=#44afee>25%%</color>, and they will not naturally recover HP and SP for the duration of the effect."
1111122,Spiral Pierce,"Can only be used when equipped with a Spear. Twirls the spear and rapidly thrusts at an enemy target, dealing (<color=#44afee>%s</color> × STR + <color=#44afee>%s%%</color> of ATK) + physical damage of your weapon's attribute."
1111123,Joint Beat,"Damage an enemy's joints, reducing their combat capabilities. Deals (<color=#44afee>%s%%</color> of ATK + <color=#44afee>%s</color>) physical damage of your weapon's attribute to an enemy unit and has a <color=#44afee>%s%%</color> chance to cause them to gain a random debuff for <color=#44afee>5</color> seconds."
1111124,Aura Blade,"Infuses your weapon with power, increasing Final Crit Rate by <color=#44afee>%s%%</color> (increases by an additional <color=#44afee>1%%</color> for every 50 AGI you have) and Crit Damage Bonus by <color=#44afee>%s%%</color> (increases by an additional <color=#44afee>1%%</color> for every 50 STR you have) for <color=#44afee>10</color> seconds. Each critical hit refreshes the remaining buff time."
1111125,Berserk,"Gain the Berserk effect on use. Fully restores HP and empties SP, increases Max HP by <color=#44afee>%s%%</color>, ATK by <color=#44afee>%s%%</color>, and Movement Speed by <color=#44afee>30%%</color>. Grants the Endure effect, and decreases DEF and M.DEF by <color=#44afee>50%%</color>. While Berserk is in effect, you cannot actively use skills or healing items, healing effects are decreased by <color=#44afee>100%%</color>, and HP and SP will not recover naturally. This effect is removed after <color=#44afee>30</color> seconds or when HP falls below <color=#44afee>5%%</color>."
1111126,Concentration,Marks the target on use. All friendly targets within 30 meters gain the Endure effect and deal <color=#44afee>%s%%</color> more damage to the marked target for <color=#44afee>10</color> seconds. A party member will lose the Endure effect if they are more than 30 meters away from the caster.
1111127,Weapon Blocking,"When taking damage, there is a <color=#44afee>%s%%</color> chance to block the enemy's attack. The block effect lasts <color=#44afee>10</color> seconds. Successfully blocking will negate <color=#44afee>physical damage</color>, increase the Physical Damage Bonus of the next normal attack within <color=#44afee>5</color> seconds by <color=#44afee>%s</color>, and guarantee that it is a critical hit. Can trigger multiple times during the block effect."
1111128,Piercing Throw,
1111129,Tame Beast,
1111130,Rapid Recovery,
1111131,Self-Ignite,"Gain the Self-Ignite effect on use to inflict heavy damage upon enemies at the cost of your own HP. You will lose <color=#44afee>1%%</color> of your Max HP every second while also dealing (<color=#44afee>%s%%</color> of Max HP + <color=#44afee>%s</color>) Neutral <color=#44afee>sacred physical</color> damage that ignores DEF to nearby enemies. This effect will be removed when your HP falls below <color=#44afee>10%%</color>. You will be unable to naturally recover HP and SP while having the Self-Ignite effect. You will be unable to naturally recover HP and SP while under the effect of Self-Ignite, and will be unable to trigger Increase HP Recovery's HP regen effect in PVP. This skills damage does not work with Lifesteal."
1111132,Call of Justice,"Converts VIT to ATK, increasing ATK by <color=#44afee>2</color> for every <color=#44afee>%s</color> VIT (not including VIT gained through buffs) you have."
1111133,Lord's Aura,"After using this skill, ATK of all party members within 30 meters increases by <color=#44afee>%s%%</color> for <color=#44afee>120</color> seconds. A party member will lose this effect if they are more than 30 meters from the caster."
1112001,Dragon Mastery,"Increases damage dealt by Dragon's Breath by <color=#44afee>%s%%</color> after mounting your dragon, and damage dealt to small and medium Monsters by <color=#44afee>%s%%</color> when mounted with a spear."
1112002,Dragon Gasp - Fire,"Your dragon spits fire, dealing AoE Fire Damage equal to<color=#44afee>%s%%</color> Physical Attack to enemies within a 4-meter range. Enemies hit by the infernal heat of Dragon's Breath have a <color=#44afee>%s%%</color> chance of suffering Burn and losing <color=#44afee>2%%</color>Max HP/s for <color=#44afee>3</color> sec. Burn cannot effect Boss, MVP, or MINI targets."
1112003,Dragon Gasp - Water,Your dragon releases a bone-chilling breath that deals AoE Water Damage equal to <color=#44afee>%s%%</color> Physical Attack to enemies within a 4-meter range. Enemies hit by the dragon’s breath have a <color=#44afee>%s%%</color> chance of suffering Freeze for <color=#44afee>3</color> sec.
1112004,Inverse Scale,"Your dragon projects a massive roar, dealing Regular Physical Damage equal to<color=#44afee>%s%%</color> Physical Attack to enemy targets within a 4-meter range, with a <color=#44afee>%s%%</color> chance of inflicting Terror. Targets suffering from Terror will move at random for <color=#44afee>3</color> sec. Terror cannot effect Boss, MVP, or MINI targets."
1112005,Death Bind,"Inflicts Death Bound on an enemy. When attacked, <color=#44afee>%s%%</color> of lost HP will be converted into Regular Physical Damage and dealt to the bound enemy, along with multiple stacks of Threat for <color=#44afee>4</color> sec (cannot be dispelled). Death Bound will be lifted when the distance between you and the target is greater than 12 meters."
1112006,Impact Blade,"Charges forward 6 meters in the desired direction and delivers a powerful blow, dealing Weapon-based Physical Damage (<color=#44afee>%s%%</color> Physical Attack + <color=#44afee>%s%%</color> Max HP) in a 4-meter radius."
1112007,Rune Shield,"Summons the power of the Runes and enchants a shield, increasing the effect of [Unbreakable] when attacked. Each stack of [Unbreakable] increases Final Physical Defense and Final Magic Defense by <color=#44afee>%s%%</color> for <color=#44afee>6</color> sec. Can be stacked up to <color=#44afee>5</color> times, after which a Rune Shield equal to <color=#44afee>%s%%</color> of Max HP for <color=#44afee>6</color> sec. This effect may be triggered once every <color=#44afee>24</color> sec as long as a shield is equipped."
