id,name
14206612,Dense Chrysanthemum
14206615,Witherton Grim Grass
14206618,Corpse Grim Grass
14206621,Tree Shade Ochre Seedling
14206624,Maple Ochre Seedling
14206627,Zen Quiet Flower
14206630,Thicket Quiet Flower
14306602,Hills Blue Herb
14306605,Hidden Forest Blue Herb
14306608,Rich Bamboo
14306611,Farmland Bamboo
14406602,Clear Pond Chrysanthemum
14406605,Tribal Chrysanthemum
14406608,Dense Forest Bamboo
14406611,Mini-Bridge Bamboo
14406614,Hidden Forest Corpse Grim Grass
14406617,Thicket Corpse Grim Grass
14406620,Tribal Ochre Sapling
14406623,Desert Ochre Sapling
14406626,Thicket Quiet Flower
14406629,Old Village Quiet Flower
14506637,Cave Pond
16106601,Glast Heim Fishing Platform
17106601,Harbor Fishing Platform
18106601,Strelitzia
18106607,Evening Primrose
18106613,Comodo Fishing Platform
18206601,Veronica
18206607,Hyacinth
18306008,霜晶石
18306601,Flame Iris
18406607,Borneo
19206601,雾隐昙
19206607,鬼藤灵芝
19206613,灰色药草
19206619,汶巴拉钓鱼台
19306601,幽光水仙
19306607,凝血梅
19406613,尖叫花
19506601,迷幻蘑菇
